# E [eV]	eps1	eps2	Im(-1/eps)
# Palik Vol.  I			
0.004959	1.17E+01	0.0095648	7.02432E-05
0.006199	1.17E+01	0.006833	5.01517E-05
0.00743	1.17E+01	0.00492048	3.60934E-05
0.009919	1.17E+01	0.00293948	2.15369E-05
0.0124	1.17E+01	0.00198273	1.45185E-05
0.01488	1.17E+01	0.00157274	1.15096E-05
0.01736	11.6909286	0.001299296	9.50627E-06
0.01984	11.69298022	0.00116263	8.50337E-06
# Herzberger-type fit of n			
0.04215	11.69639999	0.00073872	5.39977E-06
0.04463	11.69639999	0.00073872	5.39977E-06
0.04587	11.697084	0.000766102	5.59927E-06
0.04711	11.697084	0.000718221	5.24932E-06
0.04835	11.697084	0.000642295	4.69439E-06
#			
0.04959	11.697084	0.000625878	4.57441E-06
# Herzberger-type fit of n			
0.05207	11.69776803	0.000725082	5.29885E-06
0.05455	11.69776802	0.000868731	6.34862E-06
0.05703	11.69845207	0.001067134	7.79762E-06
0.05951	11.69845204	0.001518613	1.10966E-05
#			
0.06199	11.69913608	0.001956469	1.42944E-05
# Herzberger-type fit of n			
0.06447	11.69913606	0.002175374	1.58938E-05
0.06695	11.69982013	0.00232594	1.69918E-05
0.06943	11.6998201	0.002626944	1.91908E-05
0.07067	11.69982008	0.002839015	2.074E-05
0.07191	11.69982012	0.002496965	1.82412E-05
0.07315	11.70050419	0.002859622	2.08881E-05
0.07439	11.70050385	0.004898299	3.57797E-05
0.07513	11.7005028	0.0085515	6.24645E-05
0.07563	11.70050313	0.007593732	5.54684E-05
0.07687	11.70050343	0.006588076	4.81226E-05
0.07811	11.70118823	0.003454907	2.52334E-05
0.07935	11.70118846	0.00112199	8.19462E-06
0.08059	11.70118847	0.001039893	7.59501E-06
0.08183	11.70118847	0.000964637	7.04538E-06
0.08307	11.70118847	0.000848334	6.19593E-06
0.08431	11.70187262	0.0008552	6.24535E-06
0.08555	11.70187263	0.000766259	5.59584E-06
0.08679	11.70187263	0.000697843	5.09621E-06
0.08803	11.70187262	0.001074131	7.84416E-06
0.08927	11.70187259	0.001511994	1.10418E-05
0.09051	11.70255672	0.002073065	1.51374E-05
0.09175	11.70255671	0.002134642	1.5587E-05
0.09299	11.70255674	0.001772026	1.29392E-05
0.09423	11.70255675	0.00163519	1.19401E-05
0.09547	11.70255676	0.001553089	1.13406E-05
0.09671	11.70324095	0.001464188	1.06902E-05
0.09795	11.70324096	0.001416294	1.03405E-05
0.09919	11.70324097	0.001211034	8.84187E-06
0.1004	11.70324096	0.001347874	9.84095E-06
0.1017	11.70392517	0.001409493	1.02896E-05
0.1029	11.70392518	0.001211069	8.84109E-06
0.1041	11.70392519	0.000985277	7.19275E-06
0.1054	11.70392519	0.001046857	7.6423E-06
0.1066	11.70460941	0.001183735	8.64054E-06
0.1079	11.7046094	0.001375322	1.0039E-05
0.1091	11.7046094	0.001382165	1.0089E-05
0.1103	11.7046094	0.001423219	1.03886E-05
0.1116	11.70529365	0.001382205	1.00881E-05
0.1141	11.70529366	0.001135872	8.29019E-06
0.1165	11.70597794	0.000869036	6.34194E-06
0.1178	11.70597795	0.000834822	6.09226E-06
0.119	11.70597794	0.000848507	6.19213E-06
0.1203	11.70597795	0.000834822	6.09226E-06
0.1215	11.70666224	0.000745887	5.44261E-06
#			
0.124	11.70666225	0.000456428	3.33048E-06
# Herzberger-type fit of n			
0.1265	11.70734656	0.000456441	3.33018E-06
0.1289	11.70734656	0.000331211	2.4165E-06
0.1314	11.70803089	0.000251153	1.83219E-06
0.1339	11.70871524	0.000256635	1.87196E-06
0.1364	11.70871524	0.000375714	2.74055E-06
0.1376	11.7093996	0.000578985	4.22278E-06
0.1389	11.7093996	0.00057351	4.18285E-06
0.1395	11.70939961	0.000440741	3.2145E-06
0.1401	11.7093996	0.000486594	3.54893E-06
0.1426	11.710084	0.000351097	2.5604E-06
0.1488	11.71145284	0.00016495	1.20263E-06
#			
0.155	11.71282176	0.000104725	7.6336E-07
# Herzberger-type fit of n			
