This data are from 
M.E.Riley et al, Theoretical Electron-Atom Elastic Scattering CrossSections.
Atomic Data and Nuclear Data Tables 15,443-476(1975)

These parameters for Twelve-Parameter Fits to Diff. Cross Sct.
are calculated for all elements. Here are only some selected ones.

Next will be the number of energies and the energies in KeV
# 9 
1.0 2.0 4.0 8.0 16.0 32.0 64.0 128.0 256.0

$ 1
-9.007E-01 -6.539E-01 -3.655E-01 -5.499E-01 -1.960E-02  4.526E-02 -6.580E-01  8.393E-03 -3.739E-01
 3.975E-01  3.380E-01  2.884E-01  3.151E-01  2.809E-01  2.774E-01  3.126E-01  2.787E-01  2.928E-01 
 2.344E-03  3.208E-03  2.940E-03  1.429E-03  9.329E-04  4.100E-04  3.017E-05  1.038E-04  1.757E-05
-3.534E-05 -1.590E-05 -5.392E-06  9.522E-06  8.538E-07 -4.278E-08  7.506E-07  4.492E-09  3.551E-08
 1.105E+00  8.986E-01  6.487E-01  8.062E-01  1.901E-02 -9.682E-02  9.669E-01 -1.011E-01  4.769E-01
 1.172E+00  1.050E+00  9.256E-01  9.955E-01  2.643E-02 -1.263E-01  1.229E+00 -1.410E-01  6.287E-01  
 7.611E-01  7.519E-01  8.045E-01  7.510E-01  2.258E-02 -1.017E-01  9.513E-01 -1.224E-01  5.042E-01
 4.001E-01  4.377E-01  5.676E-01  4.597E-01  1.605E-02 -6.736E-02  5.969E-01 -8.834E-02  3.282E-01
 1.718E-01  2.092E-01  3.277E-01  2.304E-01  9.861E-03 -3.748E-02  3.072E-01 -5.421E-02  1.760E-01
 5.558E-02  7.568E-02  1.426E-01  8.723E-02  4.891E-03 -1.640E-02  1.202E-01 -2.652E-02  7.261E-02
 1.031E-02  1.571E-02  3.491E-02  1.878E-02  1.710E-03 -4.697E-03  2.774E-02 -8.267E-03  1.820E-02
 8.057E-03  4.506E-03  2.592E-03  1.872E-03  8.431E-04  3.444E-04  3.049E-04  8.926E-05  6.648E-05

$ 2
 3.270E-02 -4.242E-01 -6.746E-01 -6.343E-01 -2.289E-01 -3.277E-01 -2.001E-01 -1.227E+00 -3.022E-01
 3.427E-01  3.746E-01  3.630E-01  3.388E-01  2.998E-01  2.980E-01  2.891E-01  3.407E-01  2.914E-01
-7.270E-03 -2.397E-03 -1.851E-03 -9.558E-04  1.271E-03  6.719E-04  3.430E-04 -9.270E-05  7.883E-05
 5.556E-05  2.941E-06  3.477E-06  9.459E-07  1.384E-11  1.730E-07 -7.566E-14  6.887E-07  4.899E-08
-9.725E-02  4.519E-01  8.681E-01  8.734E-01  3.088E-01  4.817E-01  2.759E-01  1.810E+00  3.546E-01
-1.434E-01  4.205E-01  9.635E-01  1.028E+00  3.654E-01  6.172E-01  3.678E-01  2.294E+00  4.574E-01
-1.141E-01  2.335E-01  6.551E-01  7.411E-01  2.638E-01  4.836E-01  3.015E-01  1.763E+00  3.535E-01
-6.887E-02  1.000E-01  3.606E-01  4.342E-01  1.544E-01  3.089E-01  2.039E-01  1.090E+00  2.158E-01
-3.233E-02  3.143E-02  1.606E-01  2.074E-01  7.401E-02  1.633E-01  1.164E-01  5.456E-01  1.024E-01
-1.082E-02  5.370E-03  5.227E-02  7.250E-02  2.690E-02  6.640E-02  5.306E-02  2.027E-01  3.280E-02
-1.820E-03 -4.040E-04  8.547E-03  1.166E-02  5.736E-03  1.634E-02  1.557E-02  4.167E-02  6.162E-03
 1.206E-02  7.727E-03  3.180E-03  1.359E-03  1.657E-03  8.551E-04  4.051E-04  3.179E-04  1.234E-04

$ 3
