   BREP.DAT  15:47:24    6-JAN-00  
  BRI.DAT   08:38:21  29-MAR-95  copy to EP1.INP, as input for EP1      
   18.00000       39.94800      1.7822711E-03  1.6606766E-03 Z, A, rho  
   10.60000       248.5000       1100.000       first E, L-shell & sbb  
   64   0   10.7469   1.01089 1.08304E-02  N2, k1, E(2), um, u          
  0.0000000E+00  0.0000000E+00   1.000000     df/dE coefficients        
   10.74690      5.0867801E-03  2.5664900E-05  1.2376870E-03  1.2312584E-03
   10.86390      1.4098600E-02  7.0367299E-05  1.2876744E-03  1.2798820E-03
   10.98220      2.5880501E-02  1.2778000E-04  1.3825389E-03  1.3668208E-03
   11.10180      7.2344102E-02  3.5333700E-04  1.2647738E-03  1.2374424E-03
   11.22270      0.1221050      5.8995001E-04  1.0839410E-03  1.0494532E-03
   11.34490      0.1942210      9.2827203E-04  7.0774677E-04  6.6654594E-04
   11.46840      0.2546020      1.2037500E-03  2.5757830E-04  2.2402500E-04
   11.59330      0.2864900      1.3399300E-03 -8.6680593E-05 -1.1575448E-04
   11.71950      0.3146470      1.4557700E-03 -4.4607010E-04 -4.7079724E-04
   11.84720      0.3104060      1.4206800E-03 -7.0575037E-04 -7.1994431E-04
   11.97620      0.2807560      1.2711301E-03 -8.4928446E-04 -8.4782857E-04
   12.10660      0.2064760      9.2475797E-04 -6.6855660E-04 -6.6284928E-04
   12.23840      0.1618420      7.1704300E-04 -4.6759562E-04 -4.6792175E-04
   12.37170      0.1181960      5.1803002E-04 -2.5060869E-04 -2.5006986E-04
   12.50640      8.6792201E-02  3.7629399E-04 -3.6044505E-05 -3.9152310E-05
   12.64260      6.9966301E-02  3.0007699E-04  1.1419137E-04  1.1143151E-04
   12.78030      4.8247501E-02  2.0469799E-04  2.7571004E-04  2.7525646E-04
   12.91940      3.2431800E-02  1.3611501E-04  4.5123027E-04  4.4872894E-04
   13.06010      2.7859099E-02  1.1566400E-04  5.9977587E-04  5.9558911E-04
   13.20230      2.8891901E-02  1.1866000E-04  7.2574377E-04  7.2231074E-04
   13.34610      3.3187199E-02  1.3483300E-04  8.6382701E-04  8.5898349E-04
   13.49140      5.5037498E-02  2.2119800E-04  9.7995671E-04  9.6820545E-04
   13.63830      0.1044250      4.1516899E-04  9.8244625E-04  9.6414314E-04
   13.78680      0.1662800      6.5396400E-04  8.4915914E-04  8.3006878E-04
   13.93700      0.2210760      8.6010800E-04  6.2863255E-04  6.1407039E-04
   14.08870      0.2528860      9.7326800E-04  4.0856248E-04  4.0038110E-04
   14.24210      0.2622490      9.9842797E-04  2.4504101E-04  2.4168452E-04
   14.39720      0.2547180      9.5931301E-04  1.5816370E-04  1.5842880E-04
   14.55400      0.2369930      8.8294299E-04  1.6486108E-04  1.6403222E-04
   14.71250      0.2319380      8.5480098E-04  1.9408905E-04  1.8954331E-04
   14.87270      0.2354800      8.5850502E-04  2.0752786E-04  2.0107710E-04
   15.03470      0.2459130      8.8688597E-04  1.9176819E-04  1.8466594E-04
   15.19840      0.2563460      9.1455103E-04  1.5183109E-04  1.4651327E-04
   15.36390      0.2597580      9.1674499E-04  1.2373996E-04  1.1962102E-04
   15.53120      0.2642510      9.2255202E-04  1.0376488E-04  9.9188423E-05
   15.70030      0.2695650      9.3097001E-04  8.0158679E-05  7.5956930E-05
   15.87130      0.2730180      9.3273702E-04  6.1549399E-05  5.7450303E-05
   16.04410      0.2784070      9.4090099E-04  3.9996190E-05  3.5919846E-05
   16.21880      0.2822320      9.4355398E-04  1.8356312E-05  1.4833538E-05
   16.39540      0.2854570      9.4405498E-04  7.4956910E-07 -2.7318097E-06
   16.57390      0.2894470      9.4693998E-04 -1.7850052E-05 -2.1162308E-05
   16.75440      0.2924610      9.4649399E-04 -3.4804645E-05 -3.7868016E-05
   16.93690      0.2959220      9.4737898E-04 -5.0711074E-05 -5.3834639E-05
   17.12130      0.2998600      9.4964402E-04 -6.9048721E-05 -7.2008181E-05
   17.30770      0.3029230      9.4901200E-04 -8.8619061E-05 -9.0869486E-05
   17.49620      0.3038640      9.4170298E-04 -9.8553530E-05 -1.0137207E-04
   17.68670      0.3100880      9.5064199E-04 -1.2111422E-04 -1.2345921E-04
   17.87930      0.3090860      9.3736203E-04 -1.3494455E-04 -1.3661153E-04
   18.07400      0.3120900      9.3627803E-04 -1.4639206E-04 -1.4858304E-04
   18.27080      0.3144380      9.3316002E-04 -1.6016711E-04 -1.6226985E-04
   18.46980      0.3176350      9.3249499E-04 -1.7860041E-04 -1.8005443E-04
   18.67090      0.3169070      9.2033600E-04 -1.8824148E-04 -1.8978905E-04
   18.87420      0.3208150      9.2164800E-04 -2.0339736E-04 -2.0483768E-04
   19.07970      0.3201810      9.0991898E-04 -2.1347683E-04 -2.1488401E-04
   19.28750      0.3241970      9.1140601E-04 -2.3050013E-04 -2.3154428E-04
   19.49750      0.3218750      8.9513097E-04 -2.3919262E-04 -2.4012935E-04
   19.70990      0.3253530      8.9505600E-04 -2.5307137E-04 -2.5392626E-04
   19.92450      0.3229000      8.7874098E-04 -2.6137262E-04 -2.6177987E-04
   20.14140      0.3244410      8.7342301E-04 -2.6785594E-04 -2.6879326E-04
   20.36080      0.3258030      8.6764002E-04 -2.7899721E-04 -2.7943458E-04
   20.58250      0.3255130      8.5752999E-04 -2.8554830E-04 -2.8629560E-04
   20.80660      0.3291430      8.5775403E-04 -2.9994096E-04 -3.0031224E-04
   21.03320      0.3270400      8.4309297E-04 -3.0954817E-04 -3.0945762E-04
   21.26220      0.3282450      8.3708199E-04 -3.1614213E-04 -3.1676952E-04
   21.49370      0.3308030      8.3451997E-04 -3.3175544E-04 -3.3170500E-04
   21.72780      0.3281250      8.1884599E-04 -3.4159466E-04 -3.4120385E-04
   21.96440      0.3284220      8.1075903E-04 -3.4929364E-04 -3.4924340E-04
   22.20360      0.3282200      8.0153299E-04 -3.5903469E-04 -3.5884368E-04
   22.44540      0.3280160      7.9240598E-04 -3.7000098E-04 -3.6958914E-04
   22.68980      0.3263170      7.7981001E-04 -3.7984279E-04 -3.7914058E-04
   22.93680      0.3241640      7.6632103E-04 -3.8664517E-04 -3.8596307E-04
   23.18660      0.3228480      7.5498800E-04 -3.9297392E-04 -3.9238934E-04
   23.43910      0.3218110      7.4445701E-04 -4.0103163E-04 -4.0027327E-04
   23.69430      0.3196440      7.3147699E-04 -4.0854336E-04 -4.0752249E-04
   23.95230      0.3170980      7.1783498E-04 -4.1330379E-04 -4.1234004E-04
   24.21320      0.3158930      7.0740300E-04 -4.1828974E-04 -4.1744357E-04
   24.47680      0.3149830      6.9776899E-04 -4.2529497E-04 -4.2434109E-04
   24.74340      0.3136840      6.8740599E-04 -4.3305356E-04 -4.3198242E-04
   25.01280      0.3123590      6.7712698E-04 -4.4101456E-04 -4.3996860E-04
   25.28520      0.3115050      6.6800200E-04 -4.5084380E-04 -4.4982589E-04
   25.56050      0.3102780      6.5820402E-04 -4.6355787E-04 -4.6244348E-04
   25.83890      0.3077310      6.4576900E-04 -4.7892716E-04 -4.7755451E-04
   26.12020      0.3023920      6.2772899E-04 -4.9501256E-04 -4.9322279E-04
   26.40460      0.2932490      6.0219201E-04 -5.0932425E-04 -5.0667551E-04
   26.69220      0.2776660      5.6405098E-04 -5.1283388E-04 -5.0898304E-04
   26.98280      0.2587340      5.1992998E-04 -4.8884389E-04 -4.8663048E-04
   27.27670      0.2592940      5.1544199E-04 -4.7043303E-04 -4.7003489E-04
   27.57370      0.2601190      5.1151402E-04 -4.7151555E-04 -4.7044377E-04
   27.87390      0.2579660      5.0181401E-04 -4.7816656E-04 -4.7649225E-04
   28.17750      0.2527940      4.8645600E-04 -4.8443436E-04 -4.8235137E-04
   28.48430      0.2454150      4.6716901E-04 -4.8703092E-04 -4.8488920E-04
   28.79450      0.2383390      4.4881200E-04 -4.8749446E-04 -4.8548295E-04
   29.10800      0.2312370      4.3074900E-04 -4.8797246E-04 -4.8610815E-04
   29.42500      0.2241180      4.1298999E-04 -4.9196358E-04 -4.8956944E-04
   29.74540      0.2106530      3.8399699E-04 -4.9079745E-04 -4.8776105E-04
   30.06930      0.1967930      3.5486600E-04 -4.7779459E-04 -4.7533013E-04
   30.39670      0.1890470      3.3722600E-04 -4.6359785E-04 -4.6173850E-04
   30.72770      0.1829110      3.2276599E-04 -4.5338555E-04 -4.5156505E-04
   31.06230      0.1775350      3.0990399E-04 -4.4561015E-04 -4.4379552E-04
   31.40060      0.1723210      2.9756301E-04 -4.3979392E-04 -4.3795127E-04
   31.74250      0.1667810      2.8489501E-04 -4.3533795E-04 -4.3345854E-04
   32.08820      0.1606540      2.7147200E-04 -4.3188219E-04 -4.2991989E-04
   32.43760      0.1532300      2.5613801E-04 -4.2862110E-04 -4.2644842E-04
   32.79080      0.1438580      2.3788201E-04 -4.2274111E-04 -4.2048737E-04
   33.14790      0.1347770      2.2046499E-04 -4.1387021E-04 -4.1177179E-04
   33.50880      0.1267650      2.0512500E-04 -4.0407307E-04 -4.0216354E-04
   33.87370      0.1197150      1.9163000E-04 -3.9549364E-04 -3.9352817E-04
   34.24260      0.1113150      1.7626501E-04 -3.8606985E-04 -3.8400854E-04
   34.61550      0.1035940      1.6227200E-04 -3.7403064E-04 -3.7230997E-04
   34.99240      9.9032901E-02  1.5345600E-04 -3.6460598E-04 -3.6295815E-04
   35.37350      9.2440300E-02  1.4169799E-04 -3.5650673E-04 -3.5474080E-04
   35.75860      8.6384803E-02  1.3098901E-04 -3.4817366E-04 -3.4646530E-04
   36.14800      7.9592898E-02  1.1939000E-04 -3.4035399E-04 -3.3849041E-04
   36.54170      7.1274601E-02  1.0576100E-04 -3.3015897E-04 -3.2831298E-04
   36.93960      6.4421996E-02  9.4563002E-05 -3.1800693E-04 -3.1641105E-04
   37.34180      5.9107199E-02  8.5827000E-05 -3.0675856E-04 -3.0526382E-04
   37.74840      5.3799599E-02  7.7278601E-05 -2.9648919E-04 -2.9496875E-04
   38.15950      4.8326701E-02  6.8669498E-05 -2.8607150E-04 -2.8455211E-04
   38.57500      4.3025300E-02  6.0478000E-05 -2.7501388E-04 -2.7355109E-04
   38.99510      3.8462199E-02  5.3481501E-05 -2.6334717E-04 -2.6206882E-04
   39.41970      3.5627801E-02  4.9006601E-05 -2.5321936E-04 -2.5196851E-04
   39.84900      3.1718399E-02  4.3159202E-05 -2.4354779E-04 -2.4227065E-04
   40.28290      2.8712800E-02  3.8648599E-05 -2.3356569E-04 -2.3241068E-04
   40.72150      2.6318900E-02  3.5044701E-05 -2.2443970E-04 -2.2333117E-04
   41.16500      2.3957700E-02  3.1557101E-05 -2.1597125E-04 -2.1487921E-04
   41.61320      2.1671200E-02  2.8237700E-05 -2.0783766E-04 -2.0676854E-04
   42.06640      1.9400701E-02  2.5007001E-05 -1.9983989E-04 -1.9880387E-04
   42.52440      1.7347099E-02  2.2119100E-05 -1.9200656E-04 -1.9098917E-04
   42.98750      1.5271200E-02  1.9262299E-05 -1.8391584E-04 -1.8297606E-04
   43.45560      1.4258400E-02  1.7791101E-05 -1.7627006E-04 -1.7540701E-04
   43.92880      1.3264700E-02  1.6373000E-05 -1.6939778E-04 -1.6854847E-04
   44.40720      1.2419500E-02  1.5164600E-05 -1.6293557E-04 -1.6211144E-04
   44.89070      1.1593300E-02  1.4003300E-05 -1.5680927E-04 -1.5600682E-04
   45.37960      1.0838100E-02  1.2950100E-05 -1.5092507E-04 -1.5014091E-04
   45.87370      1.0098000E-02  1.1935700E-05 -1.4510220E-04 -1.4435912E-04
   46.37320      9.7798696E-03  1.1435200E-05 -1.3954400E-04 -1.3884944E-04
   46.87820      9.6054496E-03  1.1110300E-05 -1.3449692E-04 -1.3381884E-04
   47.38870      9.3657700E-03  1.0716400E-05 -1.2977535E-04 -1.2910584E-04
   47.90470      9.1033997E-03  1.0304000E-05 -1.2515824E-04 -1.2451752E-04
   48.42640      9.0578301E-03  1.0142000E-05 -1.2076057E-04 -1.2015245E-04
   48.95370      9.0613998E-03  1.0036700E-05 -1.1671777E-04 -1.1612011E-04
   49.48680      8.9468500E-03  9.8030296E-06 -1.1285550E-04 -1.1226514E-04
   50.02560      8.8324603E-03  9.5734504E-06 -1.0899961E-04 -1.0844005E-04
   50.57040      8.9754798E-03  9.6236699E-06 -1.0534757E-04 -1.0481581E-04
   51.12100      9.1055101E-03  9.6579197E-06 -1.0199099E-04 -1.0146788E-04
   51.67770      9.1847200E-03  9.6370004E-06 -9.8780431E-05 -9.8270153E-05
   52.24050      9.2850504E-03  9.6373196E-06 -9.5680945E-05 -9.5187570E-05
   52.80930      9.4139101E-03  9.6658196E-06 -9.2709488E-05 -9.2232571E-05
   53.38440      9.5791304E-03  9.7295197E-06 -8.9875990E-05 -8.9414738E-05
   53.96570      9.7637000E-03  9.8101500E-06 -8.7187931E-05 -8.6740351E-05
   54.55330      9.9502699E-03  9.8899200E-06 -8.4634587E-05 -8.4199302E-05
   55.14740      1.0132000E-02  9.9620402E-06 -8.2203922E-05 -8.1780032E-05
   55.74790      1.0294500E-02  1.0012800E-05 -7.9878810E-05 -7.9465870E-05
   56.35500      1.0444900E-02  1.0049700E-05 -7.7643424E-05 -7.7241733E-05
   56.96860      1.0586900E-02  1.0076600E-05 -7.5498079E-05 -7.5106262E-05
   57.58900      1.0701400E-02  1.0075800E-05 -7.3423507E-05 -7.3041439E-05
   58.21610      1.0812000E-02  1.0070300E-05 -7.1408700E-05 -7.1036979E-05
   58.85000      1.0917100E-02  1.0058600E-05 -6.9453316E-05 -6.9090602E-05
   59.49080      1.1017400E-02  1.0041700E-05 -6.7540590E-05 -6.7187655E-05
   60.13860      1.1145800E-02  1.0049300E-05 -6.5655935E-05 -6.5317916E-05
   60.79350      1.1382500E-02  1.0152200E-05 -6.3876127E-05 -6.3549858E-05
   61.45550      1.1588400E-02  1.0224500E-05 -6.2217492E-05 -6.1896804E-05
   62.12470      1.1771700E-02  1.0274300E-05 -6.0633534E-05 -6.0318471E-05
   62.80120      1.1914100E-02  1.0286600E-05 -5.9088314E-05 -5.8781432E-05
   63.48510      1.2089200E-02  1.0325300E-05 -5.7589532E-05 -5.7292611E-05
   64.17640      1.2268500E-02  1.0365600E-05 -5.6168523E-05 -5.5878492E-05
   64.87520      1.2418800E-02  1.0379600E-05 -5.4813259E-05 -5.4527940E-05
   65.58170      1.2529400E-02  1.0359300E-05 -5.3489777E-05 -5.3210610E-05
   66.29580      1.2645400E-02  1.0342500E-05 -5.2191266E-05 -5.1920670E-05
   67.01770      1.2780200E-02  1.0340100E-05 -5.0948984E-05 -5.0683619E-05
   67.74750      1.2867200E-02  1.0298400E-05 -4.9731694E-05 -4.9473838E-05
   68.48520      1.3019000E-02  1.0307700E-05 -4.8558861E-05 -4.8310034E-05
   69.23100      1.3150300E-02  1.0299500E-05 -4.7478607E-05 -4.7229732E-05
   69.98480      1.3157300E-02  1.0194000E-05 -4.6396137E-05 -4.6151294E-05
   70.74690      1.3230300E-02  1.0140100E-05 -4.5300945E-05 -4.5066477E-05
   71.51730      1.3333500E-02  1.0109100E-05 -4.4260574E-05 -4.4032393E-05
   72.29610      1.3426900E-02  1.0070200E-05 -4.3278364E-05 -4.3053591E-05
   73.08330      1.3474900E-02  9.9973704E-06 -4.2331492E-05 -4.2108179E-05
   73.87920      1.3476300E-02  9.8906903E-06 -4.1364627E-05 -4.1149477E-05
   74.68370      1.3587900E-02  9.8651699E-06 -4.0435010E-05 -4.0227147E-05
   75.49690      1.3645200E-02  9.8000601E-06 -3.9569244E-05 -3.9362702E-05
   76.31900      1.3675400E-02  9.7160000E-06 -3.8713599E-05 -3.8512364E-05
   77.15010      1.3729600E-02  9.6494095E-06 -3.7889451E-05 -3.7692589E-05
   77.99020      1.3741100E-02  9.5534397E-06 -3.7094127E-05 -3.6900958E-05
   78.83940      1.3755000E-02  9.4600900E-06 -3.6327088E-05 -3.6135843E-05
   79.69800      1.3691700E-02  9.3151502E-06 -3.5554436E-05 -3.5367189E-05
   80.56580      1.3692400E-02  9.2152904E-06 -3.4779201E-05 -3.4599710E-05
   81.44310      1.3713300E-02  9.1298998E-06 -3.4056935E-05 -3.3879947E-05
   82.33000      1.3670000E-02  9.0030398E-06 -3.3362452E-05 -3.3185930E-05
   83.22650      1.3595100E-02  8.8572497E-06 -3.2646334E-05 -3.2476666E-05
   84.13280      1.3612200E-02  8.7728704E-06 -3.1968011E-05 -3.1801803E-05
   85.04890      1.3520300E-02  8.6197997E-06 -3.1319967E-05 -3.1152689E-05
   85.97500      1.3415200E-02  8.4606600E-06 -3.0634204E-05 -3.0473784E-05
   86.91120      1.3405100E-02  8.3632303E-06 -2.9965435E-05 -2.9810775E-05
   87.85760      1.3379600E-02  8.2573797E-06 -2.9337105E-05 -2.9185736E-05
   88.81440      1.3367300E-02  8.1609596E-06 -2.8750326E-05 -2.8599721E-05
   89.78150      1.3254900E-02  8.0051695E-06 -2.8172610E-05 -2.8022298E-05
   90.75910      1.3146200E-02  7.8539897E-06 -2.7565535E-05 -2.7421214E-05
   91.74740      1.3106400E-02  7.7458499E-06 -2.6974902E-05 -2.6835736E-05
   92.74650      1.3058800E-02  7.6345996E-06 -2.6430998E-05 -2.6291065E-05
   93.75640      1.2917400E-02  7.4705599E-06 -2.5871508E-05 -2.5734720E-05
   94.77740      1.2877000E-02  7.3669598E-06 -2.5302694E-05 -2.5173689E-05
   95.80940      1.2877800E-02  7.2880798E-06 -2.4795641E-05 -2.4669014E-05
   96.85270      1.2798100E-02  7.1649501E-06 -2.4353236E-05 -2.4218796E-05
   97.90740      1.2469100E-02  6.9055800E-06 -2.3813647E-05 -2.3685421E-05
   98.97350      1.2479500E-02  6.8368499E-06 -2.3249937E-05 -2.3131899E-05
   100.0510      1.2413400E-02  6.7274100E-06 -2.2756723E-05 -2.2638647E-05
   101.1410      1.2383300E-02  6.6387702E-06 -2.2278657E-05 -2.2164022E-05
   102.2420      1.2339200E-02  6.5439099E-06 -2.1836915E-05 -2.1723425E-05
   103.3550      1.2246100E-02  6.4245601E-06 -2.1415435E-05 -2.1302480E-05
   104.4810      1.2102400E-02  6.2807899E-06 -2.0997919E-05 -2.0884430E-05
   105.6190      1.1890000E-02  6.1040901E-06 -2.0545909E-05 -2.0435702E-05
   106.7690      1.1775800E-02  5.9803201E-06 -2.0075182E-05 -1.9971219E-05
   107.9310      1.1710600E-02  5.8831802E-06 -1.9638415E-05 -1.9536512E-05
   109.1070      1.1614400E-02  5.7719899E-06 -1.9223518E-05 -1.9122714E-05
   110.2950      1.1517300E-02  5.6620402E-06 -1.8815339E-05 -1.8717117E-05
   111.4960      1.1425000E-02  5.5562000E-06 -1.8424022E-05 -1.8327206E-05
   112.7100      1.1290400E-02  5.4315701E-06 -1.8042183E-05 -1.7945398E-05
   113.9370      1.1124500E-02  5.2941300E-06 -1.7638738E-05 -1.7545746E-05
   115.1780      1.1053500E-02  5.2036598E-06 -1.7241155E-05 -1.7152093E-05
   116.4320      1.0965900E-02  5.1068300E-06 -1.6875096E-05 -1.6785967E-05
   117.7000      1.0837200E-02  4.9925002E-06 -1.6504868E-05 -1.6418384E-05
   118.9820      1.0773400E-02  4.9096798E-06 -1.6143222E-05 -1.6060339E-05
   120.2770      1.0695800E-02  4.8217798E-06 -1.5820668E-05 -1.5736003E-05
   121.5870      1.0492000E-02  4.6789601E-06 -1.5480116E-05 -1.5396863E-05
   122.9110      1.0390100E-02  4.5836000E-06 -1.5120990E-05 -1.5043083E-05
   124.2490      1.0315800E-02  4.5018000E-06 -1.4797340E-05 -1.4719386E-05
   125.6020      1.0157100E-02  4.3847899E-06 -1.4475198E-05 -1.4398333E-05
   126.9700      1.0053900E-02  4.2934998E-06 -1.4147748E-05 -1.4074245E-05
   128.3530      9.9513298E-03  4.2039201E-06 -1.3843613E-05 -1.3770045E-05
   129.7500      9.7828303E-03  4.0882201E-06 -1.3533498E-05 -1.3461862E-05
   131.1630      9.6829999E-03  4.0029199E-06 -1.3224237E-05 -1.3155400E-05
   132.5920      9.5528001E-03  3.9065499E-06 -1.2936326E-05 -1.2866721E-05
   134.0350      9.3594603E-03  3.7862601E-06 -1.2632729E-05 -1.2565011E-05
   135.4950      9.2443498E-03  3.6994099E-06 -1.2319304E-05 -1.2255196E-05
   136.9700      9.1524003E-03  3.6231600E-06 -1.2023707E-05 -1.1961306E-05
   138.4620      9.0626497E-03  3.5489800E-06 -1.1744167E-05 -1.1682730E-05
   139.9700      8.9501999E-03  3.4671900E-06 -1.1473764E-05 -1.1413293E-05
   141.4940      8.8285804E-03  3.3832400E-06 -1.1208547E-05 -1.1148773E-05
   143.0350      8.6759301E-03  3.2889200E-06 -1.0938851E-05 -1.0880390E-05
   144.5920      8.5528102E-03  3.2073301E-06 -1.0661408E-05 -1.0606431E-05
   146.1670      8.4909396E-03  3.1498200E-06 -1.0408718E-05 -1.0353911E-05
   147.7580      8.3185202E-03  3.0526201E-06 -1.0160141E-05 -1.0105688E-05
   149.3670      8.2010198E-03  2.9770799E-06 -9.9042109E-06 -9.8515347E-06
   150.9940      8.0441097E-03  2.8886700E-06 -9.6497897E-06 -9.5977421E-06
   152.6380      7.9143504E-03  2.8114600E-06 -9.3815897E-06 -9.3329973E-06
   154.3000      7.8783203E-03  2.7685101E-06 -9.1278280E-06 -9.0823296E-06
   155.9800      7.8403801E-03  2.7255001E-06 -8.9153236E-06 -8.8682300E-06
   157.6790      7.6525002E-03  2.6315299E-06 -8.7050339E-06 -8.6560221E-06
   159.3960      7.4441899E-03  2.5323300E-06 -8.4536487E-06 -8.4085841E-06
   161.1320      7.3868898E-03  2.4857600E-06 -8.2017395E-06 -8.1608114E-06
   162.8860      7.3385201E-03  2.4428900E-06 -7.9901183E-06 -7.9478814E-06
   164.6600      7.1609202E-03  2.3580899E-06 -7.7807645E-06 -7.7368195E-06
   166.4530      6.9697299E-03  2.2704101E-06 -7.5299986E-06 -7.4910486E-06
   168.2660      6.9920202E-03  2.2531301E-06 -7.2986513E-06 -7.2614175E-06
   170.0980      6.8688099E-03  2.1895801E-06 -7.0841288E-06 -7.0480037E-06
   171.9500      6.8880199E-03  2.1720600E-06 -6.8893364E-06 -6.8528825E-06
   173.8230      6.6722599E-03  2.0813500E-06 -6.6964053E-06 -6.6585903E-06
   175.7150      6.5570902E-03  2.0233999E-06 -6.4661563E-06 -6.4339692E-06
   177.6290      6.5694801E-03  2.0053801E-06 -6.2712006E-06 -6.2392419E-06
   179.5630      6.4038602E-03  1.9337699E-06 -6.0982111E-06 -6.0627367E-06
   181.5180      6.1551798E-03  1.8386500E-06 -5.8777291E-06 -5.8460146E-06
   183.4950      6.1245300E-03  1.8097900E-06 -5.6568442E-06 -5.6273398E-06
   185.4930      5.9803501E-03  1.7481500E-06 -5.4419697E-06 -5.4145403E-06
   187.5130      6.0252501E-03  1.7423000E-06 -5.2470809E-06 -5.2201958E-06
   189.5550      5.8466499E-03  1.6724400E-06 -5.0678609E-06 -5.0384351E-06
   191.6190      5.6850002E-03  1.6086900E-06 -4.8482952E-06 -4.8231805E-06
   193.7060      5.6843199E-03  1.5911700E-06 -4.6437967E-06 -4.6194255E-06
   195.8150      5.5332598E-03  1.5322000E-06 -4.4430594E-06 -4.4189101E-06
   197.9470      5.5012298E-03  1.5069199E-06 -4.2310853E-06 -4.2099909E-06
   200.1030      5.4695602E-03  1.4821100E-06 -4.0424161E-06 -4.0200712E-06
   202.2820      5.3143599E-03  1.4245400E-06 -3.8369813E-06 -3.8167955E-06
   204.4840      5.3375498E-03  1.4153400E-06 -3.6365827E-06 -3.6175652E-06
   206.7110      5.1854602E-03  1.3602000E-06 -3.4424345E-06 -3.4229452E-06
   208.9620      5.1018298E-03  1.3238500E-06 -3.2338144E-06 -3.2150961E-06
   211.2370      4.9314802E-03  1.2658600E-06 -3.0066294E-06 -2.9899240E-06
   213.5380      4.9278401E-03  1.2513000E-06 -2.7714927E-06 -2.7573396E-06
   215.8630      4.8771799E-03  1.2251000E-06 -2.5487745E-06 -2.5343368E-06
   218.2130      4.8032501E-03  1.1935300E-06 -2.3136488E-06 -2.3007003E-06
   220.5900      4.7653499E-03  1.1713601E-06 -2.0775387E-06 -2.0636671E-06
   222.9920      4.5709498E-03  1.1114701E-06 -1.8046469E-06 -1.7937842E-06
   225.4200      4.6607601E-03  1.1211000E-06 -1.5259013E-06 -1.5159939E-06
   227.8750      4.4757202E-03  1.0649900E-06 -1.2376870E-06 -1.2253288E-06
   230.3560      4.3649799E-03  1.0274500E-06 -8.7836247E-07 -8.7070572E-07
   232.8640      4.4689099E-03  1.0405799E-06 -5.0505076E-07 -4.9710292E-07
   235.4000      4.3482902E-03  1.0015900E-06 -9.8220454E-08 -8.3706020E-08
   237.9640      4.0841200E-03  9.3060999E-07  4.5213670E-07  4.6947491E-07
   240.5550      4.1114101E-03  9.2673599E-07  1.1830070E-06  1.2108496E-06
   243.1740      4.2420300E-03  9.4587898E-07  2.2666338E-06  2.3165853E-06
   245.8220      6.0349898E-03  1.3311700E-06  4.4655776E-06  4.3422010E-06
   248.4990      2.3025200E-02  5.0240901E-06  5.6121326E-06  5.3398694E-06
   251.2050      3.8074099E-02  8.2182696E-06  3.5736186E-06  3.4905240E-06
   253.9400      3.9055999E-02  8.3394098E-06  9.9660861E-07  1.0745234E-06
   256.7060      3.6770798E-02  7.7668801E-06 -3.1167355E-07 -2.4623100E-07
   259.5010      3.4842499E-02  7.2803000E-06 -9.2420726E-07 -8.8927214E-07
   262.3270      3.3808898E-02  6.9882399E-06 -1.2728308E-06 -1.2589853E-06
   265.1830      3.3544499E-02  6.8589002E-06 -1.5944020E-06 -1.5927411E-06
   268.0710      3.3410098E-02  6.7578198E-06 -2.0910029E-06 -2.0616542E-06
   270.9900      3.0797699E-02  6.1623100E-06 -2.3564221E-06 -2.3233165E-06
   273.9410      3.0190600E-02  5.9757799E-06 -2.3628768E-06 -2.3521745E-06
   276.9240      2.9582901E-02  5.7924199E-06 -2.4546439E-06 -2.4388828E-06
   279.9400      2.8945200E-02  5.6065001E-06 -2.5131681E-06 -2.4969136E-06
   282.9880      2.8524701E-02  5.4655202E-06 -2.5310349E-06 -2.5195156E-06
   286.0690      2.8483501E-02  5.3988401E-06 -2.5767199E-06 -2.5662509E-06
   289.1850      2.8278399E-02  5.3022300E-06 -2.6687383E-06 -2.6528451E-06
   292.3340      2.7799200E-02  5.1562401E-06 -2.7314106E-06 -2.7147471E-06
   295.5170      2.7503001E-02  5.0463400E-06 -2.7663655E-06 -2.7508606E-06
   298.7350      2.7159100E-02  4.9295600E-06 -2.7933258E-06 -2.7783381E-06
   301.9880      2.6964201E-02  4.8414699E-06 -2.8184700E-06 -2.8038769E-06
   305.2760      2.6685800E-02  4.7398698E-06 -2.8534059E-06 -2.8360391E-06
