Run	Sanity	CTB	Sigfrac	FTPCin	FTPCHV		FTPCBum	Shiftlog
**4017063	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4018009	Good	Good	Good 	Good 	Good	 	Good Good 	
**4018011	Good	Good	Good 	Good 	Good	 	Good Good 	
**4018012	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4018013	Good	Good	Good 	Good 	Good	 	Good Good 	
**4018015	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4018016	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4018017	Good	Good	Good 	Good 	Good	 	Good Good 	
**4019007	Good	Good	Good 	Good 	Good	 	Absent Good 	
**4019009	Good	Good	Good 	Good 	Good	 	Absent Good 	
**4019010	Good	Good	Good 	Good 	AbsentDB	Absent Good 	
**4019014	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4019018	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4019019	Good	Good	Good 	Good 	Good	 	Good Good 	
**4019021	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4019024	Good	Good	Good 	Good 	Good	 	Good Good 	
**4019030	Good	Good	Good 	Good 	Good	 	Good Good 	
**4019032	Good	Good	Good 	Good 	Good	 	Good Good 	
**4019034	Good	Good	Good 	Good 	Good	 	Good Good 	
**4019035	Good	Good	Good 	Good 	Good	 	Good Good 	
**4019038	Good	Good	Good 	Good 	Bad	 	Good Good 	
**4020025	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4020026	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4020039	Good	Good	Good 	Good 	Good	 	Good Good 	
**4020040	Good	Good	Good 	Good 	Good	 	Good Good 	
**4020043	Good	Good	Good 	Good 	Good	 	Good Good 	
**4020044	Good	Good	Good 	Good 	Good	 	Good Good 	
**4020072	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4020077	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4020078	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4020081	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4020082	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4020084	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4020086	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4020087	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4020088	Good	Good	Good 	Good 	Good	 	Good Good 	
**4021002	Good	Good	Good 	Good 	Good	 	Good Good 	
**4021003	Good	Good	Good 	Good 	Good	 	Good Good 	
**4021009	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4021011	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4021012	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4021014	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4021015	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4021017	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4021020	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4021022	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4021023	Good	Good	Good 	Good 	Good	 	Good Good 	
**4021024	Good	Good	Good 	Good 	Good	 	Good Good 	
**4021025	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4021026	Good	Good	Good 	Good 	Good	 	Good Good 	
**4021028	Good	Good	Good 	Good 	Good	 	Good Good 	
**4021029	Good	Good	Good 	Good 	Good	 	Good Good 	
