#  FGT mapping, timeStamp date=20120127  time=174050
# electId,geoID,   RDO(1;2),ARM(0-4),APV(0-9;12-21),chan(0-127),    disk(1-6),quad(A-D),layer(P;R),strip(P:0-719;R0-279+400-679),   ordinate(rad;cm),lowSpan(cm;rad),upSpan(cm;rad), geoName,  stat,ped(ADC),sigPed(ADC)
0,9,  1,0,0,0,  1,A,R,9,   37.2986,0.821,1.539,  1AR009,   0,270.0,22.4
1,720,  1,0,0,1,  1,A,P,0,   1.5384,37.071,38.250,  1AP000,   0,210.0,24.3
2,733,  1,0,0,2,  1,A,P,13,   1.5112,20.144,38.250,  1AP013,   0,174.0,27.3
3,723,  1,0,0,3,  1,A,P,3,   1.5321,31.050,38.250,  1AP003,   0,198.0,26.9
4,740,  1,0,0,4,  1,A,P,20,   1.4965,16.173,38.250,  1AP020,   0,174.0,28.4
5,722,  1,0,0,5,  1,A,P,2,   1.5342,32.824,38.250,  1AP002,   0,210.0,22.8
6,721,  1,0,0,6,  1,A,P,1,   1.5363,34.824,38.250,  1AP001,   0,234.0,30.8
7,724,  1,0,0,7,  1,A,P,4,   1.5300,29.451,38.250,  1AP004,   0,210.0,28.3
8,11,  1,0,0,8,  1,A,R,11,   37.1079,0.802,1.538,  1AR011,   0,210.0,45.2
9,731,  1,0,0,9,  1,A,P,11,   1.5154,21.665,38.250,  1AP011,   0,198.0,36.0
10,13,  1,0,0,10,  1,A,R,13,   36.9171,0.782,1.538,  1AR013,   0,186.0,36.3
11,8,  1,0,0,11,  1,A,R,8,   37.3940,0.829,1.539,  1AR008,   4,174.0,53.8
12,15,  1,0,0,12,  1,A,R,15,   36.7264,0.760,1.538,  1AR015,   0,174.0,18.5
13,726,  1,0,0,13,  1,A,P,6,   1.5259,26.707,38.250,  1AP006,   0,186.0,33.9
14,745,  1,0,0,14,  1,A,P,25,   1.4861,19.125,38.250,  1AP025,   0,198.0,31.1
15,743,  1,0,0,15,  1,A,P,23,   1.4902,19.125,38.250,  1AP023,   0,210.0,49.3
16,4,  1,0,0,16,  1,A,R,4,   37.7755,0.862,1.539,  1AR004,   0,210.0,21.8
17,746,  1,0,0,17,  1,A,P,26,   1.4840,13.836,38.250,  1AP026,   0,222.0,58.0
18,5,  1,0,0,18,  1,A,R,5,   37.6802,0.854,1.539,  1AR005,   0,186.0,19.8
19,14,  1,0,0,19,  1,A,R,14,   36.8217,0.771,1.538,  1AR014,   0,198.0,17.6
20,19,  1,0,0,20,  1,A,R,19,   36.3448,0.706,1.538,  1AR019,   0,234.0,61.8
21,738,  1,0,0,21,  1,A,P,18,   1.5007,17.138,38.250,  1AP018,   0,186.0,42.1
22,732,  1,0,0,22,  1,A,P,12,   1.5133,20.879,38.250,  1AP012,   0,198.0,41.7
23,735,  1,0,0,23,  1,A,P,15,   1.5070,19.125,38.250,  1AP015,   4,198.0,39.3
24,748,  1,0,0,24,  1,A,P,28,   1.4798,13.201,38.250,  1AP028,   0,198.0,39.7
25,18,  1,0,0,25,  1,A,R,18,   36.4402,0.721,1.538,  1AR018,   0,246.0,29.7
26,17,  1,0,0,26,  1,A,R,17,   36.5356,0.735,1.538,  1AR017,   0,270.0,45.7
27,747,  1,0,0,27,  1,A,P,27,   1.4819,19.125,38.250,  1AP027,   0,234.0,46.0
28,749,  1,0,0,28,  1,A,P,29,   1.4777,19.125,38.250,  1AP029,   0,258.0,45.9
29,10,  1,0,0,29,  1,A,R,10,   37.2033,0.812,1.539,  1AR010,   0,246.0,27.4
30,752,  1,0,0,30,  1,A,P,32,   1.4714,12.092,38.250,  1AP032,   0,306.0,55.6
31,16,  1,0,0,31,  1,A,R,16,   36.6310,0.748,1.538,  1AR016,   0,282.0,60.4
32,753,  1,0,0,32,  1,A,P,33,   1.4693,19.125,38.250,  1AP033,   0,342.0,36.4
33,751,  1,0,0,33,  1,A,P,31,   1.4735,19.125,38.250,  1AP031,   0,318.0,34.6
34,727,  1,0,0,34,  1,A,P,7,   1.5238,25.522,38.250,  1AP007,   0,294.0,29.0
35,742,  1,0,0,35,  1,A,P,22,   1.4923,15.311,38.250,  1AP022,   0,306.0,41.9
36,737,  1,0,0,36,  1,A,P,17,   1.5028,19.125,38.250,  1AP017,   0,282.0,34.8
37,739,  1,0,0,37,  1,A,P,19,   1.4986,19.125,38.250,  1AP019,   0,306.0,42.9
38,21,  1,0,0,38,  1,A,R,21,   36.1541,0.671,1.538,  1AR021,   0,306.0,62.6
39,750,  1,0,0,39,  1,A,P,30,   1.4756,12.622,38.250,  1AP030,   0,318.0,39.1
40,756,  1,0,0,40,  1,A,P,36,   1.4630,11.500,38.250,  1AP036,   0,342.0,52.9
41,754,  1,0,0,41,  1,A,P,34,   1.4672,11.604,38.250,  1AP034,   0,318.0,53.9
42,736,  1,0,0,42,  1,A,P,16,   1.5049,18.226,38.250,  1AP016,   0,330.0,30.9
43,12,  1,0,0,43,  1,A,R,12,   37.0125,0.792,1.538,  1AR012,   0,306.0,49.3
44,725,  1,0,0,44,  1,A,P,5,   1.5280,28.016,38.250,  1AP005,   0,294.0,22.8
45,734,  1,0,0,45,  1,A,P,14,   1.5091,19.462,38.250,  1AP014,   0,282.0,34.6
46,757,  1,0,0,46,  1,A,P,37,   1.4609,19.125,38.250,  1AP037,   0,306.0,35.6
47,20,  1,0,0,47,  1,A,R,20,   36.2495,0.690,1.538,  1AR020,   0,354.0,46.9
48,23,  1,0,0,48,  1,A,R,23,   35.9633,0.620,1.537,  1AR023,   0,306.0,21.5
49,22,  1,0,0,49,  1,A,R,22,   36.0587,0.649,1.538,  1AR022,   0,342.0,61.8
50,0,  1,0,0,50,  1,A,R,0,   38.1571,0.891,1.539,  1AR000,   0,306.0,14.5
51,730,  1,0,0,51,  1,A,P,10,   1.5175,22.518,38.250,  1AP010,   0,306.0,31.3
52,3,  1,0,0,52,  1,A,R,3,   37.8709,0.869,1.539,  1AR003,   0,330.0,45.3
53,744,  1,0,0,53,  1,A,P,24,   1.4882,14.536,38.250,  1AP024,   0,318.0,45.4
54,6,  1,0,0,54,  1,A,R,6,   37.5848,0.846,1.539,  1AR006,   0,330.0,52.1
55,755,  1,0,0,55,  1,A,P,35,   1.4651,19.125,38.250,  1AP035,   0,342.0,35.8
56,729,  1,0,0,56,  1,A,P,9,   1.5196,23.436,38.250,  1AP009,   0,306.0,34.6
57,741,  1,0,0,57,  1,A,P,21,   1.4944,19.125,38.250,  1AP021,   0,306.0,35.6
58,728,  1,0,0,58,  1,A,P,8,   1.5217,24.432,38.250,  1AP008,   0,342.0,30.8
59,2,  1,0,0,59,  1,A,R,2,   37.9663,0.877,1.539,  1AR002,   0,306.0,41.8
60,7,  1,0,0,60,  1,A,R,7,   37.4894,0.838,1.539,  1AR007,   0,354.0,52.4
61,1,  1,0,0,61,  1,A,R,1,   38.0617,0.884,1.539,  1AR001,   0,342.0,51.3
62,760,  1,0,0,62,  1,A,P,40,   1.4546,11.500,38.250,  1AP040,   0,354.0,51.0
63,758,  1,0,0,63,  1,A,P,38,   1.4588,11.500,38.250,  1AP038,   0,354.0,46.4
64,761,  1,0,0,64,  1,A,P,41,   1.4525,19.125,38.250,  1AP041,   0,390.0,35.7
