nStrip     Strip_LEdge Strip_REdge
0          17.82      21.02      
1          21.02      24.22      
2          24.22      27.42      
3          27.42      30.62      
4          30.62      33.82      
5          33.82      37.02      
6          37.02      40.22      
7          40.22      43.42      
8          43.42      46.62      
9          46.62      49.82      
10         49.82      53.02      
11         53.02      56.22      
12         56.22      59.42      
13         59.42      62.62      
14         62.62      65.82      
15         65.82      69.02      
16         69.02      72.22      
17         72.22      75.42      
18         75.42      78.62      
19         78.62      81.82      
20         81.82      85.02      
21         85.02      88.22      
22         88.22      91.42      
23         91.42      94.62      
24         94.62      97.82      
25         97.82      101.02     
26         101.02     104.22     
27         104.22     107.42     
28         107.42     110.62     
29         110.62     113.82     
30         113.82     117.02     
31         117.02     120.22     
32         120.22     123.42     
33         123.42     126.62     
34         126.62     129.82     
35         129.82     133.02     
36         133.02     136.22     
37         136.22     139.42     
38         139.42     142.62     
39         142.62     145.82     
40         145.82     149.02     
41         149.02     152.22     
42         152.22     155.42     
43         155.42     158.62     
44         158.62     161.82     
45         161.82     165.02     
46         165.02     168.22     
47         168.22     171.42     
48         171.42     174.62     
49         174.62     177.82     
50         177.82     181.02     
51         181.02     184.22     
52         184.22     187.42     
53         187.42     190.62     
54         190.62     193.82     
55         193.82     197.02     
56         197.02     200.22     
57         200.22     203.42     
58         203.42     206.62     
59         206.62     209.82     
60         209.82     213.02     
61         213.02     216.22     
62         216.22     219.42     
63         219.42     222.62     
64         222.62     225.82     
65         225.82     229.02     
66         229.02     232.22     
67         232.22     235.42     
68         235.42     238.62     
69         238.62     241.82     
70         241.82     245.02     
71         245.02     248.22     
72         248.22     251.42     
73         251.42     254.62     
74         254.62     257.82     
75         257.82     261.02     
76         261.02     264.22     
77         264.22     267.42     
78         267.42     270.62     
79         270.62     273.82     
80         273.82     277.02     
81         277.02     280.22     
82         280.22     283.42     
83         283.42     286.62     
84         286.62     289.82     
85         289.82     293.02     
86         293.02     296.22     
87         296.22     299.42     
88         299.42     302.62     
89         302.62     305.82     
90         305.82     309.02     
91         309.02     312.22     
92         312.22     315.42     
93         315.42     318.62     
94         318.62     321.82     
95         321.82     325.02     
96         325.02     328.22     
97         328.22     331.42     
98         331.42     334.62     
99         334.62     337.82     
100        337.82     341.02     
101        341.02     344.22     
102        344.22     347.42     
103        347.42     350.62     
104        350.62     353.82     
105        353.82     357.02     
106        357.02     360.22     
107        360.22     363.42     
108        363.42     366.62     
109        366.62     369.82     
110        369.82     373.02     
111        373.02     376.22     
112        376.22     379.42     
113        379.42     382.62     
114        382.62     385.82     
115        385.82     389.02     
116        389.02     392.22     
117        392.22     395.42     
118        395.42     398.62     
119        398.62     401.82     
120        401.82     405.02     
121        405.02     408.22     
122        408.22     411.42     
123        411.42     414.62     
124        414.62     417.82     
125        417.82     421.02     
126        421.02     424.22     
127        424.22     427.42     
128        427.42     430.62     
129        430.62     433.82     
130        433.82     437.02     
131        437.02     440.22     
132        440.22     443.42     
133        443.42     446.62     
134        446.62     449.82     
135        449.82     453.02     
136        453.02     456.22     
137        456.22     459.42     
138        459.42     462.62     
139        462.62     465.82     
140        465.82     469.02     
141        469.02     472.22     
142        472.22     475.42     
143        475.42     478.62     
144        478.62     481.82     
145        481.82     485.02     
146        485.02     488.22     
147        488.22     491.42     
148        491.42     494.62     
149        494.62     497.82     
150        497.82     501.02     
