#L2-ped algorithm finishRun(7075009)
#L2H10,6,total event counter; x=cases,15014,15014,15014,0,0,0,
#L2ped  CPU/eve MPV 129 kTicks,  FWHM=5, seen eve=15014
# L2ped-Adc spectra, run=7075009, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  15  1.7 0x01 0x38         P01TA01  336 :.........<.........*.........>.58999742:.........:.........:.........:......... qa=+
 01TA02  10  1.7 0x01 0x39         P01TA02  342 :.........<.........*.....157999753.....:.........:.........:.........:......... qa=+
 01TA03  22  1.3 0x01 0x3a         P01TA03  348 :.........<.........*.........>........2689975....:.........:.........:......... qa=+
 01TA04  22  1.3 0x01 0x6d         P01TA04  654 :.........<.........*.........>.......24799974....:.........:.........:......... qa=+
 01TA05  20  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>.....257999852.....:.........:.........:......... qa=+
 01TA06  20  0.9 0x01 0x6e         P01TA06  660 :.........<.........*.........>......37998631.....:.........:.........:......... qa=+
 01TA07  25  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:147899752:.........:.........:......... qa=+
 01TA08  19  1.7 0x01 0x3b         P01TA08  354 :.........<.........*.........>....147899864......:.........:.........:......... qa=+
 01TA09   7  1.3 0x01 0x3c         P01TA09  360 :.........<.........*....589985.........:.........:.........:.........:......... qa=+
 01TA10  16  0.9 0x01 0x3d         P01TA10  366 :.........<.........*.........>..25899621.........:.........:.........:......... qa=+
 01TA11  21  0.9 0x01 0x3e         P01TA11  372 :.........<.........*.........>.......3699961.....:.........:.........:......... qa=+
 01TA12  16  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>..2689974:.........:.........:.........:......... qa=+
 01TB01  23  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>........26899875...:.........:.........:......... qa=+
 01TB02  23  1.3 0x01 0x41         P01TB02  390 :.........<.........*.........>.........368998741.:.........:.........:......... qa=+
 01TB03  26  1.7 0x01 0x42         P01TB03  396 :.........<.........*.........>.........:..47999752.........:.........:......... qa=+
 01TB04  15  1.3 0x01 0x70         P01TB04  672 :.........<.........*.........>.26899851:.........:.........:.........:......... qa=+
 01TB05  24  1.3 0x01 0x71         P01TB05  678 :.........<.........*.........>.........3689985...:.........:.........:......... qa=+
 01TB06  23  1.7 0x01 0x72         P01TB06  684 :.........<.........*.........>........15799973...:.........:.........:......... qa=+
 01TB07  20  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>......15899863.....:.........:.........:......... qa=+
 01TB08  31  1.3 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:.......46899852....:.........:......... qa=+
 01TB09  15  1.7 0x01 0x44         P01TB09  408 :.........<.........*.........>.368998741.........:.........:.........:......... qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>.....14799862......:.........:.........:......... qa=+
 01TB11  27  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:...4799961.........:.........:......... qa=+
 01TB12  31  1.3 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:.......4899851.....:.........:......... qa=+
 01TC01  23  1.7 0x01 0x48         P01TC01  432 :.........<.........*.........>........147999751..:.........:.........:......... qa=+
 01TC02  27  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:...2799861.........:.........:......... qa=+
 01TC03  26  0.9 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:..1699972:.........:.........:......... qa=+
 01TC04  16  1.3 0x01 0x74         P01TC04  696 :.........<.........*.........>..1589973:.........:.........:.........:......... qa=+
 01TC05  15  1.3 0x01 0x75         P01TC05  702 :.........<.........*.........>..58:962.:.........:.........:.........:......... qa=+
 01TC06  18  1.3 0x01 0x76         P01TC06  708 :.........<.........*.........>....3799862........:.........:.........:......... qa=+
 01TC07  12  1.3 0x01 0x77         P01TC07  714 :.........<.........*........27998732...:.........:.........:.........:......... qa=+
 01TC08  31  1.3 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:......26899852.....:.........:......... qa=+
 01TC09  20  1.3 0x01 0x4c         P01TC09  456 :.........<.........*.........>......26899863.....:.........:.........:......... qa=+
 01TC10  27  1.7 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:..147999862........:.........:......... qa=+
 01TC11  31  1.3 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:......14799875.....:.........:......... qa=+
 01TC12  23  1.7 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........57999751..:.........:.........:......... qa=+
 01TD01  20  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>......2689974......:.........:.........:......... qa=+
 01TD02  23  1.3 0x02 0x01         P01TD02    7 :.........<.........*.........>.........1699973...:.........:.........:......... qa=+
 01TD03  28  1.3 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:...15899852........:.........:......... qa=+
 01TD04  18  1.7 0x02 0x50         P01TD04  481 :.........<.........*.........>....47999741.......:.........:.........:......... qa=+
 01TD05  19  1.3 0x02 0x51         P01TD05  487 :.........<.........*.........>....25899863.......:.........:.........:......... qa=+
 01TD06  24  1.3 0x02 0x52         P01TD06  493 :.........<.........*.........>.........258998751.:.........:.........:......... qa=+
 01TD07  22  1.7 0x02 0x53         P01TD07  499 :.........<.........*.........>.......2589987531..:.........:.........:......... qa=+
 01TD08  26  1.3 0x02 0x03         P01TD08   19 :.........<.........*.........>.........:..26999741.........:.........:......... qa=+
