#L2-ped algorithm finishRun(7090019), compiled: Mar 27 2006 , 16:21:09
#L2H10,6,total event counter; x=cases,183019,45755,45755,0,0,0,
#L2ped  CPU/eve MPV 30 kTicks,  FWHM=2, seen eve=183019
#L2ped  will save full spectra for all towers
# L2ped-Adc spectra, run=7090019, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  17  1.3 0x01 0x38         P01TA01  336 :.........<.........*.........>15789::9765554444433323321222112111211.2.1.11.... qa=+
 01TA02  13  1.7 0x01 0x39         P01TA02  342 :.........<.........*.......1479:::97655544443433222221122.12.12111..1:...11.... qa=+
 01TA03  25  1.3 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........:579::9865555444434333222212221122111..1 qa=+
 01TA04  25  1.7 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........:368:::97555444333332232111..1:111.1.111 qa=+
 01TA05  21  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>......158:::986555444433333322322221.212.111..111 qa=+
 01TA06  21  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>.......58:::86555544444333322222212212111211.1111 qa=+
 01TA07  26  1.7 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:.158:::86555444444333322221222.112212.. qa=+
 01TA08  20  1.7 0x01 0x3b         P01TA08  354 :.........<.........*.........>.....368:::9755444444333333322223122212:.221111.. qa=+
 01TA09  11  1.3 0x01 0x3c         P01TA09  360 :.........<.........*.......48:::855554443343333333222222112:221111111:1......1. qa=+
 01TA10  20  1.3 0x01 0x3d         P01TA10  366 :.........<.........*.........>....1379::96555444444333332323231221..1111..1.111 qa=+
 01TA11  23  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>........169::9755444444433333332222222211211.1... qa=+
 01TA12  18  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>....269::9755444443343333233232322222222212111111 qa=+
 01TB01  22  2.2 0x01 0x40         P01TB01  384 :.........<.........*.........>......14689::99765444444333223322111312121.1.1.1. qa=+
 01TB02  24  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>........2468:::9875545444443232222222222211..2111 qa=+
 01TB03  25  1.7 0x01 0x42         P01TB03  396 :.........<.........*.........>.........1468:::97555444433232232221222221...1.11 qa=+
 01TB04  16  1.3 0x01 0x70         P01TB04  672 :.........<.........*.........>.1489::9765544433333332212.11:.11111...:...1..... qa=+
 01TB05  24  1.3 0x01 0x71         P01TB05  678 :.........<.........*.........>.........479::97555444444433332322211121..12121.1 qa=+
 01TB06  24  1.3 0x01 0x72         P01TB06  684 :.........<.........*.........>.........369::9755554444443333322222122:12.1..21. qa=+
 01TB07  22  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>........479::975554544434433323322122..1121111111 qa=+
 01TB08  30  1.7 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:.....368:::9865544444433333332221212111 qa=+
 01TB09  15  2.2 0x01 0x44         P01TB09  408 :.........<.........*.........>4689::98654444443333322232221222.12121.:1.1..1..1 qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>.....158:::86554444443333323233222222221211.11112 qa=+
 01TB11  20  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.....379::975......:.55454444:.......33223222.... qa=+
 01TB12  31  1.3 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:......1589::975544444334342233332322122 qa=+
 01TC01  21  1.7 0x01 0x48         P01TC01  432 :.........<.........*.........>......468:::875554443433332222.212211.111.1.11.11 qa=+
 01TC02  27  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:...47:::8655544443333222321121122.....1 qa=+
 01TC03  26  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:..47:::86555444343333221223222221111..1 qa=+
 01TC04  18  1.3 0x01 0x74         P01TC04  696 :.........<.........*.........>.....48::9665555444433333223222222111121.11...11. qa=+
 01TC05  18  1.3 0x01 0x75         P01TC05  702 :.........<.........*.........>....269a:8655544443333232222121..11.1..:11.1.1.11 qa=+
 01TC06  17  1.3 0x01 0x76         P01TC06  708 :.........<.........*.........>...27:::86555544444333432233222322122221121221..1 qa=+
 01TC07  16  1.3 0x01 0x77         P01TC07  714 :.........<.........*.........>..48:a975555444344333313322222222121112:111...11. qa=+
