#L2-ped run(7118002)
#L2H10,6,total event counter; x=cases,1629,1629,1629,0,0,0,
#L2ped  CPU/eve MPV 140 kTicks,  FWHM=3, seen eve=1629
# L2ped-Adc spectra, run=7118002, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  17  1.3 0x01 0x38         P01TA01  336 :.........<.........*.........>.135677643211.11...1.......11:.........:.....1... qa=+
 01TA02  14  1.3 0x01 0x39         P01TA02  342 :.........<.........*.........25677643222.1.111.1.1.........:.........:......... qa=+
 01TA03  25  1.7 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........:.356775332221111.111.........11........ qa=+
 01TA04  25  1.3 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........:124677642312.11....:......1..:......... qa=+
 01TA05  21  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>.......25677642112111..1.1.1.:.1.......:...1..... qa=+
 01TA06  21  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>.......2577643122.1111112....:.........1......... qa=+
 01TA07  26  1.7 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:...4677531111.12...:11....1..:......... qa=+
 01TA08  20  1.3 0x01 0x3b         P01TA08  354 :.........<.........*.........>......35676532221.1:111.....11.........:......... qa=+
 01TA09  12  1.3 0x01 0x3c         P01TA09  360 :.........<.........*........3677532211211.111..1.:.1.......:.........:1.....1.. qa=+
 01TA10  20  0.9 0x01 0x3d         P01TA10  366 :.........<.........*.........>......1567642221.1.1...111...1.....1..1:.1....11. qa=+
 01TA11  23  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>.........25776412.1:122.1....:.1..1....:1........ qa=+
 01TA12  18  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>....146775321211..11.11......1.........:......... qa=+
 01TB01  23  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>........246776643.22.1.......:.........:......... qa=+
 01TB02  24  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>........1:25677653.21..11...1:.1...1...:..1...... qa=+
 01TB03  25  1.7 0x01 0x42         P01TB03  396 :.........<.........*.........>.........:135677542:221.11.11:...1.1...:......... qa=+
 01TB04  16  1.7 0x01 0x70         P01TB04  672 :.........<.........*.........>..256775321112111..11....11..:........1:.1....... qa=+
 01TB05  24  1.7 0x01 0x71         P01TB05  678 :.........<.........*.........>.........2457764231212211111.1......1..:......... qa=+
 01TB06  24  1.7 0x01 0x72         P01TB06  684 :.........<.........*.........>.........:257764322:11.11.1..:1........:......... qa=+
 01TB07  23  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>.........357764121.11.2.1....:.........:...1..... qa=+
 01TB08  30  1.7 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:.....13567765311.2211....1..1:........1 qa=+
 01TB09  15  1.7 0x01 0x44         P01TB09  408 :.........<.........*.........>.34677653211111....1....1....:.......1.:......... qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>.......3677641211211...1.1...:......1..:.1....... qa=+
 01TB11  28  0.9 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:....2567642.2.211.1:..1......:.1....1.. qa=+
 01TB12  31  1.3 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:.......2467764222.221111...1.1..1....1. qa=+
 01TC01  21  1.7 0x01 0x48         P01TC01  432 :.........<.........*.........>......1256765322..111...1...1:......1..:......... qa=+
 01TC02  27  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:....3677532111221.1:11.......1......... qa=+
 01TC03  26  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:..24677533211111...1..1......:.....1... qa=+
 01TC04  19  0.9 0x01 0x74         P01TC04  696 :.........<.........*.........>......367642221112.111......1:.1.......:......... qa=+
 01TC05  18  1.3 0x01 0x75         P01TC05  702 :.........<.........*.........>.....2577532211.1..:.....1...:....1.1..:......... qa=+
 01TC06  18  1.3 0x01 0x76         P01TC06  708 :.........<.........*.........>....15776412211111.1.1..1..11:......1..:......... qa=+
 01TC07  16  1.3 0x01 0x77         P01TC07  714 :.........<.........*.........>...46774222212.2.1.:.11......:.........:......... qa=+
 01TC08  32  1.3 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:.......146776422121:1211..11.:......... qa=+
 01TC09  20  1.7 0x01 0x4c         P01TC09  456 :.........<.........*.........>......256775421.1.11.....21..:.........:..1...... qa=+
 01TC10  29  1.7 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:.....2467764222111.:.......1.:...1..... qa=+
 01TC11  31  1.7 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:.......14677653111.1.11...1.1:....1.... qa=+
 01TC12  24  1.3 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........:.46776421111..121..:.1..1....1.1....... qa=+
 01TD01  19  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>.....2467753211211.:1......1.:.........:......... qa=+
 01TD02  23  1.7 0x02 0x01         P01TD02    7 :.........<.........*.........>.........:46775322121111.....:.........:....1.... qa=+
 01TD03  28  0.9 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:....2567653211111.1:......1..:.1....... qa=+
 01TD04  18  1.3 0x02 0x50         P01TD04  481 :.........<.........*.........>...1457765322211..1:1........:1........:......... qa=+
 01TD05  19  1.7 0x02 0x51         P01TD05  487 :.........<.........*.........>.....357775221.1211:1....1...:..1...1..:......... qa=+
 01TD06  25  1.7 0x02 0x52         P01TD06  493 :.........<.........*.........>.........:24677654222111211..1...1.....:1..1..... qa=+
 01TD07  22  2.2 0x02 0x53         P01TD07  499 :.........<.........*.........>.......246676652121:1.21111..:.........:........1 qa=+
 01TD08  26  1.7 0x02 0x03         P01TD08   19 :.........<.........*.........>.........:..156765222211.1..1:.1..11.1.:......... qa=+
 01TD09  14  2.2 0x02 0x04         P01TD09   25 :.........<.........*.........246776542.111.11.1.11.........:.....1...:......... qa=+
 01TD10  22  1.3 0x02 0x05         P01TD10   31 :.........<.........*.........>........25677642211:..11..111111.11....:......... qa=+
 01TD11  22  1.7 0x02 0x06         P01TD11   37 :.........<.........*.........>........2577653212.11.1..11.1:........1:......... qa=+
 01TD12  28  1.3 0x02 0x07         P01TD12   43 :.........<.........*.........>.........:....35676542211121.1...1.11..:......... qa=+
 01TE01  23  1.7 0x02 0x08         P01TE01   49 :.........<.........*.........>........1357765221111.11.....1.........:......... qa=+
 01TE02  21  1.7 0x02 0x09         P01TE02   55 :.........<.........*.........>.......1477653112211.2...1.1.:.........:......... qa=+
 01TE03  27  1.3 0x02 0x0a         P01TE03   61 :.........<.........*.........>.........:...25776432121111..:...1.....:.....1... qa=+
 01TE04  15  0.9 0x02 0x54         P01TE04  505 :.........<.........*.........>.1467653221.1.111..:1.11.....:.........:......... qa=+
 01TE05  16  1.3 0x02 0x55         P01TE05  511 :.........<.........*.........>...46775322211.111.:.........:.........:......... qa=+
 01TE06  20  1.7 0x02 0x56         P01TE06  517 :.........<.........*.........>....135677632211211:.....1...:1....1...:......... qa=+
 01TE07  18  1.7 0x02 0x57         P01TE07  523 :.........<.........*.........>....35676522211...1:1.....1.1:.........:........1 qa=+
 01TE08  24  1.3 0x02 0x0b         P01TE08   67 :.........<.........*.........>.........:146775321:2111111..:1.11.1...:......... qa=+
 01TE09  25  1.7 0x02 0x0c         P01TE09   73 :.........<.........*.........>.........:.36776531211..1.11.:.....1...:......... qa=+
 01TE10  20  1.3 0x02 0x0d         P01TE10   79 :.........<.........*.........>......2577642111111:22.......:......1..:.1..1.1.. qa=+
 01TE11  27  1.3 0x02 0x0e         P01TE11   85 :.........<.........*.........>.........:....467752211111...2...111...:.1....11. qa=+
 01TE12  23  1.7 0x02 0x0f         P01TE12   91 :.........<.........*.........>.........3577653121112111....1.1111....:......... qa=+
 02TA01  18  1.3 0x02 0x10         P02TA12   97 :.........<.........*.........>....35676531111.11.:1....1...:...1.....:......... qa=+
 02TA02  20  1.3 0x02 0x11         P02TA11  103 :.........<.........*.........>......257764222.12.:..1......:.....1.1.1....1.... qa=+
 02TA03  22  0.9 0x02 0x12         P02TA10  109 :.........<.........*.........>.........4676432211:..11..11.1..1...1..:......... qa=+
 02TA04  14  1.3 0x02 0x58         P02TA09  529 :.........<.........*.........>12577642211.21...1.:.....1...:1........:....1.... qa=+
 02TA05  16  1.7 0x02 0x59         P02TA08  535 :.........<.........*.........>..357765322.2111.11:1........1..1......:......... qa=+
 02TA06  20  1.3 0x02 0x5a         P02TA07  541 :.........<.........*.........>......35776431222121.1....1..:..1.11...:......... qa=+
 02TA07  31  1.7 0x02 0x5b         P02TA06  547 :.........<.........*.........>.........:.......3677643221.22211...1..:......... qa=+
 02TA08  23  1.3 0x02 0x13         P02TA05  115 :.........<.........*.........>.........:467753211211..1.1..:.1...1..1:......... qa=+
 02TA09  12  1.3 0x02 0x14         P02TA04  121 :.........<.........*.........36775321.11211.1....1..11.....:.........:......... qa=+
 02TA10  14  1.3 0x02 0x15         P02TA03  127 :.........<.........*.........>.467753211111111...1.1.......:.1.......:......... qa=+
 02TA11  16  1.3 0x02 0x16         P02TA02  133 :.........<.........*.........>...36775212.1.11211:1...1.11.1..1.1....:......... qa=+
 02TA12  20  1.3 0x02 0x17         P02TA01  139 :.........<.........*.........>......367763111111.:1.1......1.........:11...1... qa=+
 02TB01  10  1.7 0x02 0x18         P02TB12  145 :.........<.........*......246775312121.:1.1...111:.........:.........:......... qa=+
 02TB02  22  1.3 0x02 0x19         P02TB11  151 :.........<.........*.........>.......23567753222.1..111....:.........:......... qa=+
 02TB03  20  1.3 0x02 0x1a         P02TB10  157 :.........<.........*.........>.......35776431111.1.11.....11..1......:..1...... qa=+
 02TB04  21  1.3 0x02 0x5c         P02TB09  553 :.........<.........*.........>.......14677632122.12....2...:.1.......:.1....... qa=+
 02TB05  23  1.7 0x02 0x5d         P02TB08  559 :.........<.........*.........>.........1477642111221.11..2.:..1......:......... qa=+
 02TB06  21  1.3 0x02 0x5e         P02TB07  565 :.........<.........*.........>.......157764321.2112.1.121..:...1.....:......... qa=+
 02TB07  22  1.7 0x02 0x5f         P02TB06  571 :.........<.........*.........>........4677653212.11.1...1.1:1......1.:......... qa=+
 02TB08  23  1.7 0x02 0x1b         P02TB05  163 :.........<.........*.........>.......12567765412.21211.1..11...1.11.1:..1...... qa=+
 02TB09  19  1.3 0x02 0x1c         P02TB04  169 :.........<.........*.........>.....257764.22211111...1.21..1.11......:......... qa=+
 02TB10  24  1.3 0x02 0x1d         P02TB03  175 :.........<.........*.........>.........:.367752111.11211.111.1.1.....:.....1... qa=+
 02TB11  26  1.3 0x02 0x1e         P02TB02  181 :.........<.........*.........>.........:..35776421112211..11.1.......:.1....... qa=+
 02TB12  23  1.7 0x02 0x1f         P02TB01  187 :.........<.........*.........>.........2467763221111....11.:..1......:......1.. qa=+
 02TC01  17  1.7 0x02 0x20         P02TC01  193 :.........<.........*.........>...4567653211211..11.11..1.1.:.........:......... qa=+
 02TC02  13  1.7 0x02 0x21         P02TC02  199 :.........<.........*.........246775322212111.....:.1....11.:.1.....1.:......... qa=+
 02TC03  23  1.7 0x02 0x22         P02TC03  205 :.........<.........*.........>.........256765322112111..11.:.........:......... qa=+
 02TC04  15  1.3 0x02 0x60         P02TC04  577 :.........<.........*.........>.257765322212211.1.:.1.......1......1..:......... qa=+
 02TC05  20  1.3 0x02 0x61         P02TC05  583 :.........<.........*.........>.......367764322..111.11...1.:.........:......... qa=+
 02TC06  23  1.3 0x02 0x62         P02TC06  589 :.........<.........*.........>.........146775312.11..11..1.:..11....1:......... qa=+
 02TC07  25  1.3 0x02 0x63         P02TC07  595 :.........<.........*.........>.........:.3577653311.2.11111:.1.1.....:......... qa=+
 02TC08  24  1.7 0x02 0x23         P02TC08  211 :.........<.........*.........>.........:3577652112.1.1..1..:11.1.....:......1.. qa=+
 02TC09  16  1.7 0x02 0x24         P02TC09  217 :.........<.........*.........>.145677643111211.1.:.1....1..:..1......:.....1... qa=+
 02TC10  26  1.7 0x02 0x25         P02TC10  223 :.........<.........*.........>.........:.145776532..21.111.1.1.......:......... qa=+
 02TC11  22  1.3 0x02 0x26         P02TC11  229 :.........<.........*.........>........35776532.111.11..11..:...11....:......... qa=+
 02TC12  20  1.3 0x02 0x27         P02TC12  235 :.........<.........*.........>.....1367763...2111:..1...1..:.........:......... qa=+
 02TD01  16  1.7 0x02 0x28         P02TD01  241 :.........<.........*.........>..2567753212111...1111.......:.........:...1..... qa=+
 02TD02  15  1.3 0x02 0x29         P02TD02  247 :.........<.........*.........>.2467753.2222.1.11.:...1..1..:....1....:......... qa=+
 02TD03  17  1.3 0x02 0x2a         P02TD03  253 :.........<.........*.........>...25776432211112..1....111..:.........:......... qa=+
 02TD04  18  1.7 0x02 0x64         P02TD04  601 :.........<.........*.........>...34677653222111..111..2..1.1...1.....:......... qa=+
 02TD05  17  1.7 0x02 0x65         P02TD05  607 :.........<.........*.........>..135677642122..11.:111.1....:.........:......... qa=+
 02TD06  22  1.3 0x02 0x66         P02TD06  613 :.........<.........*.........>........256776423211..1..1..1:....1....:...1..... qa=+
 02TD07  19  1.7 0x02 0x67         P02TD07  619 :.........<.........*.........>.....2567754322122111..1...1.:.........:......... qa=+
 02TD08  23  1.3 0x02 0x2b         P02TD08  259 :.........<.........*.........>.........1467753211:121.1..11:..11.....:..1...... qa=+
 02TD09  19  1.7 0x02 0x2c         P02TD09  265 :.........<.........*.........>.....35677532111.111.1...1.1.:.1.......:......... qa=+
 02TD10  17  1.7 0x02 0x2d         P02TD10  271 :.........<.........*.........>..135676521.21.1.1.:.1...1.1.1......1..:......... qa=+
 02TD11  24  1.3 0x02 0x2e         P02TD11  277 :.........<.........*.........>.........:24677532211.221.111:1........:......... qa=+
 02TD12  23  1.3 0x02 0x2f         P02TD12  283 :.........<.........*.........>.........:4677642211121111.1.1..1...1..:.1..1..1. qa=+
 02TE01  15  1.7 0x02 0x30         P02TE01  289 :.........<.........*.........>246776431221111.1..:.1.......:.........:......... qa=+
 02TE02  15  1.7 0x02 0x31         P02TE02  295 :.........<.........*.........>13567753122..1121..:.......1.:1.....1..:......... qa=+
 02TE03  17  1.7 0x02 0x32         P02TE03  301 :.........<.........*.........>..13567764221221111:.......1.1.........:........1 qa=+
 02TE04  21  1.7 0x02 0x68         P02TE04  625 :.........<.........*.........>......13577654121..2.22...11.:1.1.1....:....1.... qa=+
 02TE05  25  1.3 0x02 0x69         P02TE05  631 :.........<.........*.........>.........:.25776421:2..111..1:1........:....1.... qa=+
 02TE06  25  0.9 0x02 0x6a         P02TE06  637 :.........<.........*.........>.........:.15676532111.121..1:1..1.....:......... qa=+
 02TE07  24  1.3 0x02 0x6b         P02TE07  643 :.........<.........*.........>.........:15776322212121..111:11.1.....:..1.1.... qa=+
 02TE08  18  1.7 0x02 0x33         P02TE08  307 :.........<.........*.........>...13567754222111..:.11..1...:..1....1.:......... qa=+
 02TE09   8  1.3 0x02 0x34         P02TE09  313 :.........<.........*.....36775121.121.1111.1...1.:.1.....1.:.1.......:......... qa=+
 02TE10  10  1.3 0x02 0x35         P02TE10  319 :.........<.........*.......357763221112:11.1.1...:.........:.........:......... qa=+
 02TE11  15  1.3 0x02 0x36         P02TE11  325 :.........<.........*.........>..46775411111211.1.:.......1.:.........:......... qa=+
 02TE12  15  1.7 0x02 0x37         P02TE12  331 :.........<.........*.........>.3577643.12111.21.1:.....1.1.1.........:......... qa=+
 03TA01  12  1.3 0x02 0x38         P03TA01  337 :.........<.........*.........3677642.111.1...1...:..11.....:.........:.....1... qa=+
 03TA02  12  1.3 0x02 0x39         P03TA02  343 :.........<.........*.........35776422111.1.1.1.1.:...1.....:.....1...:.1....... qa=+
 03TA03  20  1.3 0x02 0x3a         P03TA03  349 :.........<.........*.........>......13677633231.1111...1.1.:..11.....:......... qa=+
 03TA04  20  1.3 0x02 0x6c         P03TA04  649 :.........<.........*.........>.....135677643211.111111.1...:.........:......... qa=+
 03TA05  18  1.3 0x02 0x6d         P03TA05  655 :.........<.........*.........>....1467764211.111.1.........:..1......:......... qa=+
 03TA06  19  1.3 0x02 0x6e         P03TA06  661 :.........<.........*.........>.....1467754222211111...1....1.........:......... qa=+
 03TA07  21  1.7 0x02 0x6f         P03TA07  667 :.........<.........*.........>.......24677542212111.111.1..1..1......:1........ qa=+
 03TA08  17  1.7 0x02 0x3b         P03TA08  355 :.........<.........*.........>...35677531211.211.1...1.....1.1.11....:.....1... qa=+
 03TA09  14  1.7 0x02 0x3c         P03TA09  361 :.........<.........*.........>25776431.21111.11..1.1.......1...1.....:.1....... qa=+
 03TA10  18  1.3 0x02 0x3d         P03TA10  367 :.........<.........*.........>.....36775322211111:......1..:....1....:.1....... qa=+
 03TA11  18  0.9 0x02 0x3e         P03TA11  373 :.........<.........*.........>....14676421.111.1.:....11.1.:.....1...:.1....... qa=+
 03TA12  16  1.3 0x02 0x3f         P03TA12  379 :.........<.........*.........>...367753211111.111112.......:..1......:......... qa=+
 03TB01  16  2.2 0x02 0x40         P03TB01  385 :.........<.........*.........>.4566666542211.11..:.1.1.....:.........:......... qa=+
 03TB02  19  1.7 0x02 0x41         P03TB02  391 :.........<.........*.........>...12466766432211.12.1.1.....:.........:......... qa=+
 03TB03  28  1.7 0x02 0x42         P03TB03  397 :.........<.........*.........>.........:...124676654322.1.111........:......... qa=+
 03TB04  19  1.7 0x02 0x70         P03TB04  673 :.........<.........*.........>.....15776322221.1.1.1.......:.........:1........ qa=+
 03TB05  19  1.3 0x02 0x71         P03TB05  679 :.........<.........*.........>......4677542221111:....11.1.11........:......... qa=+
 03TB06  28  1.3 0x02 0x72         P03TB06  685 :.........<.........*.........>.........:...146776412212211.:..11..1.11...11.... qa=+
 03TB07  24  1.3 0x02 0x73         P03TB07  691 :.........<.........*.........>.........13577643211111.11...:..1.....1:......1.. qa=+
