#L2-ped algorithm finishRun(7146077), compiled: Mar 27 2006 , 16:21:09
#L2H10,6,total event counter; x=cases,785,785,785,0,0,0,
#L2ped  CPU/eve MPV 155 kTicks,  FWHM=3, seen eve=785
# L2ped-Adc spectra, run=7146077, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  16  2.2 0x01 0x38         P01TA01  336 :.........<.........*.........>13556654122.121.1..:.........:.........:......... qa=+
 01TA02  12  1.7 0x01 0x39         P01TA02  342 :.........<.........*........24566531122:11....11.:...1.....:.........:......... qa=+
 01TA03  24  1.7 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........:35665431.1....1.11.:..11.....1......... qa=+
 01TA04  25  1.7 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........:.24666521122.111...:.........:......... qa=+
 01TA05  20  1.3 0x01 0x6c         P01TA05  648 :.........<.........*.........>......1356654122..111........:.........:......... qa=+
 01TA06  20  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>......13666422..1..:11.1.....:.........:......... qa=+
 01TA07  25  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:..25665311..2..11.1:.1.......:......... qa=+
 01TA08  18  1.7 0x01 0x3b         P01TA08  354 :.........<.........*.........>.....3566542111.1..:1.1....1.:.........:......... qa=+
 01TA09  11  1.3 0x01 0x3c         P01TA09  360 :.........<.........*........4665311211.:1111.....11......1.:.........:......... qa=+
 01TA10  19  1.7 0x01 0x3d         P01TA10  366 :.........<.........*.........>.....14666321...11.1.........:.1.......:......... qa=+
 01TA11  22  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>........1366642..11:..1...11.:.........:......... qa=+
 01TA12  17  0.9 0x01 0x3f         P01TA12  378 :.........<.........*.........>....366642.2.111.1.1..111...11.........:......... qa=+
 01TB01  22  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>.......1456654211.1:...1...1.:1........:......... qa=+
 01TB02  23  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>.........3466654211:11......1:.........:......... qa=+
 01TB03  24  1.7 0x01 0x42         P01TB03  396 :.........<.........*.........>.........:2466643111.11......1.........:......... qa=+
 01TB04  16  1.3 0x01 0x70         P01TB04  672 :.........<.........*.........>..2566542:111111...:....1....:1........:......... qa=+
 01TB05  23  1.3 0x01 0x71         P01TB05  678 :.........<.........*.........>.........35665321111...1.....:.1.......:......... qa=+
 01TB06  23  1.3 0x01 0x72         P01TB06  684 :.........<.........*.........>.........:3566521221111.11...:.........:......... qa=+
 01TB07  22  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>........24666422...11..1....1:.......1.:......... qa=+
 01TB08  29  1.3 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:.....145665431.2..1:.........:1........ qa=+
 01TB09  15  1.7 0x01 0x44         P01TB09  408 :.........<.........*.........>13566542111....11..1.......1.:.....1...:......... qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>......35665321...1.:1.1......:...1.....:......... qa=+
 01TB11  28  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:....2566531.1..1...:.........:.....1... qa=+
 01TB12  31  1.3 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:.......256653111.1111.111....:.......1. qa=+
 01TC01  19  1.7 0x01 0x48         P01TC01  432 :.........<.........*.........>.....246665321.211.:.1.......:....1....:......... qa=+
 01TC02  26  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:..146654211.11.1...:.........:......... qa=+
 01TC03  25  1.7 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:..46664311.11..1...:.........:......... qa=+
 01TC04  18  0.9 0x01 0x74         P01TC04  696 :.........<.........*.........>.....36663222.111.1:....1.1..:.........:......... qa=+
 01TC05  18  1.3 0x01 0x75         P01TC05  702 :.........<.........*.........>....15664212.111111:.........:1........:......... qa=+
 01TC06  17  1.7 0x01 0x76         P01TC06  708 :.........<.........*.........>...1366642111..11.111....1..1:.........:......... qa=+
 01TC07  16  1.3 0x01 0x77         P01TC07  714 :.........<.........*.........>..25665222........1:...1...1.:....1....:......... qa=+
 01TC08  31  1.7 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:.......2466642..1.1:..1..1.1.:......... qa=+
 01TC09  19  1.7 0x01 0x4c         P01TC09  456 :.........<.........*.........>.....2466643211.1..1....2....:.........:......... qa=+
 01TC10  28  1.3 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:....145665311111...:...1.....:......... qa=+
 01TC11  31  1.3 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:.......34665531...1:1..1.111.:......... qa=+
 01TC12  24  1.3 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........135665322.1.1...1.11:1....1...:.1....... qa=+
 01TD01  18  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>.....356643.1.11...:.1.1.....:...1.....:......... qa=+
 01TD02  22  1.3 0x02 0x01         P01TD02    7 :.........<.........*.........>........14665422.1.:11.1.....:.11......:......... qa=+
 01TD03  27  1.7 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:....466641112.1..2.:.........:......... qa=+
 01TD04  17  1.3 0x02 0x50         P01TD04  481 :.........<.........*.........>..245665411211....1:......1..:.........:......... qa=+
 01TD05  18  1.7 0x02 0x51         P01TD05  487 :.........<.........*.........>...135666421111.1..:1........:.........:......... qa=+
 01TD06  23  1.7 0x02 0x52         P01TD06  493 :.........<.........*.........>.........1566643121:1..1.1...:.........:......... qa=+
 01TD07  20  1.7 0x02 0x53         P01TD07  499 :.........<.........*.........>......45666542.11111..1...1..:.........:......... qa=+
 01TD08  24  1.3 0x02 0x03         P01TD08   19 :.........<.........*.........>.........:.35664211:11.2.....:.........:......... qa=+
 01TD09  12  1.3 0x02 0x04         P01TD09   25 :.........<.........*........1456654211.:...11....:1........:.......1.:......... qa=+
 01TD10  21  1.7 0x02 0x05         P01TD10   31 :.........<.........*.........>......124666532..1.1.........1.1.......:......... qa=+
 01TD11  21  1.7 0x02 0x06         P01TD11   37 :.........<.........*.........>......1156665311.1.:...1.1...:.........:......... qa=+
 01TD12  26  1.7 0x02 0x07         P01TD12   43 :.........<.........*.........>.........:...25665421.1121.1.1..1......:......... qa=+
