#L2-ped Run(7154053)
#L2H10,6,total event counter; x=cases,31450,7863,7863,0,0,0,
#L2ped  CPU/eve MPV 33 kTicks,  FWHM=3, seen eve=31450
#L2ped  will save full spectra for all towers
# L2ped-Adc spectra, run=7154053, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  15  2.2 0x01 0x38         P01TA01  336 :.........<.........*.........>3678887543333122.2.:111.....11.......1.:1........ qa=+
 01TA02  12  1.7 0x01 0x39         P01TA02  342 :.........<.........*.......157888754333322211.1.1:.1111111.:.........1.....1... qa=+
 01TA03  23  1.3 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........367888644333322212.11111.11...:1.....1.1 qa=+
 01TA04  25  1.7 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........:257888653322232122212.......11..1...... qa=+
 01TA05  20  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>.....1578987643322212.212.111:1.1.1..1.:........1 qa=+
 01TA06  20  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>.....247897543232233112111111:1..11..1.:......... qa=+
 01TA07  25  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:.26898753322322121211212..1..1.....1... qa=+
 01TA08  18  1.7 0x01 0x3b         P01TA08  354 :.........<.........*.........>....36888764432232221122111.12.........:.....1... qa=+
 01TA09  11  1.3 0x01 0x3c         P01TA09  360 :.........<.........*.......2689853323232221222211:111.1.1..:.....1..1:......... qa=+
 01TA10  19  1.7 0x01 0x3d         P01TA10  366 :.........<.........*.........>.....478986332322121212..12.1:11.11.1..:1...1.... qa=+
 01TA11  22  1.7 0x01 0x3e         P01TA11  372 :.........<.........*.........>........3689864222221222122..1211......:........1 qa=+
 01TA12  17  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>...37898643232221111.11111111:..1.1....:...1..... qa=+
 01TB01  21  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>.....135788875433322122.1121111....1...1.1....... qa=+
 01TB02  22  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>.......246788865433222222.1.111211.2..1:..1.11..1 qa=+
 01TB03  24  1.3 0x01 0x42         P01TB03  396 :.........<.........*.........>.........467887543333222121..1.21..11..:......... qa=+
 01TB04  15  1.7 0x01 0x70         P01TB04  672 :.........<.........*.........>.26888764323321122111112.....:.1.......:.......1. qa=+
 01TB05  22  1.3 0x01 0x71         P01TB05  678 :.........<.........*.........>........2588885433332223112..11.1.1.1..:..1...... qa=+
 01TB06  23  1.7 0x01 0x72         P01TB06  684 :.........<.........*.........>.........36898644332222.2222.2..1..11.1:..1.....1 qa=+
 01TB07  21  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>.......157887643323212112112112111.11..:......... qa=+
 01TB08  29  1.7 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:....3478887644332321222111111:..1..1... qa=+
 01TB09  14  1.7 0x01 0x44         P01TB09  408 :.........<.........*.........146888764333321221112.111.11.111.11.....:......... qa=+
 01TB10  19  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>.....3579874323223311.111111.1.....211.1......... qa=+
 01TB11  28  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:...2579975332332221111.112111111....1.. qa=+
 01TB12  30  1.3 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:......15898743222223222222111:11..11.2. qa=+
 01TC01  19  1.7 0x01 0x48         P01TC01  432 :.........<.........*.........>...13678886433322222.1211.1..12..1....11......... qa=+
 01TC02  26  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:.15799754333322212111111...1.1......... qa=+
 01TC03  25  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:147887643332322.211211..11..1:11..1.... qa=+
 01TC04  18  1.3 0x01 0x74         P01TC04  696 :.........<.........*.........>....2689854433223222211.11111:1..1...11:11....... qa=+
 01TC05  17  1.3 0x01 0x75         P01TC05  702 :.........<.........*.........>....4798743332322212.2..11..12..1..1..1:..1...... qa=+
 01TC06  17  1.7 0x01 0x76         P01TC06  708 :.........<.........*.........>...368986433332322222121..1..1.1...121.:11...1... qa=+
 01TC07  15  1.3 0x01 0x77         P01TC07  714 :.........<.........*.........>.1589875333323222211.111.111.:1..11.1..11..1.1... qa=+
 01TC08  31  1.3 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:.......47898643323222122121111111.11.11 qa=+
 01TC09  19  1.7 0x01 0x4c         P01TC09  456 :.........<.........*.........>....3578886431313222.122111..1.1.111.2.1......1.. qa=+
 01TC10  28  1.3 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:..1357898643333232222.12112111........1 qa=+
 01TC11  30  1.3 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:......257887643323222222122211221.1.11. qa=+
 01TC12  23  1.3 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........36898754332232322212212.1.11.221...1...1 qa=+
 01TD01  18  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>....36898663231211112111..1.11.........:......... qa=+
 01TD02  21  1.3 0x02 0x01         P01TD02    7 :.........<.........*.........>.......15898754343222222222..11..111.1.:11.1.1... qa=+
 01TD03  27  1.3 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:...3789864433232131:2.111.11.:..1...... qa=+
 01TD04  16  1.7 0x02 0x50         P01TD04  481 :.........<.........*.........>.146888754433223221121.1.11.11.11...1..:1........ qa=+
 01TD05  18  1.7 0x02 0x51         P01TD05  487 :.........<.........*.........>...2678886433332322121111..11:.1....1.1:..1...... qa=+
