#L2-ped Run(7160018)
#L2H10,6,total event counter; x=cases,192457,192457,192457,0,0,0,
#L2ped  CPU/eve MPV 133 kTicks,  FWHM=2, seen eve=192457
# L2ped-Adc spectra, run=7160018, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  16  1.7 0x01 0x38         P01TA01  336 :.........<.........*........1158:aaba9766555444443324223312222222211.1.2122.111 qa=+
 01TA02  12  1.3 0x01 0x39         P01TA02  342 :.........<.........*.......379abaa976655554444333332233223121.11121..:......... qa=+
 01TA03  24  1.7 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........48:aba:766565554444433323332222222221.12 qa=+
 01TA04  25  1.7 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........247:aba:866555444434333221222212.1111... qa=+
 01TA05  20  1.3 0x01 0x6c         P01TA05  648 :.........<.........*.........>.....279abaa98665555544444333332332122221222122.1 qa=+
 01TA06  20  0.9 0x01 0x6e         P01TA06  660 :.........<.........*.........>.....269aba97665555444344333233322222212211..212. qa=+
 01TA07  25  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:.48:bb:86555554554434333223231131221122 qa=+
 01TA08  19  1.7 0x01 0x3b         P01TA08  354 :.........<.........*.........>...158:aba:865555554444333333233322.31121212.2122 qa=+
 01TA09  11  1.7 0x01 0x3c         P01TA09  360 :.........<.........*......169aba966555554444444333322332232231111112.111...1111 qa=+
 01TA10  19  1.3 0x01 0x3d         P01TA10  366 :.........<.........*.........>....269abb:7655555444434333343333332212221211121. qa=+
 01TA11  22  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>........59abb:76555544444444333432332311221211211 qa=+
 01TA12  17  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>...59aba:75555554444444344333332233322222.2211121 qa=+
 01TB01  21  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>.....2579abaa98665554433343323222221212112.21..21 qa=+
 01TB02  23  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>.......369:aba:9765554554444333333222222221.11111 qa=+
 01TB03  24  1.7 0x01 0x42         P01TB03  396 :.........<.........*.........>........268:aba:7665555444343333322222221.211.111 qa=+
 01TB04  16  1.3 0x01 0x70         P01TB04  672 :.........<.........*.........>.58abba9766555444433333332222222111112.:1...11... qa=+
