// table produced by Bill Love  7/ 1/2000 
//  R351027_1g.root  sector 14 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 3605 mean   -179.227 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   6,    368,  104.339,  0.266,   0.0291,  0.0008, -171.694,  0.386,   95.930,  0.108, -179.528,  0.174 },
{  14,   2,   6,    567,  129.710,  0.257,   0.0380,  0.0013, -171.648,  0.216,   95.957,  0.177, -179.229,  0.174 },
{  14,   3,   6,    495,  138.753,  0.358,   0.0451,  0.0009, -171.676,  0.061,   95.936,  0.071, -179.008,  0.172 },
{  14,   4,   6,    500,  151.960,  0.115,   0.0424,  0.0002, -171.661,  0.017,   95.966,  0.037, -179.244,  0.166 },
{  14,   5,   6,    501,  167.305,  0.033,   0.0426,  0.0001, -171.674,  0.009,   95.935,  0.020, -179.132,  0.168 },
{  14,   6,   6,    500,  196.842,  0.286,   0.0254,  0.0006, -171.702,  0.032,   96.033,  0.106, -179.238,  0.167 },
{  14,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -171.6743 mean yls    95.9607 mean zls  -179.2165 

// zrange -155.0 to -148.0  n= 4613 mean   -151.739 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   5,    260,  112.850,  0.266,   0.0324,  0.0017, -171.355,  0.067,   96.348,  0.026, -151.954,  0.223 },
{  14,   2,   5,    338,  125.867,  0.248,   0.0365,  0.0020, -171.434,  0.087,   96.318,  0.062, -151.703,  0.202 },
{  14,   3,   5,    481,  135.402,  0.070,   0.0374,  0.0002, -171.454,  0.077,   96.300,  0.050, -151.484,  0.165 },
{  14,   4,   5,    500,  151.630,  0.021,   0.0364,  0.0001, -171.420,  0.007,   96.359,  0.012, -151.632,  0.168 },
{  14,   5,   5,    437,  171.584,  0.117,   0.0336,  0.0007, -171.310,  0.028,   97.094,  0.151, -151.585,  0.171 },
{  14,   6,   5,     81,  174.818,  0.497,   0.0350,  0.0014, -171.436,  0.038,   96.353,  0.427, -151.771,  0.165 },
{  14,   7,   5,    477,  193.857,  0.470,   0.0226,  0.0006, -171.474,  0.019,   96.432,  0.083, -151.800,  0.168 },
//     mean xls  -171.4134 mean yls    96.4797 mean zls  -151.6738 

// zrange -125.0 to -115.0  n= 2845 mean   -120.744 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   4,    489,  104.476,  0.297,   0.0059,  0.0004, -172.184,  0.096,   95.939,  0.025, -120.917,  0.167 },
{  14,   2,   4,    500,  128.809,  0.124,  -0.0010,  0.0003, -172.163,  0.079,   95.915,  0.064, -120.668,  0.165 },
{  14,   3,   4,    419,  137.019,  0.154,   0.0060,  0.0004, -172.481,  0.102,   95.537,  0.118, -120.541,  0.171 },
{  14,   4,   4,    500,  152.057,  0.106,   0.0003,  0.0003, -172.109,  0.025,   95.957,  0.047, -120.618,  0.168 },
{  14,   5,   4,    244,  167.334,  0.321,  -0.0026,  0.0018, -172.105,  0.040,   95.969,  0.162, -120.587,  0.187 },
{  14,   6,   4,     14,  196.451,  0.153,  -0.0104,  0.0014, -172.149,  0.125,   96.115,  0.475, -120.718,  0.223 },
{  14,   7,   4,    334,  213.393,  0.152,  -0.0139,  0.0009, -172.157,  0.042,   96.034,  0.065, -120.779,  0.164 },
//     mean xls  -172.2030 mean yls    95.8871 mean zls  -120.6924 

// zrange  -97.0 to  -87.0  n= 5466 mean    -90.850 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   3,    451,  113.399,  0.460,   0.0466,  0.0005, -171.849,  0.079,   96.622,  0.036,  -90.910,  0.169 },
{  14,   2,   3,    355,  125.709,  0.246,   0.0501,  0.0006, -171.737,  0.174,   96.643,  0.128,  -90.704,  0.172 },
{  14,   3,   3,    498,  134.244,  0.174,   0.0485,  0.0002, -171.832,  0.131,   96.524,  0.136,  -90.543,  0.168 },
{  14,   4,   3,    500,  151.609,  0.039,   0.0468,  0.0001, -171.619,  0.030,   96.752,  0.073,  -90.707,  0.167 },
{  14,   5,   3,    431,  171.670,  0.159,   0.0381,  0.0005, -171.543,  0.033,   97.266,  0.185,  -90.572,  0.160 },
{  14,   6,   3,    465,  176.373,  0.281,   0.0374,  0.0006, -171.622,  0.016,   96.904,  0.247,  -90.686,  0.177 },
{  14,   7,   3,    499,  192.227,  0.187,   0.0257,  0.0007, -171.663,  0.013,   96.841,  0.056,  -90.815,  0.170 },
//     mean xls  -171.6949 mean yls    96.7912 mean zls   -90.7053 

// zrange  -64.0 to  -58.0  n= 4058 mean    -59.706 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   2,    487,  104.770,  0.191,  -0.0112,  0.0004, -172.456,  0.098,   96.310,  0.031,  -59.799,  0.168 },
{  14,   2,   2,    442,  130.594,  0.197,  -0.0019,  0.0002, -172.228,  0.064,   96.438,  0.053,  -59.635,  0.164 },
{  14,   3,   2,    452,  136.681,  0.345,   0.0014,  0.0010, -172.447,  0.386,   96.220,  0.411,  -59.429,  0.192 },
{  14,   4,   2,    500,  152.055,  0.119,   0.0073,  0.0004, -172.380,  0.041,   96.271,  0.077,  -59.623,  0.167 },
{  14,   5,   2,    500,  167.704,  0.193,   0.0106,  0.0004, -172.348,  0.019,   96.318,  0.090,  -59.511,  0.166 },
{  14,   6,   2,    498,  194.178,  0.260,   0.0129,  0.0003, -172.358,  0.019,   96.401,  0.075,  -59.713,  0.167 },
{  14,   7,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
