// table produced by Bill Love 31/ 1/2000 
//  R351027_2chopb.root  sector 14 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 3281 mean   -179.168 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   6,    252,  104.250,  0.454,   0.0284,  0.0040, -171.707,  0.549,   95.923,  0.146, -179.562,  0.411 },
{  14,   2,   6,    591,  129.575,  0.189,   0.0386,  0.0008, -171.712,  0.169,   95.901,  0.060, -179.185,  0.175 },
{  14,   3,   6,    600,  138.718,  0.161,   0.0457,  0.0007, -171.664,  0.155,   95.948,  0.172, -178.951,  0.176 },
{  14,   4,   6,    600,  152.044,  0.062,   0.0431,  0.0002, -171.658,  0.104,   95.966,  0.059, -179.180,  0.167 },
{  14,   5,   6,    601,  167.381,  0.055,   0.0428,  0.0001, -171.666,  0.033,   95.969,  0.188, -179.109,  0.169 },
{  14,   6,   6,    341,  196.671,  0.466,   0.0254,  0.0022, -171.651,  0.106,   95.876,  0.349, -179.234,  0.226 },
{  14,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -171.6748 mean yls    95.9363 mean zls  -179.1593 

// zrange -155.0 to -148.0  n= 6140 mean   -151.761 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   5,    438,  112.554,  0.291,   0.0311,  0.0022, -171.552,  0.118,   96.266,  0.050, -151.972,  0.237 },
{  14,   2,   5,    473,  125.571,  0.245,   0.0345,  0.0012, -171.516,  0.092,   96.259,  0.066, -151.789,  0.195 },
{  14,   3,   5,    502,  135.381,  0.068,   0.0377,  0.0003, -171.450,  0.058,   96.307,  0.055, -151.462,  0.167 },
{  14,   4,   5,    600,  151.589,  0.026,   0.0368,  0.0001, -171.426,  0.091,   96.338,  0.101, -151.598,  0.166 },
{  14,   5,   5,    450,  171.413,  0.173,   0.0348,  0.0005, -171.377,  0.042,   96.717,  0.234, -151.471,  0.171 },
{  14,   6,   5,    550,  174.828,  0.282,   0.0355,  0.0009, -171.440,  0.013,   96.360,  0.142, -151.731,  0.178 },
{  14,   7,   5,    481,  193.910,  0.399,   0.0224,  0.0010, -171.508,  0.044,   96.578,  0.188, -151.815,  0.167 },
//     mean xls  -171.4646 mean yls    96.3991 mean zls  -151.6856 

// zrange -125.0 to -115.0  n= 3196 mean   -120.690 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   4,    457,  104.511,  0.393,   0.0061,  0.0006, -172.103,  0.266,   95.957,  0.068, -120.902,  0.171 },
{  14,   2,   4,    587,  128.744,  0.084,  -0.0009,  0.0007, -172.180,  0.041,   95.902,  0.036, -120.652,  0.181 },
{  14,   3,   4,    594,  137.482,  0.135,   0.0060,  0.0006, -172.087,  0.085,   95.982,  0.090, -120.523,  0.168 },
{  14,   4,   4,    600,  152.096,  0.088,   0.0006,  0.0004, -172.062,  0.024,   96.044,  0.044, -120.583,  0.166 },
{  14,   5,   4,     86,  167.394,  0.419,  -0.0017,  0.0019, -172.095,  0.057,   96.010,  0.252, -120.500,  0.220 },
{  14,   6,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  14,   7,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -172.1075 mean yls    95.9740 mean zls  -120.6448 

// zrange  -97.0 to  -87.0  n= 6850 mean    -90.812 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   3,    550,  113.709,  0.290,   0.0474,  0.0006, -171.761,  0.078,   96.662,  0.035,  -90.864,  0.168 },
{  14,   2,   3,    525,  125.676,  0.187,   0.0499,  0.0006, -171.736,  0.180,   96.639,  0.062,  -90.702,  0.169 },
{  14,   3,   3,    598,  134.469,  0.080,   0.0489,  0.0001, -171.665,  0.182,   96.695,  0.050,  -90.504,  0.167 },
{  14,   4,   3,    600,  151.593,  0.046,   0.0473,  0.0001, -171.605,  0.481,   96.740,  0.149,  -90.658,  0.167 },
{  14,   5,   3,    595,  171.268,  0.135,   0.0390,  0.0003, -171.625,  0.016,   96.790,  0.093,  -90.495,  0.166 },
{  14,   6,   3,    580,  176.307,  0.197,   0.0375,  0.0008, -171.627,  0.008,   96.855,  0.121,  -90.663,  0.176 },
{  14,   7,   3,    537,  192.338,  0.309,   0.0262,  0.0009, -171.662,  0.051,   96.849,  0.233,  -90.799,  0.169 },
//     mean xls  -171.6666 mean yls    96.7482 mean zls   -90.6645 

// zrange  -64.0 to  -58.0  n= 4360 mean    -59.692 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   2,    248,  104.847,  0.386,  -0.0108,  0.0011, -172.500,  0.236,   96.297,  0.065,  -59.763,  0.175 },
{  14,   2,   2,    558,  130.394,  0.184,  -0.0018,  0.0006, -172.369,  0.540,   96.299,  0.110,  -59.614,  0.171 },
{  14,   3,   2,    530,  136.712,  0.315,   0.0015,  0.0009, -172.385,  0.160,   96.295,  0.169,  -59.399,  0.174 },
{  14,   4,   2,    600,  152.208,  0.154,   0.0074,  0.0005, -172.342,  0.036,   96.342,  0.067,  -59.610,  0.170 },
{  14,   5,   2,    599,  167.748,  0.159,   0.0108,  0.0004, -172.332,  0.022,   96.390,  0.080,  -59.480,  0.166 },
{  14,   6,   2,    529,  194.390,  0.347,   0.0128,  0.0006, -172.397,  0.056,   96.561,  0.228,  -59.722,  0.167 },
{  14,   7,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -172.3747 mean yls    96.3696 mean zls   -59.5805 

// zrange  -38.0 to  -30.0  n= 4810 mean    -32.146 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   1,    427,  113.712,  0.243,   0.0050,  0.0005, -172.193,  0.105,   96.686,  0.047,  -32.106,  0.171 },
{  14,   2,   1,    579,  125.953,  0.159,   0.0121,  0.0002, -172.174,  0.076,   96.670,  0.064,  -32.018,  0.170 },
{  14,   3,   1,    214,  134.711,  0.156,   0.0167,  0.0003, -172.110,  0.130,   96.714,  0.130,  -31.866,  0.155 },
{  14,   4,   1,    600,  151.563,  0.113,   0.0239,  0.0002, -172.072,  0.061,   96.770,  0.087,  -31.992,  0.167 },
{  14,   5,   1,    567,  170.376,  0.361,   0.0291,  0.0014, -172.077,  0.027,   96.834,  0.149,  -32.078,  0.202 },
{  14,   6,   1,    260,  175.678,  0.455,   0.0288,  0.0023, -172.084,  0.017,   96.879,  0.224,  -32.211,  0.236 },
{  14,   7,   1,    378,  192.856,  0.343,   0.0306,  0.0007, -172.153,  0.086,   97.008,  0.380,  -32.282,  0.170 },
//     mean xls  -172.1233 mean yls    96.7864 mean zls   -32.0753 

//  R351027_2chopb.root  sector 16 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 4087 mean   -179.146 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   6,    387,  164.791,  0.416,  -0.0129,  0.0009, -168.945,  0.082, -100.787,  0.308, -179.267,  0.173 },
{  16,   2,   6,    599,  188.810,  0.176,  -0.0056,  0.0004, -168.903,  0.039, -100.747,  0.210, -179.057,  0.169 },
{  16,   3,   6,    599,  196.919,  0.163,  -0.0023,  0.0005, -168.913,  0.033, -100.689,  0.082, -178.974,  0.170 },
{  16,   4,   6,    599,  210.692,  0.069,  -0.0016,  0.0002, -168.916,  0.073, -100.679,  0.117, -179.172,  0.165 },
{  16,   5,   6,    600,  226.580,  0.096,   0.0049,  0.0001, -168.930,  0.042, -100.661,  0.035, -178.964,  0.166 },
{  16,   6,   6,    419,  254.216,  0.407,   0.0113,  0.0008, -168.952,  0.230, -100.659,  0.065, -179.128,  0.166 },
{  16,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -168.9237 mean yls  -100.7005 mean zls  -179.0802 

// zrange -155.0 to -148.0  n= 6842 mean   -151.693 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   5,    496,  173.159,  0.338,  -0.0156,  0.0010, -169.114,  0.018, -100.455,  0.158, -151.716,  0.172 },
{  16,   2,   5,    598,  185.180,  0.175,  -0.0014,  0.0004, -169.085,  0.009, -100.468,  0.085, -151.418,  0.165 },
{  16,   3,   5,    599,  194.356,  0.109,   0.0092,  0.0002, -169.085,  0.015, -100.375,  0.058, -151.420,  0.166 },
{  16,   4,   5,    600,  210.242,  0.040,   0.0226,  0.0001, -169.069,  0.019, -100.372,  0.032, -151.675,  0.167 },
{  16,   5,   5,    557,  230.769,  0.155,   0.0452,  0.0005, -169.421,  0.190, -100.036,  0.272, -151.363,  0.170 },
{  16,   6,   5,    600,  233.714,  0.076,   0.0468,  0.0001, -169.085,  0.042, -100.332,  0.037, -151.590,  0.165 },
{  16,   7,   5,    579,  251.480,  0.208,   0.0580,  0.0003, -169.232,  0.104, -100.276,  0.036, -151.795,  0.168 },
//     mean xls  -169.1537 mean yls  -100.3306 mean zls  -151.5654 

// zrange -125.0 to -115.0  n= 4210 mean   -120.354 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   4,    508,  163.170,  0.348,  -0.0169,  0.0005, -169.116,  0.070, -101.047,  0.228, -120.679,  0.168 },
{  16,   2,   4,    600,  191.195,  0.222,  -0.0179,  0.0002, -169.089,  0.019, -101.198,  0.095, -120.495,  0.168 },
{  16,   3,   4,    597,  200.196,  0.170,  -0.0124,  0.0010, -169.067,  0.035, -101.183,  0.088, -120.326,  0.168 },
{  16,   4,   4,    577,  210.830,  0.139,  -0.0147,  0.0009, -169.074,  0.027, -101.121,  0.058, -120.496,  0.167 },
{  16,   5,   4,    595,  226.946,  0.242,  -0.0079,  0.0004, -169.099,  0.073, -101.064,  0.067, -120.454,  0.170 },
{  16,   6,   4,     83,  253.666,  0.382,  -0.0056,  0.0014, -169.216,  0.176, -101.018,  0.052, -120.683,  0.176 },
{  16,   7,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -169.0918 mean yls  -101.1221 mean zls  -120.4896 

// zrange  -97.0 to  -87.0  n= 5962 mean    -90.759 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   3,    475,  171.572,  0.290,   0.0116,  0.0004, -169.625,  0.021, -100.497,  0.151,  -90.888,  0.168 },
{  16,   2,   3,    558,  184.937,  0.146,   0.0137,  0.0003, -169.571,  0.009, -100.523,  0.085,  -90.584,  0.170 },
{  16,   3,   3,    596,  194.319,  0.130,   0.0133,  0.0002, -169.556,  0.237, -100.391,  0.513,  -90.525,  0.167 },
{  16,   4,   3,    600,  210.240,  0.095,   0.0094,  0.0002, -169.555,  0.025, -100.344,  0.041,  -90.709,  0.168 },
{  16,   5,   3,    593,  227.686,  0.184,   0.0098,  0.0005, -169.566,  0.102, -100.301,  0.077,  -90.534,  0.177 },
{  16,   6,   3,    575,  233.840,  0.250,   0.0099,  0.0010, -169.652,  0.099, -100.234,  0.073,  -90.628,  0.185 },
{  16,   7,   3,    427,  253.020,  0.426,   0.0043,  0.0011, -169.748,  0.232, -100.229,  0.066,  -90.683,  0.184 },
//     mean xls  -169.6040 mean yls  -100.3604 mean zls   -90.6419 

// zrange  -64.0 to  -58.0  n= 4298 mean    -59.720 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  16,   2,   2,    599,  185.572,  0.162,   0.0706,  0.0002, -169.583,  0.009, -101.247,  0.080,  -59.563,  0.166 },
{  16,   3,   2,    600,  195.861,  0.186,   0.0671,  0.0002, -169.570,  0.046, -101.172,  0.106,  -59.508,  0.167 },
{  16,   4,   2,    586,  210.637,  0.105,   0.0646,  0.0002, -169.559,  0.027, -101.127,  0.046,  -59.672,  0.167 },
{  16,   5,   2,    599,  222.047,  0.178,   0.0609,  0.0002, -169.503,  0.109, -101.162,  0.122,  -59.434,  0.167 },
{  16,   6,   2,    446,  251.811,  0.346,   0.0368,  0.0009, -169.754,  0.142, -101.002,  0.049,  -59.532,  0.171 },
{  16,   7,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -169.5849 mean yls  -101.1496 mean zls   -59.5416 

// zrange  -38.0 to  -30.0  n= 4131 mean    -32.134 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   1,    349,  172.214,  0.274,  -0.0128,  0.0008, -169.857,  0.020, -100.973,  0.169,  -32.134,  0.173 },
{  16,   2,   1,    569,  185.883,  0.273,  -0.0034,  0.0004, -169.786,  0.016, -100.915,  0.133,  -31.729,  0.170 },
{  16,   3,   1,    600,  193.747,  0.166,  -0.0124,  0.0002, -169.806,  0.024, -100.692,  0.094,  -31.742,  0.166 },
{  16,   4,   1,    598,  210.297,  0.129,   0.0014,  0.0003, -169.775,  0.042, -100.722,  0.071,  -31.944,  0.167 },
{  16,   5,   1,     86,  230.904,  0.437,   0.0031,  0.0016, -170.154,  0.364, -100.361,  0.310,  -31.955,  0.200 },
{  16,   6,   1,    102,  234.033,  0.338,   0.0135,  0.0012, -169.569,  0.131, -100.823,  0.089,  -31.847,  0.166 },
{  16,   7,   1,    432,  251.754,  0.372,   0.0184,  0.0010, -169.989,  0.196, -100.594,  0.067,  -32.120,  0.176 },
//     mean xls  -169.8327 mean yls  -100.7598 mean zls   -31.9039 

//  R351027_2chopb.root  sector 18 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 320 mean   -179.107 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   2,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   3,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   4,   6,      1,  271.728, -0.000,   0.0144, -0.0000,    2.721, -0.000, -196.611, -0.000, -179.098, -0.000 },
{  18,   5,   6,    393,  285.875,  0.337,   0.0127,  0.0029,    2.768,  0.156, -196.599,  0.045, -179.091,  0.182 },
{  18,   6,   6,     89,  314.189,  0.636,   0.0030,  0.0128,    2.615,  0.232, -196.721,  0.224, -179.382,  0.522 },
{  18,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls     2.7399 mean yls  -196.6214 mean zls  -179.1446 

// zrange -155.0 to -148.0  n= 2309 mean   -151.601 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   5,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   2,   5,    544,  246.964,  0.440,   0.0137,  0.0010,    2.377,  0.156, -196.657,  0.066, -151.659,  0.184 },
{  18,   3,   5,    599,  254.785,  0.229,   0.0037,  0.0005,    2.323,  0.152, -196.631,  0.040, -151.458,  0.168 },
{  18,   4,   5,    563,  271.071,  0.253,   0.0054,  0.0039,    2.309,  0.310, -196.621,  0.012, -151.718,  0.411 },
{  18,   5,   5,    576,  290.037,  0.391,  -0.0020,  0.0008,    2.137,  0.158, -196.677,  0.055, -151.644,  0.176 },
{  18,   6,   5,    156,  293.464,  0.348,   0.0228,  0.0066,    2.296,  0.290, -196.619,  0.126, -151.134,  0.370 },
{  18,   7,   5,    194,  311.729,  0.393,   0.0182,  0.0029,    2.182,  0.149, -196.721,  0.131, -151.747,  0.210 },
//     mean xls     2.2786 mean yls  -196.6502 mean zls  -151.5981 

// zrange -125.0 to -115.0  n= 1681 mean   -120.513 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   4,     47,  223.276,  0.521,   0.0202,  0.0019,    3.158,  0.229, -197.255,  0.234, -120.669,  0.167 },
{  18,   2,   4,    529,  246.881,  0.426,   0.0377,  0.0018,    3.039,  0.156, -197.084,  0.067, -120.525,  0.190 },
{  18,   3,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   4,   4,    619,  271.384,  0.273,   0.0477,  0.0022,    2.994,  0.326, -197.046,  0.012, -120.608,  0.251 },
{  18,   5,   4,    600,  288.119,  0.249,   0.0470,  0.0005,    2.977,  0.110, -197.041,  0.036, -120.454,  0.170 },
{  18,   6,   4,     59,  315.417,  0.472,   0.0387,  0.0027,    2.954,  0.245, -197.046,  0.250, -120.695,  0.209 },
{  18,   7,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls     3.0044 mean yls  -197.0607 mean zls  -120.5387 

// zrange  -97.0 to  -87.0  n= 5627 mean    -90.820 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   3,    406,  232.965,  0.357,   0.0333,  0.0007,    2.197,  0.169, -197.116,  0.125,  -90.903,  0.170 },
{  18,   2,   3,    600,  245.257,  0.217,   0.0374,  0.0003,    2.197,  0.100, -197.079,  0.045,  -90.665,  0.168 },
{  18,   3,   3,    600,  255.036,  0.197,   0.0425,  0.0003,    2.094,  0.093, -197.026,  0.025,  -90.487,  0.168 },
{  18,   4,   3,    596,  271.120,  0.110,   0.0394,  0.0003,    2.080,  0.057, -197.018,  0.001,  -90.625,  0.168 },
{  18,   5,   3,    585,  289.217,  0.361,   0.0380,  0.0007,    2.037,  0.160, -197.026,  0.055,  -90.390,  0.175 },
{  18,   6,   3,    592,  295.919,  0.300,   0.0318,  0.0007,    1.931,  0.136, -197.079,  0.070,  -90.615,  0.173 },
{  18,   7,   3,    372,  312.564,  0.369,   0.0232,  0.0011,    2.102,  0.172, -196.979,  0.160,  -90.814,  0.180 },
//     mean xls     2.0856 mean yls  -197.0465 mean zls   -90.6200 

// zrange  -64.0 to  -58.0  n= 3295 mean    -59.637 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   2,    276,  222.615,  0.391,   0.0468,  0.0011,    2.727,  0.207, -197.450,  0.226,  -59.897,  0.167 },
{  18,   2,   2,    600,  247.057,  0.266,   0.0415,  0.0003,    2.873,  0.126, -197.506,  0.052,  -59.677,  0.167 },
{  18,   3,   2,    585,  254.705,  0.326,   0.0428,  0.0008,    2.836,  0.177, -197.475,  0.040,  -59.500,  0.171 },
{  18,   4,   2,    603,  271.394,  0.292,   0.0337,  0.0008,    2.722,  0.256, -197.439,  0.007,  -59.607,  0.184 },
{  18,   5,   2,    598,  285.781,  0.263,   0.0204,  0.0010,    2.758,  0.104, -197.427,  0.030,  -59.478,  0.176 },
{  18,   6,   2,    157,  315.359,  0.440,  -0.0085,  0.0016,    2.795,  0.229, -197.352,  0.235,  -59.633,  0.187 },
{  18,   7,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls     2.7901 mean yls  -197.4541 mean zls   -59.6022 

// zrange  -38.0 to  -30.0  n= 4308 mean    -32.065 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   1,    436,  233.366,  0.394,   0.0025,  0.0011,    2.457,  0.187, -197.533,  0.136,  -32.180,  0.185 },
{  18,   2,   1,     89,  246.509,  0.300,   0.0117,  0.0016,    2.324,  0.172, -197.420,  0.074,  -32.066,  0.188 },
{  18,   3,   1,    571,  253.959,  0.191,   0.0089,  0.0003,    2.260,  0.142, -197.396,  0.046,  -31.908,  0.165 },
{  18,   4,   1,    591,  271.108,  0.237,   0.0183,  0.0007,    2.256,  0.167, -197.399,  0.005,  -32.035,  0.177 },
{  18,   5,   1,    590,  289.963,  0.449,   0.0240,  0.0007,    2.176,  0.178, -197.432,  0.063,  -31.897,  0.175 },
{  18,   6,   1,    314,  295.127,  0.319,   0.0241,  0.0020,    2.303,  0.202, -197.382,  0.096,  -31.963,  0.210 },
{  18,   7,   1,    467,  313.125,  0.334,   0.0263,  0.0005,    2.246,  0.166, -197.421,  0.156,  -32.234,  0.168 },
//     mean xls     2.2752 mean yls  -197.4259 mean zls   -32.0291 

//  R351027_2chopb.root  sector 20 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 4417 mean   -179.250 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  20,   2,   6,    598,  305.470,  0.139,  -0.0069,  0.0002,  171.715,  0.059,  -95.884,  0.043, -179.142,  0.166 },
{  20,   3,   6,    600,  316.387,  0.064,  -0.0036,  0.0002,  171.667,  0.178,  -95.916,  0.161, -179.133,  0.166 },
{  20,   4,   6,    597,  330.582,  0.054,  -0.0059,  0.0002,  171.661,  0.025,  -95.917,  0.028, -179.198,  0.168 },
{  20,   5,   6,    600,  344.252,  0.088,   0.0063,  0.0001,  171.659,  0.029,  -95.911,  0.096, -179.095,  0.167 },
{  20,   6,   6,    447,   14.405,  0.421,   0.0095,  0.0009,  171.649,  0.058,  -95.914,  0.221, -179.340,  0.166 },
{  20,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls   171.6711 mean yls   -95.9081 mean zls  -179.1730 

// zrange -155.0 to -148.0  n= 3361 mean   -151.635 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   5,    507,  293.916,  0.437,  -0.0287,  0.0012,  171.492,  0.229,  -96.266,  0.101, -151.851,  0.177 },
{  20,   2,   5,    598,  305.027,  0.275,  -0.0218,  0.0006,  171.514,  0.105,  -96.242,  0.079, -151.587,  0.165 },
{  20,   3,   5,    591,  314.434,  0.364,  -0.0167,  0.0012,  171.476,  0.095,  -96.258,  0.092, -151.497,  0.182 },
{  20,   4,   5,    588,  330.166,  0.220,  -0.0074,  0.0009,  171.453,  0.062,  -96.280,  0.103, -151.603,  0.188 },
{  20,   5,   5,    566,  349.480,  0.232,   0.0036,  0.0008,  171.452,  0.022,  -96.268,  0.112, -151.568,  0.169 },
{  20,   6,   5,    552,  354.963,  0.338,   0.0088,  0.0010,  171.440,  0.014,  -96.369,  0.151, -151.657,  0.188 },
{  20,   7,   5,    407,   10.411,  0.502,   0.0153,  0.0009,  171.463,  0.041,  -96.381,  0.228, -151.948,  0.183 },
//     mean xls   171.4703 mean yls   -96.2906 mean zls  -151.6565 

// zrange -125.0 to -115.0  n= 4789 mean   -120.608 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  20,   2,   4,    600,  307.100,  0.187,   0.0243,  0.0002,  172.203,  0.099,  -95.896,  0.062, -120.564,  0.167 },
{  20,   3,   4,    596,  316.228,  0.326,   0.0309,  0.0004,  172.134,  0.064,  -95.947,  0.067, -120.464,  0.169 },
{  20,   4,   4,    598,  330.440,  0.057,   0.0309,  0.0001,  172.131,  0.044,  -95.950,  0.088, -120.543,  0.168 },
{  20,   5,   4,    600,  347.299,  0.123,   0.0290,  0.0002,  172.118,  0.017,  -95.995,  0.064, -120.417,  0.166 },
{  20,   6,   4,    466,   14.015,  0.406,   0.0264,  0.0008,  172.127,  0.065,  -95.965,  0.260, -120.654,  0.172 },
{  20,   7,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls   172.1433 mean yls   -95.9499 mean zls  -120.5224 

// zrange  -97.0 to  -87.0  n= 3585 mean    -90.845 rms   61.932 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   3,    474,  292.596,  0.403,   0.0015,  0.0006,  171.724,  0.213,  -96.654,  0.090,  -91.033,  0.176 },
{  20,   2,   3,    564,  305.740,  0.422,   0.0018,  0.0009,  171.755,  0.137,  -96.594,  0.102,  -90.778,  0.179 },
{  20,   3,   3,    513,  313.387,  0.429,   0.0016,  0.0014,  171.688,  0.131,  -96.621,  0.126,  -90.599,  0.191 },
{  20,   4,   3,    600,  329.863,  0.126,  -0.0060,  0.0002,  171.608,  0.035,  -96.695,  0.058,  -90.648,  0.168 },
{  20,   5,   3,     87,  349.214,  0.448,  -0.0032,  0.0024,  171.590,  0.086,  -96.727,  0.458,  -90.473,  0.220 },
