// table produced by Bill Love 232/112/19994 
//  R3452_1_bight2.root  sector 14 , invp cut at 0.2 
// zrange -185.0 to -175.0  n= 14093 mean   -179.548 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   6,    763,  104.384,  0.497,   0.0293,  0.0038, -171.948,  0.668,   95.858,  0.182, -179.826,  0.386 },
{  14,   2,   6,    997,  129.915,  0.161,   0.0322,  0.0009, -171.634,  0.081,   95.969,  0.066, -179.827,  0.177 },
{  14,   3,   6,   2000,  138.679,  0.149,   0.0414,  0.0005, -171.689,  0.051,   95.920,  0.056, -179.425,  0.174 },
{  14,   4,   6,   2001,  152.015,  0.061,   0.0425,  0.0003, -171.641,  0.274,   95.984,  0.042, -179.476,  0.172 },
{  14,   5,   6,   1991,  167.294,  0.055,   0.0428,  0.0005, -171.673,  0.008,   95.941,  0.035, -179.358,  0.175 },
{  14,   6,   6,   1722,  196.721,  0.491,   0.0247,  0.0017, -171.729,  0.079,   96.128,  0.284, -179.590,  0.201 },
{  14,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -171.6979 mean yls    95.9758 mean zls  -179.5265 

// zrange -155.0 to -148.0  n= 19294 mean   -152.132 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   5,   1350,  112.361,  0.400,   0.0322,  0.0005, -171.610,  0.351,   96.237,  0.148, -152.298,  0.170 },
{  14,   2,   5,   1343,  125.505,  0.123,   0.0364,  0.0005, -171.588,  0.068,   96.207,  0.049, -152.124,  0.165 },
{  14,   3,   5,   1990,  135.425,  0.298,   0.0347,  0.0011, -171.533,  0.101,   96.221,  0.103, -152.034,  0.177 },
{  14,   4,   5,   2000,  151.584,  0.045,   0.0376,  0.0002, -171.428,  0.142,   96.336,  0.147, -151.987,  0.173 },
{  14,   5,   5,   1971,  170.970,  0.086,   0.0351,  0.0004, -171.465,  0.010,   96.177,  0.063, -151.878,  0.174 },
{  14,   6,   5,   1092,  174.666,  0.092,   0.0382,  0.0011, -171.459,  0.012,   96.134,  0.149, -151.872,  0.183 },
{  14,   7,   5,   1800,  193.831,  0.360,   0.0236,  0.0012, -171.497,  0.071,   96.526,  0.245, -152.219,  0.181 },
//     mean xls  -171.5061 mean yls    96.2730 mean zls  -152.0540 

// zrange -125.0 to -115.0  n= 7426 mean   -121.253 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
