+----------------+------------------+
| blueFillNumber | min(beginTime+0) |
+----------------+------------------+
|     0.00000000 |   20010710134604 |
|  2181.00000000 |   20020109145318 |
|  2182.00000000 |   20020109191625 |
|  2183.00000000 |   20020110020251 |
|  2184.00000000 |   20020110022452 |
|  2185.00000000 |   20020110022752 |
|  2186.00000000 |   20020110104904 |
|  2187.00000000 |   20020110111605 |
|  2188.00000000 |   20020110192438 |
|  2189.00000000 |   20020110224059 |
|  2190.00000000 |   20020111005007 |
|  2191.00000000 |   20020111012209 |
|  2192.00000000 |   20020111014410 |
|  2193.00000000 |   20020111023013 |
|  2194.00000000 |   20020111075827 |
|  2195.00000000 |   20020111093733 |
|  2196.00000000 |   20020111095634 |
|  2197.00000000 |   20020111141749 |
|  2198.00000000 |   20020111204521 |
|  2199.00000000 |   20020111233930 |
|  2200.00000000 |   20020112000031 |
|  2201.00000000 |   20020112001432 |
|  2202.00000000 |   20020112110206 |
|  2203.00000000 |   20020112112607 |
|  2204.00000000 |   20020112140516 |
|  2205.00000000 |   20020112141116 |
|  2206.00000000 |   20020112165125 |
|  2207.00000000 |   20020112181730 |
|  2208.00000000 |   20020113055449 |
|  2209.00000000 |   20020113141625 |
|  2210.00000000 |   20020113171235 |
|  2211.00000000 |   20020113180939 |
|  2212.00000000 |   20020113192343 |
|  2213.00000000 |   20020114064351 |
|  2214.00000000 |   20020114070852 |
|  2215.00000000 |   20020114074855 |
|  2216.00000000 |   20020114093401 |
|  2217.00000000 |   20020114154623 |
|  2218.00000000 |   20020114154724 |
|  2219.00000000 |   20020114190141 |
|  2220.00000000 |   20020114200845 |
|  2221.00000000 |   20020114212349 |
|  2222.00000000 |   20020114232557 |
|  2223.00000000 |   20020115083846 |
|  2224.00000000 |   20020115095150 |
|  2225.00000000 |   20020115143706 |
|  2226.00000000 |   20020115165314 |
|  2227.00000000 |   20020115201827 |
|  2228.00000000 |   20020115203427 |
|  2229.00000000 |   20020115220232 |
|  2230.00000000 |   20020115220432 |
|  2231.00000000 |   20020115230436 |
|  2232.00000000 |   20020115230536 |
|  2233.00000000 |   20020115231938 |
|  2234.00000000 |   20020116065226 |
|  2235.00000000 |   20020116071928 |
|  2245.00000000 |   20020117162912 |
|  2246.00000000 |   20020117163012 |
|  2247.00000000 |   20020118020849 |
|  2248.00000000 |   20020118050641 |
|  2249.00000000 |   20020118054343 |
|  2250.00000000 |   20020118054743 |
|  2251.00000000 |   20020118071448 |
|  2252.00000000 |   20020118195638 |
|  2253.00000000 |   20020118202039 |
|  2254.00000000 |   20020118202640 |
|  2255.00000000 |   20020118215445 |
|  2256.00000000 |   20020118223147 |
|  2257.00000000 |   20020118233651 |
|  2258.00000000 |   20020119015659 |
|  2259.00000000 |   20020119084952 |
|  2260.00000000 |   20020119085653 |
|  2261.00000000 |   20020119085753 |
|  2262.00000000 |   20020119085853 |
|  2263.00000000 |   20020119095056 |
|  2264.00000000 |   20020119100757 |
|  2265.00000000 |   20020119104559 |
|  2266.00000000 |   20020119124806 |
|  2267.00000000 |   20020119190129 |
|  2268.00000000 |   20020119235648 |
|  2269.00000000 |   20020120005653 |
|  2270.00000000 |   20020120062759 |
|  2271.00000000 |   20020120075805 |
|  2272.00000000 |   20020120075905 |
|  2273.00000000 |   20020120080005 |
|  2274.00000000 |   20020120082011 |
|  2275.00000000 |   20020120090714 |
|  2276.00000000 |   20020120153438 |
|  2277.00000000 |   20020120190752 |
|  2278.00000000 |   20020121083224 |
|  2279.00000000 |   20020121083824 |
|  2280.00000000 |   20020121094528 |
|  2281.00000000 |   20020121100029 |
|  2282.00000000 |   20020121155550 |
|  2283.00000000 |   20020121164053 |
|  2284.00000000 |   20020121171155 |
|  2285.00000000 |   20020121191001 |
|  2286.00000000 |   20020121215811 |
|  2287.00000000 |   20020121221112 |
|  2288.00000000 |   20020121225415 |
|  2289.00000000 |   20020122002120 |
|  2290.00000000 |   20020122041833 |
|  2291.00000000 |   20020122160037 |
|  2292.00000000 |   20020122161738 |
|  2293.00000000 |   20020122163940 |
|  2294.00000000 |   20020122174743 |
|  2295.00000000 |   20020122185847 |
|  2296.00000000 |   20020122203353 |
|  2297.00000000 |   20020122211555 |
|  2298.00000000 |   20020122215457 |
|  2299.00000000 |   20020122224100 |
|  2300.00000000 |   20020122232702 |
|  2301.00000000 |   20020123004807 |
|  2302.00000000 |   20020123143949 |
|  2303.00000000 |   20020123145350 |
|  2304.00000000 |   20020123185504 |
|  2305.00000000 |   20020124052707 |
|  2306.00000000 |   20020124054408 |
|  2307.00000000 |   20020124064912 |
|  2308.00000000 |   20020124072914 |
|  2309.00000000 |   20020124075415 |
|  2310.00000000 |   20020124082817 |
|  2311.00000000 |   20020124092921 |
|  2312.00000000 |   20020124102724 |
|  2313.00000000 |   20020124105725 |
|  2314.00000000 |   20020124111126 |
|  2315.00000000 |   20020124111326 |
|  2316.00000000 |   20020124113127 |
|  2317.00000000 |   20020124122730 |
|  2318.00000000 |   20020124125932 |
|  2319.00000000 |   20020124165645 |
|  2320.00000000 |   20020124170946 |
|  2321.00000000 |   20020125133304 |
+----------------+------------------+
