Year  Energy Start_runId Stop_runId Start_z_vertex Stop_z_vertex   75-80% 70-75% 65-70% 60-65% 55-60% 50-55% 45-50% 40-45% 35-40% 30-35% 25-30% 20-25% 15-20% 10-15% 5-10% 0-5% Normalize_stop  zpar0        zpar1         zpar2        zpar3         zpar4          zpar5           zpar6           zpar7       wpar0        wpar1        wpar2        wpar3         wpar4         wpar5         wpar6         wpar7         lpar0         lpar1
2010  200    11002145    11028088     -30.0      30.0      9     13     19     27     37     50     65     85    108    135    167    204    247    297    355    421            200      4.898090e+02      1.626240e-01     -1.342210e-02      2.827400e-04     -8.151150e-06     -2.689410e-07      7.575030e-09      8.932730e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00              0.0            0.0               0.0              0.0000
2010  200    11028089    11035026     -30.0      30.0      9     13     19     27     37     50     65     85    108    135    167    204    247    297    355    421            200      4.949220e+02      2.374920e-01     -9.941040e-03      4.060430e-05     -1.128100e-05     -4.263680e-08      6.629330e-09      3.820490e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                0.0            0.0             0.0              0.0000
2010  200    11035061    11054067     -30.0      30.0      9     13     19     27     37     50     65     85    108    135    167    204    247    297    355    421            200      4.909060e+02      2.322020e-01     -1.732430e-02     -2.085460e-05      1.536030e-05      7.028420e-08     -1.548930e-08      7.836260e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                0.0            0.0             0.0              0.0000
2010  200    11055095    11077018     -30.0      30.0      9     13     19     27     37     50     65     85    108    135    167    204    247    297    355    421            200      4.987420e+02      4.212970e-01     -2.992800e-02     -5.629310e-04     -2.783280e-06      6.829850e-07      5.300010e-08     -1.944460e-06     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                0.0            0.0             0.0              0.0000
2010 62.4    11077023    11081058     -30.0      30.0      7     10     15     21     29     39     51     66     84    106    131    160    194    233    279    334            100      3.941120e+02      3.430310e-01      1.363940e-02     -9.366620e-04     -8.501960e-05      1.098420e-06      7.737880e-08      2.646560e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2010 62.4    11081059    11098060     -30.0      30.0      7     10     15     21     29     39     51     66     84    106    131    160    194    233    279    334            100      3.967580e+02      1.765120e-01     -1.203800e-02     -4.127750e-05      1.280060e-05      7.245910e-08     -1.071780e-08     -2.228770e-06     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2010   39    11098062    11106007     -50.0      50.0      7     10     14     20     27     36     47     61     78     97    121    147    179    215    257    307             80      3.690290e+02      1.072510e-01     -7.337900e-03      8.295210e-05     -2.141310e-06     -1.024280e-08      4.047910e-10     -1.417700e-05     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2010   39    11106008    11113047     -50.0      50.0      7     10     14     20     27     36     47     61     78     97    121    147    179    215    257    307             80      3.638990e+02      1.272980e-01     -5.383090e-03      4.665330e-05     -3.782840e-06     -7.177520e-10      8.385150e-10      5.130250e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2010  7.7    11113050    11124053     -70.0      70.0      3      5      7     10     14     19     25     32     41     51     64     78     95    114    137    165             40      1.985640e+02     -1.051800e-02     -9.868690e-03      5.319490e-05      4.014890e-06     -4.093400e-09     -6.269800e-10      2.245950e-01     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2010  7.7    11124054    11147040     -70.0      70.0      3      5      7     10     14     19     25     32     41     51     64     78     95    114    137    165             40      1.987890e+02      4.279510e-02     -4.252240e-03      2.307950e-05      4.601970e-07      9.925250e-10     -7.194050e-11     -7.627270e-06     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2010 11.5    11147041    11152058     -70.0      70.0      4      6      9     13     18     24     32     41     52     65     80     98    118    143    172    206             60      2.488780e+02      3.872720e-02     -5.470800e-03      5.184300e-05      4.806940e-07     -2.774200e-09     -9.624330e-11     -6.623190e-06     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2010 11.5    11152059    11160010     -70.0      70.0      4      6      9     13     18     24     32     41     52     65     80     98    118    143    172    206             60      2.463390e+02      4.450400e-02     -5.357720e-03      2.920600e-05      4.975900e-07      1.474560e-09     -1.155110e-10      2.538600e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2011 19.6    12111032    12119029     -50.0      50.0      5      8     12     16     22     30     40     51     65     81    100    123    149    180    215    258             40      3.089220e+02      5.016610e-02     -1.115070e-03      6.311080e-05     -4.851910e-06     -6.419680e-09      1.437680e-09     -2.266930e-06     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2011 19.6    12119030    12122025     -50.0      50.0      5      8     12     16     22     30     40     51     65     81    100    123    149    180    215    258             40      3.084190e+02      4.431360e-02      2.118990e-03      6.098360e-05     -8.838890e-06     -7.453330e-09      2.643610e-09      5.033260e-01     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2011  200    12154038    12171017     -30.0      30.0      9     14     20     29     40     54     71     92    117    147    181    221    268    321    383    453            200      5.322590e+02      1.502080e-01     -1.005260e-02     -2.792600e-05     -1.183030e-05      6.516930e-08      8.997480e-09     -2.343930e-05     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
2011   27    12171018    12180056     -50.0      50.0      6      9     13     18     25     33     43     56     71     90    111    135    164    198    237    284             70      3.375990e+02      4.453600e-02     -1.545660e-03      3.184580e-05     -5.751850e-06      7.468000e-10      1.716370e-09     -6.300640e-06     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00                 0.0            0.0            0.0              0.0000
