Year   Energy   Start_runId Stop_runId Start_z_vertex Stop_z_vertex   75-80% 70-75% 65-70% 60-65% 55-60% 50-55% 45-50% 40-45% 35-40% 30-35% 25-30% 20-25% 15-20% 10-15% 5-10% 0-5% Normalize_stop  zpar0        zpar1         zpar2        zpar3         zpar4          zpar5           zpar6           zpar7         wpar0          wpar1         wpar2         wpar3          wpar4          wpar5               wpar6          wpar7               lpar0              lpar1
2010    200     11002145    11028088     -30.0         30.0           17     25     35     50     68     92     121    155    197    246    302    367    441    525    619   726  200             828.04       0.439133      -0.0133774   0.0           0.0            0.0             0.0             1.031         1.03393e+00    1.33797e+02   2.74409e+01   -1.32859e+02   -7.44943e-06   8.33889e-04         0.0             0.0            284.263            -0.569844
2010    200     11028089    11035026     -30.0         30.0           17     25     35     50     68     92     121    155    197    246    302    367    441    525    619   726  200             828.765      0.525515      -0.0147449   0.0           0.0            0.0             0.0             0.306         1.00459e+00    1.31471e+02   2.58343e+01   -1.23190e+02   -3.02581e-06   6.04996e-04         0.0             0.0            284.263            -0.569844
2010    200     11035061    11054067     -30.0         30.0           17     25     35     50     68     92     121    155    197    246    302    367    441    525    619   726  200             824.478      0.508699      -0.0133052   0.0           0.0            0.0             0.0             4.593         1.00981e+00    1.59824e+02   2.69355e+01   -1.21860e+02   -4.79064e-06   8.08434e-04         0.0             0.0            284.263            -0.569844
2010    200     11055095    11077018     -30.0         30.0           17     25     35     50     68     92     121    155    197    246    302    367    441    525    619   726  200             829.071      0.50211       -0.0136528   0.0           0.0            0.0             0.0             0.0           1.02971e+00    1.35734e+02   2.68982e+01   -1.33582e+02   -8.49535e-06   8.24411e-04         0.0             0.0            284.263            -0.569844
2010    62.4    11077023    11081058     -30.0         30.0           13     19     27     38     52     70      92    119    150    188    231    281    339    406    483   572  150             663.421      0.661982      0.0220411    -0.00173208   -0.000123877   1.71494e-06     1.04242e-07     8.911         9.10356e-01    8.56400e+01   1.20108e+01   -2.49384e+01   2.52498e-05    2.06617e-05         0.0             0.0            0.0                0.0
2010    62.4    11081059    11098060     -30.0         30.0           13     19     27     38     52     70      92    119    150    188    231    281    339    406    483   572  150             672.332      0.354958      -0.0108052   0.000160221   3.39671e-06    -1.46475e-0     -2.06264e-09    0.0           9.64302e-01    2.55969e+02   3.95362e+01   -1.01762e+02   -5.79302e-09   -3.84108e-06        0.0             0.0            0.0                0.0
2010    39      11098062    11106007     -40.0         40.0           12     17     25     35     48     64      84    108    137    171    210    256    309    370    440   523  150             631.212      0.196074      -0.00621651  6.58546e-06   -1.08682e-06   -5.92266e-09    -9.51085e-11    -9.28         9.00784e-01    3.04871e+02   4.53256e+01   -1.02763e+02   6.66485e-06    -5.41731e-06        0.0             0.0            0.0                0.0
2010    39      11106008    11113047     -40.0         40.0           12     17     25     35     48     64      84    108    137    171    210    256    309    370    440   523  150             621.932      0.132438      -0.00468703  1.89014e-06   -3.6127e-06   -1.69326e-09     6.90818e-10     0.0           9.16184e-01    3.36174e+02   4.91450e+01   -1.13318e+02   4.18334e-06    -1.64995e-06        0.0             0.0            0.0                0.0
2010    7.7     11113050    11124053     -50.0         50.0            6      9     12     17     24     32      42     54     69     86    106    129    156    188    226   271   50             3.16557e+02  1.67214e-01   1.60311e-02  -2.04707e-04  -2.18450e-05  5.59741e-08      6.02768e-09     9.622         9.77841e-01    3.38533e+01   5.46729e+01   -1.73622e+02   -1.99035e-06   8.40487e-05         0.0             0.0            0.0                0.0
2010    7.7     11124054    11147040     -50.0         50.0            6      9     12     17     24     32      42     54     69     86    106    129    156    188    226   271   50             3.26179e+02  1.12537e-01   -1.07575e-03 -6.11445e-05  -1.74699e-06  2.33608e-08      4.13804e-10     0.0           9.72161e-01    3.49791e+01   5.42499e+01   -1.75710e+02   2.65527e-06    9.95935e-05         0.0             0.0            0.0                0.0
2010    11.5    11147041    11152058     -50.0         50.0            8     11     16     22     31     41      54     70     88    110    135    165    200    241    288   344   50             4.17985e+02  2.64489e-02   9.80243e-04  1.23403e-04   -4.58899e-06  -4.17197e-08     9.44972e-10     -6.339        9.53807e-01    3.54196e+01   4.60612e+01   -1.57031e+02   1.57246e-05    1.25426e-04         0.0             0.0            0.0                0.0
2010    11.5    11152059    11160010     -50.0         50.0            8     11     16     22     31     41      54     70     88    110    145    165    200    241    288   344   50             4.11646e+02  3.65480e-02   -3.33334e-03 1.68893e-05   -1.08050e-06  -1.95689e-09     1.89723e-10     0.0           9.89612e-01    2.71264e+01   4.67008e+01   -1.78380e+02   -4.01715e-06   1.16767e-04         0.0             0.0            0.0                0.0
