#L2-ped algorithm finishRun(7075084)
#L2H10,6,total event counter; x=cases,25182,25182,25182,0,0,0,
#L2ped  CPU/eve MPV 128 kTicks,  FWHM=3, seen eve=25182
# L2ped-Adc spectra, run=7075084, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  15  1.7 0x01 0x38         P01TA01  336 :.........<.........*.........>2689:974.:.........:.........:.........:......... qa=+
 01TA02  10  1.3 0x01 0x39         P01TA02  342 :.........<.........*.....268::9751.....:.........:.........:.........:......... qa=+
 01TA03  22  1.7 0x01 0x3a         P01TA03  348 :.........<.........*.........>.......1479:974....:.........:.........:......... qa=+
 01TA04  22  1.3 0x01 0x6d         P01TA04  654 :.........<.........*.........>........589:9731...:.........:.........:......... qa=+
 01TA05  20  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>.....1689:9851.....:.........:.........:......... qa=+
 01TA06  20  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>......489:963......:.........:.........:......... qa=+
 01TA07  25  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:1589:975.:.........:.........:......... qa=+
 01TA08  19  1.7 0x01 0x3b         P01TA08  354 :.........<.........*.........>....3589:9864......:.........:.........:......... qa=+
 01TA09   7  1.3 0x01 0x3c         P01TA09  360 :.........<.........*...269::851........:.........:.........:.........:......... qa=+
 01TA10  16  0.9 0x01 0x3d         P01TA10  366 :.........<.........*.........>..269:962:.........:.........:.........:......... qa=+
 01TA11  21  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>.......479:962.....:.........:.........:......... qa=+
 01TA12  16  1.7 0x01 0x3f         P01TA12  378 :.........<.........*.........>..479:984:.........:.........:.........:......... qa=+
 01TB01  22  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>.......1479:98741..:.........:.........:......... qa=+
 01TB02  23  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>.........479:9874..:.........:.........:......... qa=+
 01TB03  26  1.3 0x01 0x42         P01TB03  396 :.........<.........*.........>.........:.2589:9751.........:.........:......... qa=+
 01TB04  15  1.7 0x01 0x70         P01TB04  672 :.........<.........*.........>.379:985.:.........:.........:.........:......... qa=+
 01TB05  23  1.3 0x01 0x71         P01TB05  678 :.........<.........*.........>.........379::841..:.........:.........:......... qa=+
 01TB06  23  1.3 0x01 0x72         P01TB06  684 :.........<.........*.........>........1689:962...:.........:.........:......... qa=+
 01TB07  20  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>......269:9862.....:.........:.........:......... qa=+
 01TB08  31  1.7 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:......1579:9852....:.........:......... qa=+
 01TB09  15  1.7 0x01 0x44         P01TB09  408 :.........<.........*.........>1479:9874:.........:.........:.........:......... qa=+
 01TB10  19  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>....1268::862......:.........:.........:......... qa=+
 01TB11  27  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:..1589:962.........:.........:......... qa=+
 01TB12  31  1.3 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:......168::851.....:.........:......... qa=+
 01TC01  23  1.3 0x01 0x48         P01TC01  432 :.........<.........*.........>........2689:974...:.........:.........:......... qa=+
 01TC02  27  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:..148::851.........:.........:......... qa=+
 01TC03  26  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:..47::961:.........:.........:......... qa=+
 01TC04  16  1.3 0x01 0x74         P01TC04  696 :.........<.........*.........>...69:973:.........:.........:.........:......... qa=+
 01TC05  15  0.9 0x01 0x75         P01TC05  702 :.........<.........*.........>..69:961.:.........:.........:.........:......... qa=+
 01TC06  18  0.9 0x01 0x76         P01TC06  708 :.........<.........*.........>...1379:972........:.........:.........:......... qa=+
 01TC07  12  1.3 0x01 0x77         P01TC07  714 :.........<.........*........48::9741...:.........:.........:.........:......... qa=+
 01TC08  30  1.3 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:......379::84......:.........:......... qa=+
 01TC09  20  1.3 0x01 0x4c         P01TC09  456 :.........<.........*.........>......279:9863.....:.........:.........:......... qa=+
 01TC10  27  1.7 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:..1589:9862........:.........:......... qa=+
 01TC11  31  1.3 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:.......68::974.....:.........:......... qa=+
 01TC12  23  1.7 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........689:9851..:.........:.........:......... qa=+
 01TD01  20  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>......479:9741.....:.........:.........:......... qa=+
 01TD02  23  1.3 0x02 0x01         P01TD02    7 :.........<.........*.........>.........479:963...:.........:.........:......... qa=+
 01TD03  27  1.3 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:...279::85.........:.........:......... qa=+
 01TD04  18  1.3 0x02 0x50         P01TD04  481 :.........<.........*.........>...1589:9731.......:.........:.........:......... qa=+
 01TD05  19  1.3 0x02 0x51         P01TD05  487 :.........<.........*.........>....368::963.......:.........:.........:......... qa=+
 01TD06  24  1.3 0x02 0x52         P01TD06  493 :.........<.........*.........>.........268::9742.:.........:.........:......... qa=+
 01TD07  21  1.7 0x02 0x53         P01TD07  499 :.........<.........*.........>......1479:98741...:.........:.........:......... qa=+
 01TD08  26  1.3 0x02 0x03         P01TD08   19 :.........<.........*.........>.........:..489:9731.........:.........:......... qa=+
 01TD09  13  1.7 0x02 0x04         P01TD09   25 :.........<.........*.........379:9863..:.........:.........:.........:......... qa=+
 01TD10  21  1.7 0x02 0x05         P01TD10   31 :.........<.........*.........>.....14789:9751....:.........:.........:......... qa=+
 01TD11  23  1.7 0x02 0x06         P01TD11   37 :.........<.........*.........>........2689:9752..:.........:.........:......... qa=+
 01TD12  27  1.3 0x02 0x07         P01TD12   43 :.........<.........*.........>.........:...279:9741........:.........:......... qa=+
 01TE01  23  1.7 0x02 0x08         P01TE01   49 :.........<.........*.........>.........479:9862..:.........:.........:......... qa=+
 01TE02  22  1.3 0x02 0x09         P01TE02   55 :.........<.........*.........>........179:9852...:.........:.........:......... qa=+
 01TE03  25  1.3 0x02 0x0a         P01TE03   61 :.........<.........*.........>.........:.168::861:.........:.........:......... qa=+
 01TE04  14  1.3 0x02 0x54         P01TE04  505 :.........<.........*.........>379::851.:.........:.........:.........:......... qa=+
 01TE05  15  1.7 0x02 0x55         P01TE05  511 :.........<.........*.........>.379:973.:.........:.........:.........:......... qa=+
 01TE06  17  1.3 0x02 0x56         P01TE06  517 :.........<.........*.........>...168::85.........:.........:.........:......... qa=+
 01TE07  16  1.3 0x02 0x57         P01TE07  523 :.........<.........*.........>..269:974:.........:.........:.........:......... qa=+
 01TE08  24  1.3 0x02 0x0b         P01TE08   67 :.........<.........*.........>.........:58::961..:.........:.........:......... qa=+
 01TE09  25  1.7 0x02 0x0c         P01TE09   73 :.........<.........*.........>.........:.479:9851:.........:.........:......... qa=+
 01TE10  18  1.3 0x02 0x0d         P01TE10   79 :.........<.........*.........>...2689:971........:.........:.........:......... qa=+
 01TE11  26  1.3 0x02 0x0e         P01TE11   85 :.........<.........*.........>.........:.148::95.:.........:.........:......... qa=+
 01TE12  23  1.3 0x02 0x0f         P01TE12   91 :.........<.........*.........>.........269::9741.:.........:.........:......... qa=+
 02TA01  18  1.3 0x02 0x10         P02TA12   97 :.........<.........*.........>....379:984........:.........:.........:......... qa=+
 02TA02  18  1.3 0x02 0x11         P02TA11  103 :.........<.........*.........>....269::84........:.........:.........:......... qa=+
 02TA03  21  1.3 0x02 0x12         P02TA10  109 :.........<.........*.........>.......169:971.....:.........:.........:......... qa=+
 02TA04  12  1.3 0x02 0x58         P02TA09  529 :.........<.........*........169::85....:.........:.........:.........:......... qa=+
 02TA05  14  1.3 0x02 0x59         P02TA08  535 :.........<.........*.........>168::863.:.........:.........:.........:......... qa=+
 02TA06  18  1.3 0x02 0x5a         P02TA07  541 :.........<.........*.........>....169::841.......:.........:.........:......... qa=+
 02TA07  29  1.3 0x02 0x5b         P02TA06  547 :.........<.........*.........>.........:.....169:9741......:.........:......... qa=+
 02TA08  24  0.9 0x02 0x13         P02TA05  115 :.........<.........*.........>.........:279:973..:.........:.........:......... qa=+
 02TA09  10  1.3 0x02 0x14         P02TA04  121 :.........<.........*......169:96.......:.........:.........:.........:......... qa=+
 02TA10  12  1.3 0x02 0x15         P02TA03  127 :.........<.........*........148::73....:.........:.........:.........:......... qa=+
 02TA11  15  1.7 0x02 0x16         P02TA02  133 :.........<.........*.........>.279:973.:.........:.........:.........:......... qa=+
 02TA12  18  1.3 0x02 0x17         P02TA01  139 :.........<.........*.........>...258::85.........:.........:.........:......... qa=+
 02TB01   9  1.3 0x02 0x18         P02TB12  145 :.........<.........*.....479:974.......:.........:.........:.........:......... qa=+
 02TB02  21  1.3 0x02 0x19         P02TB11  151 :.........<.........*.........>.....1258::962.....:.........:.........:......... qa=+
 02TB03  19  1.3 0x02 0x1a         P02TB10  157 :.........<.........*.........>.....379:975.......:.........:.........:......... qa=+
 02TB04  19  1.3 0x02 0x5c         P02TB09  553 :.........<.........*.........>.....37::85........:.........:.........:......... qa=+
 02TB05  21  1.3 0x02 0x5d         P02TB08  559 :.........<.........*.........>........69:973.....:.........:.........:......... qa=+
 02TB06  20  0.9 0x02 0x5e         P02TB07  565 :.........<.........*.........>......379:972......:.........:.........:......... qa=+
 02TB07  20  1.3 0x02 0x5f         P02TB06  571 :.........<.........*.........>.....1379:974......:.........:.........:......... qa=+
 02TB08  21  1.7 0x02 0x1b         P02TB05  163 :.........<.........*.........>......1479:9973....:.........:.........:......... qa=+
 02TB09  18  1.3 0x02 0x1c         P02TB04  169 :.........<.........*.........>....479:97.........:.........:.........:......... qa=+
 02TB10  24  1.3 0x02 0x1d         P02TB03  175 :.........<.........*.........>.........:37::85...:.........:.........:......... qa=+
