#L2-ped algorithm finishRun(7132018), 
#L2H10,6,total event counter; x=cases,2953,2953,2953,0,0,0,
#L2ped  CPU/eve MPV 152 kTicks,  FWHM=3, seen eve=2953
# L2ped-Adc spectra, run=7132018, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  16  1.3 0x01 0x38         P01TA01  336 :.........<.........*.........>.356777633221212.1.21.1..1...:.........:....1.... qa=+
 01TA02  13  1.7 0x01 0x39         P01TA02  342 :.........<.........*........1467776432232..1111..1........1:1........:.1....... qa=+
 01TA03  25  1.3 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........:3577775322222.111..1...1.11.111.....1.. qa=+
 01TA04  25  1.3 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........:.257876422221111.1.1.1.1.....:.......1. qa=+
 01TA05  21  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>......1367776422212211.1111..:.........1.......1. qa=+
 01TA06  20  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>.......36886422221111211.2...:.1.....1.:......... qa=+
 01TA07  26  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:..36787533222111111:.1......1:..1...1.. qa=+
 01TA08  20  1.3 0x01 0x3b         P01TA08  354 :.........<.........*.........>.....3577765311222111111.11..1.1..11...:.1....... qa=+
 01TA09  11  1.3 0x01 0x3c         P01TA09  360 :.........<.........*.......15787532222221.11.21.1:.........:...1.....:..1...... qa=+
 01TA10  20  1.3 0x01 0x3d         P01TA10  366 :.........<.........*.........>.....146786322222111.1.1.....1..1...1..:1..1..... qa=+
 01TA11  23  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>.........467874312.:1121...111.........:......... qa=+
 01TA12  18  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>....367874321111.121....11.1.:......11.:.1....... qa=+
 01TB01  22  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>........467776542211111111...:.....1...:......... qa=+
 01TB02  24  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>.........246777653111.2122...1.1.......:.1....... qa=+
 01TB03  25  1.3 0x01 0x42         P01TB03  396 :.........<.........*.........>.........125677753222121.1.1.1.1.......1......... qa=+
 01TB04  16  1.7 0x01 0x70         P01TB04  672 :.........<.........*.........>..2678753322222.11.:....1....:.........:......... qa=+
 01TB05  23  1.7 0x01 0x71         P01TB05  678 :.........<.........*.........>.........2577764322321.211.2.1..11.1...:......... qa=+
 01TB06  24  1.3 0x01 0x72         P01TB06  684 :.........<.........*.........>.........:467864332211.11.12.:..1......:.1....... qa=+
 01TB07  22  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>........14687643222:211121...:.........:......... qa=+
 01TB08  30  1.7 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:.....246777653222111.11.1.1..1.1....... qa=+
 01TB09  15  2.2 0x01 0x44         P01TB09  408 :.........<.........*.........>1357777532.111.112.1....1...1:....1....:.......1. qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>......25787633212121111...1..:....1....:......... qa=+
 01TB11  28  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:....367875312122.12:11.111...:......... qa=+
 01TB12  31  1.7 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:.......35787631321122.1.2..111111...... qa=+
 01TC01  20  1.3 0x01 0x48         P01TC01  432 :.........<.........*.........>.....13578764322222:1.1.1.1..:1..11....:......... qa=+
 01TC02  27  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:..1357874323212.12111.11....1:...1..... qa=+
 01TC03  26  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:.136786533212221.2.1.1..1....:......... qa=+
 01TC04  18  1.3 0x01 0x74         P01TC04  696 :.........<.........*.........>.....3688633221211211..1.1.11:..11..11.:......... qa=+
 01TC05  18  1.3 0x01 0x75         P01TC05  702 :.........<.........*.........>.....4787522212122111....1.1.:1.1...1..:......... qa=+
 01TC06  17  1.3 0x01 0x76         P01TC06  708 :.........<.........*.........>...147876432222121.11.1.11.1.:....1.2..:......... qa=+
 01TC07  16  0.9 0x01 0x77         P01TC07  714 :.........<.........*.........>..1578743222111.1.111..1.1.1.:.........1......... qa=+
 01TC08  31  1.3 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:.......257776422.21122.1..1111..1.1.1.. qa=+
 01TC09  20  1.3 0x01 0x4c         P01TC09  456 :.........<.........*.........>.....146777533122211.111211..:1.1......:......... qa=+
 01TC10  29  1.7 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:.....46777541221212111...11..:......... qa=+
 01TC11  31  1.7 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:.......3577765321.22.2.....1.:.......11 qa=+
 01TC12  24  1.7 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........:25787642112121121.2211.11.11.:....1.... qa=+
 01TD01  19  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>....136787533232111:1.12.11..:........1:......... qa=+
 01TD02  22  1.3 0x02 0x01         P01TD02    7 :.........<.........*.........>.........467765332122122.2.1.1.......1.:......... qa=+
 01TD03  28  1.3 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:...146786432212..221..111....:.1....... qa=+
 01TD04  17  1.3 0x02 0x50         P01TD04  481 :.........<.........*.........>..13678764221212111:..1..11..:.........1......... qa=+
 01TD05  19  1.7 0x02 0x51         P01TD05  487 :.........<.........*.........>....2577764321322211..1.111.1:.........:.1...1... qa=+
 01TD06  24  1.7 0x02 0x52         P01TD06  493 :.........<.........*.........>.........156777642212211211..:.........:...1..... qa=+
 01TD07  21  1.7 0x02 0x53         P01TD07  499 :.........<.........*.........>......356777653221111.11121..11..1.1...:....1.... qa=+
 01TD08  25  1.3 0x02 0x03         P01TD08   19 :.........<.........*.........>.........:.2578753321221111111.1.1..11.:1....1... qa=+
 01TD09  13  1.7 0x02 0x04         P01TD09   25 :.........<.........*.........46777653222.2111..1.:1........:.........:......... qa=+
 01TD10  22  1.7 0x02 0x05         P01TD10   31 :.........<.........*.........>.......246777642112211...111.1112......:......... qa=+
 01TD11  21  1.3 0x02 0x06         P01TD11   37 :.........<.........*.........>......11577775321211.121.11.11.1.....11:......... qa=+
 01TD12  27  1.3 0x02 0x07         P01TD12   43 :.........<.........*.........>.........:...1577765322221111111.1..1..:......... qa=+
 01TE01  22  1.7 0x02 0x08         P01TE01   49 :.........<.........*.........>........257776432212111.1111.1.........:......... qa=+
 01TE02  20  1.3 0x02 0x09         P01TE02   55 :.........<.........*.........>......1368764232221:1..1.....:...11..1.:1........ qa=+
 01TE03  27  1.3 0x02 0x0a         P01TE03   61 :.........<.........*.........>.........:..146786432221211..:1.11.11..:..1...... qa=+
 01TE04  15  1.3 0x02 0x54         P01TE04  505 :.........<.........*.........>1367864322212111.2.1...1..1..:......1..:......... qa=+
 01TE05  16  1.3 0x02 0x55         P01TE05  511 :.........<.........*.........>..25787532221112111:.1.1....1:.11.1....:.1....... qa=+
 01TE06  18  1.7 0x02 0x56         P01TE06  517 :.........<.........*.........>...136777642222221111.1..111.:....1....:....1.... qa=+
 01TE07  18  1.3 0x02 0x57         P01TE07  523 :.........<.........*.........>....4678752231222111..1..11.1:.........:......... qa=+
 01TE08  24  1.3 0x02 0x0b         P01TE08   67 :.........<.........*.........>.........146787433211112111.1:111.1....:.....1... qa=+
 01TE09  24  1.7 0x02 0x0c         P01TE09   73 :.........<.........*.........>.........:257776422111.1.....1.1.......:......... qa=+
 01TE10  19  1.3 0x02 0x0d         P01TE10   79 :.........<.........*.........>.....14688642221111111111111.:.1.......1......... qa=+
 01TE11  27  1.3 0x02 0x0e         P01TE11   85 :.........<.........*.........>.........:...3678743211.11.1111..211...1.1....1.. qa=+
 01TE12  22  1.3 0x02 0x0f         P01TE12   91 :.........<.........*.........>........15777652.221211.2.1.111.11.1..111......1. qa=+
 02TA01  17  1.7 0x02 0x10         P02TA12   97 :.........<.........*.........>..13577764332212..11...1.....:.........:.1....... qa=+
 02TA02  19  1.3 0x02 0x11         P02TA11  103 :.........<.........*.........>.....25787532212211222..11...:.....11..:......... qa=+
 02TA03  21  1.3 0x02 0x12         P02TA10  109 :.........<.........*.........>.......14787643322211.111....:....1.1..:....1...1 qa=+
 02TA04  14  0.9 0x02 0x58         P02TA09  529 :.........<.........*.........>1478764232212111.1.:.11......1.111.....:......1.. qa=+
 02TA05  15  1.3 0x02 0x59         P02TA08  535 :.........<.........*.........>..46776533222122111:1..1..11.11..1.....:...1..... qa=+
 02TA06  20  1.3 0x02 0x5a         P02TA07  541 :.........<.........*.........>.....14678643222221221..111.11.1.......:......... qa=+
 02TA07  30  1.3 0x02 0x5b         P02TA06  547 :.........<.........*.........>.........:.......57876423211112.111.111:.1......1 qa=+
 02TA08  23  1.3 0x02 0x13         P02TA05  115 :.........<.........*.........>.........25787533111111111...:.11.1....:.....1... qa=+
 02TA09  12  1.3 0x02 0x14         P02TA04  121 :.........<.........*........3688632131211211...1.:1.1...1..1.........:......... qa=+
 02TA10  14  1.3 0x02 0x15         P02TA03  127 :.........<.........*.........>36787422121.11121..:.1...11.1:1..1.....1......... qa=+
 02TA11  16  1.3 0x02 0x16         P02TA02  133 :.........<.........*.........>..1478753221111.1112.11111...:.........:.1.....1. qa=+
 02TA12  19  1.7 0x02 0x17         P02TA01  139 :.........<.........*.........>.....36787522211.212.1.....11:....1....:.1..1.... qa=+
 02TB01   9  1.3 0x02 0x18         P02TB12  145 :.........<.........*.....147876422312211.1...1111:.........:.........:.1....... qa=+
 02TB02  22  1.7 0x02 0x19         P02TB11  151 :.........<.........*.........>......23567775422122121.1..1.:.1..1.1..:......... qa=+
 02TB03  20  1.3 0x02 0x1a         P02TB10  157 :.........<.........*.........>......1478753222222111.......:11......1:......... qa=+
 02TB04  21  1.7 0x02 0x5c         P02TB09  553 :.........<.........*.........>......135787533221221.111....:.........:......... qa=+
 02TB05  23  1.3 0x02 0x5d         P02TB08  559 :.........<.........*.........>.........2678743232222212.1..11.1....1.:..1...... qa=+
 02TB06  20  1.3 0x02 0x5e         P02TB07  565 :.........<.........*.........>.......468764212212:1.111.1.11.....1...:..1.1.... qa=+
 02TB07  21  1.3 0x02 0x5f         P02TB06  571 :.........<.........*.........>.......2577765322212211.11.1.:.1.......:......1.. qa=+
 02TB08  22  1.7 0x02 0x1b         P02TB05  163 :.........<.........*.........>.......3567776422.2111.1.211.:1..11..1.:..1...... qa=+
 02TB09  18  1.3 0x02 0x1c         P02TB04  169 :.........<.........*.........>....246876321221.221.......1.1.........:......... qa=+
 02TB10  24  1.3 0x02 0x1d         P02TB03  175 :.........<.........*.........>.........:1578742222221211112:..1.1..1.:......... qa=+
 02TB11  25  1.3 0x02 0x1e         P02TB02  181 :.........<.........*.........>.........:.2578763222111121.1111...11..:1.1.1.... qa=+
 02TB12  23  1.7 0x02 0x1f         P02TB01  187 :.........<.........*.........>.........46777522.222121112..:11.1..1..:......... qa=+
 02TC01  17  1.7 0x02 0x20         P02TC01  193 :.........<.........*.........>..25677753322221211:.1...1...:......1.11..1...... qa=+
 02TC02  13  1.7 0x02 0x21         P02TC02  199 :.........<.........*........235787543222211.....1:...1.....:.1.......:......... qa=+
 02TC03  23  1.3 0x02 0x22         P02TC03  205 :.........<.........*.........>.........36787533221211.111..:..1......:......... qa=+
 02TC04  14  1.3 0x02 0x60         P02TC04  577 :.........<.........*.........>.47876433222112.112:1...1..1.:.........:......... qa=+
 02TC05  20  1.3 0x02 0x61         P02TC05  583 :.........<.........*.........>.....1257876422132211.111...1:...1..1.1:......... qa=+
 02TC06  23  1.3 0x02 0x62         P02TC06  589 :.........<.........*.........>.....1111257876322212.1111..11....1....:..11..... qa=+
 02TC07  24  1.3 0x02 0x63         P02TC07  595 :.........<.........*.........>.........:.46876532221221.1..1.111.11..1....1.... qa=+
 02TC08  24  1.3 0x02 0x23         P02TC08  211 :.........<.........*.........>.........146787531132.1.1..111..111..1.:......... qa=+
 02TC09  16  1.7 0x02 0x24         P02TC09  217 :.........<.........*.........>.1567776532212112111.1.1..11.:....1.1.1:......... qa=+
