#L2-ped Run(7139043)
#L2H10,6,total event counter; x=cases,447,447,447,0,0,0,
#L2ped  CPU/eve MPV 155 kTicks,  FWHM=3, seen eve=447
# L2ped-Adc spectra, run=7139043, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  16  1.3 0x01 0x38         P01TA01  336 :.........<.........*.........>.124566421211....1.:.........:.........:......... qa=+
 01TA02  13  1.7 0x01 0x39         P01TA02  342 :.........<.........*.........135554311.11........:.........:.........:......... qa=+
 01TA03  25  1.7 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........:.34565321111..1....:.........:......1.. qa=+
 01TA04  25  1.3 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........:.135654221...1.....:.........:......... qa=+
 01TA05  21  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>......11456543111..1....1....:.........:......... qa=+
 01TA06  20  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>.......14664211.11.:.........:..1......:......... qa=+
 01TA07  26  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:...35653.11.1..1..1:.........:......... qa=+
 01TA08  20  1.7 0x01 0x3b         P01TA08  354 :.........<.........*.........>......3555432.1..111.....1...1.........:.....1... qa=+
 01TA09  11  1.3 0x01 0x3c         P01TA09  360 :.........<.........*........346641.....:........1:.........:.........:......... qa=+
 01TA10  20  1.3 0x01 0x3d         P01TA10  366 :.........<.........*.........>......24565211.1...:.1.......:.........:......... qa=+
 01TA11  23  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>.........:45652.1..1.........:.........:......... qa=+
 01TA12  18  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>.....456531.....1..:11.......:.........:......... qa=+
 01TB01  22  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>.......114555531.2.:.........:.........:......... qa=+
 01TB02  24  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>.........134565421111........:.........:......... qa=+
 01TB03  25  1.7 0x01 0x42         P01TB03  396 :.........<.........*.........>.........:1345653111.....1.1.:.........:......... qa=+
 01TB04  16  1.7 0x01 0x70         P01TB04  672 :.........<.........*.........>...45654.:11....11.:.1.......:....1....:......... qa=+
 01TB05  23  1.7 0x01 0x71         P01TB05  678 :.........<.........*.........>.........:355542111:.1...1...1........1:......1.. qa=+
 01TB06  24  1.3 0x01 0x72         P01TB06  684 :.........<.........*.........>.........:1456532..1.211...1.:.........:......... qa=+
 01TB07  23  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>........1256642111.1.1.....1.:.........:....1.... qa=+
 01TB08  30  1.7 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:.....1145554311..1.:...1.....:......... qa=+
 01TB09  15  1.7 0x01 0x44         P01TB09  408 :.........<.........*.........>.235555311..11.....:.........:.........:......... qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>.......3565421....1:.........:.........:......... qa=+
 01TB11  28  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:.....3565311...1...:.........11........ qa=+
 01TB12  31  1.7 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:........35654211...:1.1......:......... qa=+
 01TC01  20  1.3 0x01 0x48         P01TC01  432 :.........<.........*.........>.......356542211.11:.........:.........:......... qa=+
 01TC02  27  0.9 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:....356531.11......:.........:......... qa=+
 01TC03  26  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:...4565321.........:.1.......:......... qa=+
 01TC04  19  1.3 0x01 0x74         P01TC04  696 :.........<.........*.........>......366521111.1.1:.........:.........:......... qa=+
 01TC05  18  1.3 0x01 0x75         P01TC05  702 :.........<.........*.........>.....1466421.1.....:.1....1..:.........:......... qa=+
 01TC06  17  1.3 0x01 0x76         P01TC06  708 :.........<.........*.........>....256531.111....1:.........:.........:......... qa=+
 01TC07  16  1.3 0x01 0x77         P01TC07  714 :.........<.........*.........>...25653.1...1.1...:.........:.........:..1...... qa=+
 01TC08  31  1.3 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:........356553.111.:.........:......... qa=+
 01TC09  20  1.3 0x01 0x4c         P01TC09  456 :.........<.........*.........>......24565421.1..1:.........:.........:......... qa=+
 01TC10  29  1.7 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:.....24565321111.1.1.........:......... qa=+
 01TC11  31  1.3 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:.......13565531111.:11.......:......... qa=+
 01TC12  24  1.3 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........:.3565411.1....1....:.........:......... qa=+
 01TD01  18  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>.....14665211211..1:....1....:.........:......... qa=+
 01TD02  22  1.3 0x02 0x01         P01TD02    7 :.........<.........*.........>.........256542..11:1......1.:.........:......... qa=+
 01TD03  28  1.3 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:....34564211..1....:.........:......... qa=+
 01TD04  17  1.7 0x02 0x50         P01TD04  481 :.........<.........*.........>..13456532....1....:.......1.:.........:......... qa=+
 01TD05  18  1.7 0x02 0x51         P01TD05  487 :.........<.........*.........>....135654121.1....:...1.....:.........:......... qa=+
 01TD06  24  1.3 0x02 0x52         P01TD06  493 :.........<.........*.........>.........13555542.1:1..1...1.:.........:.....1... qa=+
 01TD07  21  1.7 0x02 0x53         P01TD07  499 :.........<.........*.........>......134555442...11.1.......:.........:......... qa=+
 01TD08  25  1.3 0x02 0x03         P01TD08   19 :.........<.........*.........>.........:..25654212.........:1........:......... qa=+
 01TD09  13  1.7 0x02 0x04         P01TD09   25 :.........<.........*........13555542.1.1.1.......:.........:.........:......... qa=+
 01TD10  22  1.3 0x02 0x05         P01TD10   31 :.........<.........*.........>.......13556531111.:..1..1...:.........:1........ qa=+
 01TD11  22  1.3 0x02 0x06         P01TD11   37 :.........<.........*.........>........25565311...:.1.1.....1.........:......... qa=+
 01TD12  27  1.7 0x02 0x07         P01TD12   43 :.........<.........*.........>.........:...12555532..11..1.:1........:......... qa=+
 01TE01  22  1.7 0x02 0x08         P01TE01   49 :.........<.........*.........>.......12456542.211:1....1...:.........:......... qa=+
 01TE02  20  1.3 0x02 0x09         P01TE02   55 :.........<.........*.........>.......24654211...1:..1......:.........:..1...... qa=+
 01TE03  27  1.3 0x02 0x0a         P01TE03   61 :.........<.........*.........>.........:...2456522....1....:.........:......... qa=+
 01TE04  15  1.3 0x02 0x54         P01TE04  505 :.........<.........*.........>..566421.:1.1......:.1.......:.........:......... qa=+
 01TE05  16  0.9 0x02 0x55         P01TE05  511 :.........<.........*.........>...256531:..1..11..:.........:....1....:...1..... qa=+
