 e/w pmt      A          B          C        Delta(TAC)=A+B/(C+ADC) 
 0    1     4312.04  -121627.01     397.36 
 0    2     4301.90  -81768.37     253.58 
 0    3     4275.47  -55169.76     118.79 
 0    4     4284.71  -76255.02     180.10 
 0    5     4323.09  -90239.43     302.28 
 0    6     4299.77  -82895.85     244.57 
 0    7     4274.49  -63889.05     213.67 
 0    8     4181.25   -9313.28     -15.37 
 0    9     4201.13  -18236.54      48.24 
 0   10     4287.62  -63654.39     287.94 
 0   11     4223.53  -35646.14     144.55 
 0   12     4259.48  -68583.09     212.70 
 0   13     4189.22  -23763.90      73.26 
 0   14     4212.20  -30921.26     117.98 
 0   15     4253.36  -49700.84     157.61 
 0   16     4228.43  -27752.17      91.85 
 1    1     4002.24  101053.27     265.20 
 1    2     3989.98  101810.67     260.98 
 1    3     3990.69   87398.27     192.62 
 1    4     3990.63   62413.83     158.90 
 1    5     3976.30  108583.41     292.53 
 1    6     3983.14   73222.40     150.12 
 1    7     3836.83  654860.88    1788.73 
 1    8     3966.27   90889.78     348.15 
 1    9     4005.40   62587.29     199.77 
 1   10     3920.97  115253.20     347.25 
 1   11     4040.83   50282.22     124.53 
 1   12     3982.76   92939.12     242.43 
 1   13     4004.51   54002.06     163.28 
 1   14     4005.06   72457.45     234.78 
 1   15     3941.44  127913.96     357.12 
 1   16     4046.19   47560.05     133.23 
