( P10MCsicol   09:42:49   ôŸ@‚B   ntr=  10000 )
( ch= 0.200 bg,p  1.0000    2.90)
(  1% limits & peak    3    8  139 )
( <D/x>=  0.182 sig= 308.113 D  0.5598 )
     3     18     9982    0.00644
     4    109     9873    0.01614
     5    346     9527    0.02934
     6    579     8948    0.04146
     7    781     8167    0.05190
     8    941     7226    0.06056
     9    911     6315    0.06659
    10    851     5464    0.07073
    11    796     4668    0.07356
    12    659     4009    0.07525
    13    601     3408    0.07631
    14    498     2910    0.07688
    15    421     2489    0.07715
    16    340     2149    0.07725
    17    289     1860    0.07728
    18    194     1666    0.07728
    19    176     1490    0.07729
    20    163     1327    0.07732
    21     96     1231    0.07737
    22     97     1134    0.07746
    23     80     1054    0.07758
    24     72      982    0.07774
    25     59      923    0.07792
    26     58      865    0.07815
    27     56      809    0.07843
    28     52      757    0.07875
    29     42      715    0.07906
    30     52      663    0.07952
    31     34      629    0.07987
    32     29      600    0.08022
    33     25      575    0.08056
    34     22      553    0.08090
    35     16      537    0.08118
    36     19      518    0.08155
    37     27      491    0.08214
    38     18      473    0.08257
    39     21      452    0.08312
    40     18      434    0.08363
    41      8      426    0.08388
    42     12      414    0.08429
    43     12      402    0.08472
    44     11      391    0.08516
    45      6      385    0.08541
    46     11      374    0.08591
    47     16      358    0.08668
    48     13      345    0.08734
    49      3      342    0.08751
    50     13      329    0.08826
    51      5      324    0.08856
    52      7      317    0.08901
    53      4      313    0.08928
    54     13      300    0.09021
    55      5      295    0.09059
    56      6      289    0.09106
    57      4      285    0.09139
    58      7      278    0.09200
    59      9      269    0.09281
    60      5      264    0.09328
    61      2      262    0.09348
    62      5      257    0.09399
    63      8      249    0.09484
    64      4      245    0.09528
    65      7      238    0.09609
    66      3      235    0.09644
    67      3      232    0.09681
    68      3      229    0.09720
    69      4      225    0.09773
    71      4      221    0.09830
    72      3      218    0.09874
    73      2      216    0.09904
    74      6      210    0.09998
    75      1      209    0.10015
    77      5      204    0.10101
    78      5      199    0.10189
    79      2      197    0.10225
    80      3      194    0.10281
    81      4      190    0.10358
    84      3      187    0.10420
    86      2      185    0.10464
    88      1      184    0.10488
    89      1      183    0.10512
    90      3      180    0.10585
    91      2      178    0.10635
    92      1      177    0.10661
    93      2      175    0.10713
    94      1      174    0.10740
    95      2      172    0.10795
    96      3      169    0.10879
    97      1      168    0.10907
    98      2      166    0.10965
    99      2      164    0.11025
   100      2      162    0.11085
   101      3      159    0.11178
   102      2      157    0.11241
   103      1      156    0.11273
   104      4      152    0.11403
   105      2      150    0.11469
   106      1      149    0.11502
   108      3      146    0.11607
   110      1      145    0.11643
   111      2      143    0.11717
   112      4      139    0.11867
   114      1      138    0.11905
   116      4      134    0.12065
   120      4      130    0.12236
   121      1      129    0.12279
   122      1      128    0.12323
   123      3      125    0.12456
   125      1      124    0.12502
   126      1      123    0.12548
   128      1      122    0.12596
   130      5      117    0.12842
   131      2      115    0.12941
   132      2      113    0.13041
   133      1      112    0.13091
   134      5      107    0.13345
   135      2      105    0.13447
   136      2      103    0.13550
   138      2      101    0.13655
   140      2       99    0.13764
   141      1       98    0.13818
   142      2       96    0.13929
   145      1       95    0.13987
   146      1       94    0.14045
   152      1       93    0.14109
   154      1       92    0.14174
   158      3       89    0.14379
   161      1       88    0.14450
   163      2       86    0.14595
   164      1       85    0.14668
   166      1       84    0.14742
   167      2       82    0.14891
   168      1       81    0.14967
   169      1       80    0.15042
   171      1       79    0.15120
   172      1       78    0.15198
   174      1       77    0.15278
   175      1       76    0.15358
   176      1       75    0.15439
   182      1       74    0.15526
   183      1       73    0.15613
   184      1       72    0.15701
   186      1       71    0.15790
   188      1       70    0.15882
   191      1       69    0.15975
   194      1       68    0.16072
   198      2       66    0.16272
   201      1       65    0.16374
   207      1       64    0.16483
   210      1       63    0.16594
   216      1       62    0.16712
   222      2       60    0.16959
   223      1       59    0.17082
   226      1       58    0.17208
   227      1       57    0.17334
   235      1       56    0.17470
   238      1       55    0.17607
   239      1       54    0.17745
   241      1       53    0.17885
   246      1       52    0.18029
   256      1       51    0.18186
   258      1       50    0.18343
   260      1       49    0.18502
   261      1       48    0.18661
   262      1       47    0.18819
   279      1       46    0.18999
   291      2       44    0.19387
   293      1       43    0.19581
   295      1       42    0.19776
   298      1       41    0.19973
   299      1       40    0.20170
   301      1       39    0.20367
   318      1       38    0.20587
   345      1       37    0.20845
   348      1       36    0.21104
   355      1       35    0.21372
   359      1       34    0.21642
   399      1       33    0.21974
   405      1       32    0.22312
   457      1       31    0.22740
   466      1       30    0.23177
   476      1       29    0.23625
   519      1       28    0.24150
   543      1       27    0.24714
   550      1       26    0.25280
   577      1       25    0.25891
   586      1       24    0.26507
   614      1       23    0.27168
   621      1       22    0.27830
   640      1       21    0.28516
   816      1       20    0.29612
   827      1       19    0.30697
   841      1       18    0.31781
   878      1       17    0.32924
   914      1       16    0.34122
   987      1       15    0.35471
  1105      1       14    0.37100
  1110      1       13    0.38674
  1126      1       12    0.40230
  1132      1       11    0.41744
  1172      1       10    0.43310
  1233      1        9    0.44983
  1500      1        8    0.47362
  1627      1        7    0.50021
  1690      1        6    0.52742
  1895      1        5    0.55984
