 ( P10MCsicol.tab   09:42:49   Ùü@ÇB  )
( x=   1.000 cm.  iraf=   75931 )
 fsg, xlam=  46.2567  0.02162cm.   x=   1.000 )
 (  Delta   ktot     ntot     ms0  )
      0.20      0        0    17327
      0.40      0        0    10129
      0.60     18        0     3035
      0.80    109        0     1318
      1.00    346        0      730
      1.20    579        0      432
      1.40    781        0      260
      1.60    941        0      212
      1.80    911        0      169
      2.00    851        0      115
      2.20    796        0       93
      2.40    659        0       94
      2.60    601        0       39
      2.80    498        0       66
      3.00    421        0       36
      3.20    340        0       46
      3.40    289        0       86
      3.60    194        0       44
      3.80    176        0       42
      4.00    163        0       39
      4.20     96        0       35
      4.40     97        0       24
      4.60     80        0       18
      4.80     72        2       28
      5.00     59        1       28
      5.20     58        4        0
      5.40     56       10        0
      5.60     52       15        0
      5.80     42       23       17
      6.00     52       31       15
      6.20     34       47       23
      6.40     29       71       12
      6.60     25       90       15
      6.80     22      125        5
      7.00     16      163       13
      7.20     19      198       16
      7.40     27      253        6
      7.60     18      319        9
      7.80     21      362        5
      8.00     18      399        6
      8.20      8      457        7
      8.40     12      487       11
      8.60     12      499        6
      8.80     11      534        5
      9.00      6      568        5
      9.20     11      619        5
      9.40     16      579        6
      9.60     13      582        8
      9.80      3      463        8
     10.00     13      469        4
     10.20      5      500        3
     10.40      7      421        6
     10.60      4      326        2
     10.80     13      277        1
     11.00      5      237        4
     11.20      6      204        5
     11.40      4      145        2
     11.60      7      125        3
     11.80      9       87        2
     12.00      5       88        3
     12.20      2       61        2
     12.40      5       43        6
     12.60      8       47        2
     12.80      4       23        1
     13.00      7       16        4
     13.20      3        9        4
     13.40      3        7        1
     13.60      3        5        3
     13.80      4        3        1
     14.00      0        4        3
     14.20      4        0        2
     14.40      3        0        1
     14.60      2        0        2
     14.80      6        0        3
     15.00      1        2        5
     15.20      0        0        2
     15.40      5        0        0
     15.60      5        0        0
     15.80      2        0        3
     16.00      3        0        1
     16.20      4        0        0
     16.40      0        0        2
     16.60      0        0        2
     16.80      3        0        2
     17.20      2        0        4
     17.40      0        0        4
     17.60      1        0        1
     17.80      1        0        1
     18.00      3        0        4
     18.20      2        0        0
     18.40      1        0        3
     18.60      2        0        1
     18.80      1        0        1
     19.00      2        0        3
     19.20      3        0        0
     19.40      1        0        1
     19.60      2        0        1
     19.80      2        0        0
     20.00      2        0        2
     20.20      3        0        1
     20.40      2        0        3
     20.60      1        0        1
     20.80      4        0        0
     21.00      2        0        1
     21.20      1        0        2
     21.40      0        0        2
     21.60      3        0        2
     22.00      1        0        3
     22.20      2        0        3
     22.40      4        0        1
     22.60      0        0        1
     22.80      1        0        2
     23.00      0        0        1
     23.20      4        0        1
     23.40      0        0        5
     23.80      0        0        3
     24.00      4        0        2
     24.20      1        0        2
     24.40      1        0        4
     24.60      3        0        1
     25.00      1        0        2
     25.20      1        0        2
     25.40      0        0        1
     25.60      1        0        0
     25.80      0        0        2
     26.00      5        0        1
     26.20      2        0        1
     26.40      2        0        0
     26.60      1        0        0
     26.80      5        0        0
     27.00      2        0        0
     27.20      2        0        3
     27.60      2        0        0
     28.00      2        0        1
