   P10ep1.DAT, CH4    09:39:55   28-May-03 N2=64
  ASSM64.DAT   09:36:46   28-May-03 df/dE for CH4, N2=64                
   10.000   16.043   .00071576   .00066692 Z, A, rho                    
   8.6000  287.800  200.000   first E, K-shell & sbb                    
   64    8.6422   1.01089 1.08304E-02  N2, E(1), um, u                  
   ( SABRAr2.DAT   08:55:52   27-May-03 )                               
  18.00  39.9480  .001782  .001661 Z, A, rho                            
     10.600     248.50    1100.00 first E, L-shell & sbb                
   64   10.6312   1.01089 1.08304E-02  N2, E(2), um, u                  
     .000     .000     .050 df/dE coefficients                          
    J  E(J)[eV]     ep(2,J)      ep(1,J)      df/dE(J)
    2 8.73600E+00  7.22990E-07  8.0776E-04  1.16488E-04
    3 8.83100E+00  2.18696E-06  8.2115E-04  3.56200E-04
    4 8.92800E+00  5.74877E-06  8.3427E-04  9.46523E-04
    5 9.02500E+00  1.25427E-05  8.4488E-04  2.08761E-03
    6 9.12300E+00  2.29265E-05  8.5162E-04  3.85745E-03
    7 9.22200E+00  3.60997E-05  8.5417E-04  6.14003E-03
    8 9.32300E+00  5.08886E-05  8.5339E-04  8.74965E-03
    9 9.42400E+00  6.58237E-05  8.4979E-04  1.14408E-02
   10 9.52700E+00  7.90684E-05  8.4556E-04  1.38925E-02
   11 9.63100E+00  8.86921E-05  8.4354E-04  1.57531E-02
   12 9.73600E+00  9.42937E-05  8.4583E-04  1.69304E-02
   13 9.84200E+00  9.61159E-05  8.5371E-04  1.74455E-02
   14 9.94900E+00  9.48293E-05  8.6826E-04  1.73994E-02
   15 1.00570E+01  9.22631E-05  8.8923E-04  1.71129E-02
   16 1.01670E+01  9.04309E-05  9.1543E-04  1.69557E-02
   17 1.02770E+01  9.06306E-05  9.4462E-04  1.71782E-02
   18 1.03890E+01  9.18735E-05  9.7803E-04  1.76034E-02
   19 1.05020E+01  9.26454E-05  1.0212E-03  1.79446E-02
   20 1.06170E+01  1.02661E-04  1.0636E-03  2.01031E-02
   21 1.07320E+01  1.00298E-04  1.1374E-03  1.98454E-02
   22 1.08490E+01  1.38820E-04  1.1993E-03  2.77876E-02
   23 1.09670E+01  1.63962E-04  1.3201E-03  3.31481E-02
   24 1.10870E+01  3.44717E-04  1.3371E-03  7.05019E-02
   25 1.12080E+01  5.32259E-04  1.3044E-03  1.10001E-01
   26 1.13300E+01  8.49763E-04  1.1001E-03  1.77563E-01
   27 1.14530E+01  1.11429E-03  7.6461E-04  2.35368E-01
   28 1.15780E+01  1.23628E-03  4.7718E-04  2.63964E-01
   29 1.17040E+01  1.34866E-03  1.7029E-04  2.91125E-01
   30 1.18310E+01  1.32677E-03 -8.6791E-05  2.89473E-01
   31 1.19600E+01  1.23064E-03 -3.0008E-04  2.71480E-01
   32 1.20900E+01  9.31438E-04 -2.6737E-04  2.07656E-01
   33 1.22220E+01  7.51007E-04 -1.5904E-04  1.69301E-01
   34 1.23550E+01  5.84245E-04 -2.9382E-05  1.33112E-01
   35 1.24900E+01  4.66412E-04  1.1601E-04  1.07438E-01
   36 1.26260E+01  4.11233E-04  2.1738E-04  9.57589E-02
   37 1.27630E+01  3.38300E-04  3.2041E-04  7.96275E-02
   38 1.29020E+01  2.81443E-04  4.4461E-04  6.69701E-02
   39 1.30430E+01  2.62795E-04  5.6226E-04  6.32127E-02
   40 1.31850E+01  2.72110E-04  6.5746E-04  6.61692E-02
   41 1.33280E+01  2.80992E-04  7.6716E-04  6.90668E-02
   42 1.34730E+01  3.47633E-04  8.7473E-04  8.63793E-02
   43 1.36200E+01  5.00054E-04  9.1222E-04  1.25611E-01
   44 1.37680E+01  6.97409E-04  8.4527E-04  1.77082E-01
   45 1.39180E+01  8.82098E-04  6.8551E-04  2.26424E-01
   46 1.40700E+01  9.82172E-04  5.0701E-04  2.54855E-01
   47 1.42230E+01  1.01037E-03  3.6011E-04  2.65028E-01
   48 1.43780E+01  9.79085E-04  2.6684E-04  2.59628E-01
   49 1.45340E+01  9.09149E-04  2.5469E-04  2.43688E-01
   50 1.46930E+01  8.81811E-04  2.7046E-04  2.38950E-01
   51 1.48530E+01  8.78490E-04  2.8072E-04  2.40637E-01
   52 1.50140E+01  8.98514E-04  2.7200E-04  2.48795E-01
   53 1.51780E+01  9.21432E-04  2.4100E-04  2.57937E-01
   54 1.53430E+01  9.22146E-04  2.1558E-04  2.60935E-01
   55 1.55100E+01  9.22107E-04  2.0247E-04  2.63765E-01
   56 1.56790E+01  9.29323E-04  1.8506E-04  2.68744E-01
   57 1.58500E+01  9.13910E-04  2.1066E-04  2.67132E-01
   58 1.60220E+01  1.00588E-03  1.5920E-04  2.97252E-01
   59 1.61970E+01  1.00075E-03  9.9348E-05  2.98916E-01
   60 1.63730E+01  1.00082E-03  6.7630E-05  3.02222E-01
   61 1.65520E+01  9.97440E-04  3.9960E-05  3.04476E-01
   62 1.67320E+01  9.93092E-04  1.6998E-05  3.06446E-01
