STAR Bfield Maps by Foley, Love, & Trentalange 
Full Field in the REVERSED direction: October 1998
57 steps in Z
28 steps in R
   R      Z      Br       Bz 
  14.5 -280.0   113.67 -4586.89
  17.0 -280.0   133.17 -4595.91
  24.5 -280.0   184.08 -4633.52
  27.0 -280.0   202.46 -4651.77
  34.5 -280.0   245.96 -4708.86
  37.0 -280.0   260.28 -4732.87
  44.5 -280.0   287.76 -4811.08
  47.0 -280.0   295.09 -4841.39
  59.5 -280.0   272.01 -5008.90
  64.5 -280.0   245.70 -5078.94
  79.5 -280.0    91.41 -5259.70
  84.5 -280.0    20.65 -5290.25
  99.5 -280.0  -194.56 -5244.69
 104.5 -280.0  -247.57 -5178.71
 119.5 -280.0  -276.29 -4923.61
 124.5 -280.0  -242.27 -4843.24
 139.5 -280.0   -79.98 -4721.95
 144.5 -280.0   -23.19 -4729.97
 159.5 -280.0    80.55 -4811.89
 164.5 -280.0    93.82 -4839.12
 179.5 -280.0    98.33 -4874.51
 184.5 -280.0   101.40 -4874.19
 199.5 -280.0   113.57 -4861.87
 202.0 -280.0   122.73 -4859.30
 209.5 -280.0   146.33 -4849.89
 212.0 -280.0   159.62 -4848.82
 219.5 -280.0   200.84 -4841.48
 222.0 -280.0   221.25 -4847.11
  14.5 -270.0    81.04 -4716.53
  17.0 -270.0    94.59 -4723.40
  24.5 -270.0   129.16 -4752.97
  27.0 -270.0   141.18 -4766.98
  34.5 -270.0   168.27 -4810.35
  37.0 -270.0   176.72 -4827.66
  44.5 -270.0   189.73 -4884.31
  47.0 -270.0   192.64 -4905.26
  59.5 -270.0   165.02 -5014.21
  64.5 -270.0   144.36 -5055.75
  79.5 -270.0    42.22 -5152.56
  84.5 -270.0     0.15 -5164.58
  99.5 -270.0  -121.09 -5126.47
 104.5 -270.0  -149.11 -5087.34
 119.5 -270.0  -163.94 -4944.40
 124.5 -270.0  -145.92 -4899.46
 139.5 -270.0   -58.21 -4821.35
 144.5 -270.0   -24.34 -4818.46
 159.5 -270.0    47.76 -4844.02
 164.5 -270.0    62.91 -4858.02
 179.5 -270.0    87.25 -4883.81
 184.5 -270.0    95.60 -4886.98
 199.5 -270.0   116.99 -4890.91
 202.0 -270.0   125.33 -4892.09
 209.5 -270.0   146.06 -4895.06
 212.0 -270.0   156.68 -4898.66
 219.5 -270.0   187.11 -4907.63
 222.0 -270.0   201.04 -4918.64
  14.5 -260.0    55.95 -4806.90
  17.0 -260.0    65.15 -4811.78
  24.5 -260.0    87.99 -4833.65
  27.0 -260.0    95.76 -4843.87
  34.5 -260.0   112.11 -4875.02
  37.0 -260.0   116.99 -4886.83
  44.5 -260.0   122.51 -4926.03
  47.0 -260.0   123.44 -4939.93
  59.5 -260.0    99.80 -5008.98
