STAR Bfield Maps by Foley, Love, & Trentalange (gauss,cm,degrees)
Half Field in the NORMAL direction: October 1998
57 steps in Z
28 steps in R
37 steps in Phi
   R      Z      Phi    Br      Bz        Bphi
  14.5 -280.0    0.0   -57.24  2299.03   -0.00
  17.0 -280.0    0.0   -66.71  2305.62   -0.00
  24.5 -280.0    0.0   -92.91  2323.98    0.22
  27.0 -280.0    0.0  -101.19  2333.21    0.31
  34.5 -280.0    0.0  -124.09  2361.54    0.46
  37.0 -280.0    0.0  -130.08  2374.76    0.48
  44.5 -280.0    0.0  -145.26  2413.28    0.72
  47.0 -280.0    0.0  -147.77  2429.45    0.90
  59.5 -280.0    0.0  -136.74  2513.62    1.39
  64.5 -280.0    0.0  -122.95  2550.08    1.58
  79.5 -280.0    0.0   -45.48  2641.18    2.67
  84.5 -280.0    0.0    -9.22  2656.35    3.11
  99.5 -280.0    0.0    99.58  2633.13    3.88
 104.5 -280.0    0.0   126.25  2599.82    3.96
 119.5 -280.0    0.0   141.65  2470.88    3.39
 124.5 -280.0    0.0   124.06  2430.54    2.98
 139.5 -280.0    0.0    42.67  2368.77    1.66
 144.5 -280.0    0.0    14.88  2373.05    1.04
 159.5 -280.0    0.0   -38.55  2414.20   -0.14
 164.5 -280.0    0.0   -44.57  2427.23   -0.42
 179.5 -280.0    0.0   -47.36  2445.04   -0.89
 184.5 -280.0    0.0   -48.53  2446.00   -0.98
 199.5 -280.0    0.0   -54.15  2440.54   -1.12
 202.0 -280.0    0.0   -58.13  2440.22   -1.14
 209.5 -280.0    0.0   -69.37  2435.17   -1.24
 212.0 -280.0    0.0   -75.19  2434.82   -1.18
 219.5 -280.0    0.0   -95.21  2432.49   -1.31
 222.0 -280.0    0.0  -104.47  2433.55   -1.43
  14.5 -270.0    0.0   -40.73  2364.49   -0.00
  17.0 -270.0    0.0   -47.30  2369.44   -0.00
  24.5 -270.0    0.0   -65.18  2384.30    0.26
  27.0 -270.0    0.0   -70.49  2390.94    0.23
  34.5 -270.0    0.0   -84.74  2412.79    0.43
  37.0 -270.0    0.0   -88.15  2422.39    0.42
  44.5 -270.0    0.0   -95.46  2450.37    0.59
  47.0 -270.0    0.0   -96.15  2461.35    0.73
  59.5 -270.0    0.0   -82.50  2516.12    1.13
  64.5 -270.0    0.0   -71.88  2538.02    1.20
  79.5 -270.0    0.0   -20.43  2586.57    1.96
  84.5 -270.0    0.0     1.18  2592.85    2.27
  99.5 -270.0    0.0    62.61  2573.09    2.62
 104.5 -270.0    0.0    76.99  2553.93    2.65
 119.5 -270.0    0.0    84.70  2481.40    2.25
 124.5 -270.0    0.0    75.78  2458.69    2.00
 139.5 -270.0    0.0    31.63  2419.14    1.28
 144.5 -270.0    0.0    15.23  2417.60    0.79
 159.5 -270.0    0.0   -21.70  2430.60    0.13
 164.5 -270.0    0.0   -28.79  2436.88   -0.07
 179.5 -270.0    0.0   -41.18  2449.44   -0.56
 184.5 -270.0    0.0   -44.99  2452.11   -0.52
 199.5 -270.0    0.0   -55.27  2454.26   -0.67
 202.0 -270.0    0.0   -58.88  2455.53   -0.72
 209.5 -270.0    0.0   -68.77  2456.65   -0.76
 212.0 -270.0    0.0   -73.32  2458.37   -0.74
 219.5 -270.0    0.0   -88.46  2464.07   -0.85
 222.0 -270.0    0.0   -94.64  2467.67   -0.98
  14.5 -260.0    0.0   -28.02  2410.04   -0.00
  17.0 -260.0    0.0   -32.43  2414.03   -0.00
  24.5 -260.0    0.0   -44.32  2424.83    0.19
  27.0 -260.0    0.0   -47.57  2429.64    0.27
  34.5 -260.0    0.0   -56.32  2445.25    0.31
  37.0 -260.0    0.0   -58.13  2452.17    0.39
  44.5 -260.0    0.0   -61.36  2471.11    0.49
  47.0 -260.0    0.0   -61.24  2478.57    0.67
  59.5 -260.0    0.0   -49.45  2513.10    0.87
  64.5 -260.0    0.0   -41.90  2526.13    0.95
  79.5 -260.0    0.0    -8.73  2552.28    1.33
  84.5 -260.0    0.0     4.30  2554.66    1.64
  99.5 -260.0    0.0    39.65  2540.11    1.76
 104.5 -260.0    0.0    47.59  2528.63    1.81
 119.5 -260.0    0.0    51.60  2486.40    1.47
 124.5 -260.0    0.0    46.61  2472.91    1.39
 139.5 -260.0    0.0    21.23  2446.87    0.95
 144.5 -260.0    0.0    11.08  2444.12    0.73
 159.5 -260.0    0.0   -14.84  2446.61    0.17
 164.5 -260.0    0.0   -21.13  2449.50    0.17
 179.5 -260.0    0.0   -35.38  2457.96   -0.20
 184.5 -260.0    0.0   -39.92  2460.85   -0.16
 199.5 -260.0    0.0   -51.39  2467.05   -0.35
 202.0 -260.0    0.0   -54.40  2469.31   -0.33
 209.5 -260.0    0.0   -61.93  2473.58   -0.47
 212.0 -260.0    0.0   -65.01  2476.35   -0.32
 219.5 -260.0    0.0   -74.63  2485.30   -0.56
 222.0 -260.0    0.0   -77.95  2489.55   -0.58
  14.5 -250.0    0.0   -18.80  2440.82   -0.00
  17.0 -250.0    0.0   -21.57  2443.59   -0.00
  24.5 -250.0    0.0   -29.41  2451.43    0.14
  27.0 -250.0    0.0   -31.23  2454.65    0.18
  34.5 -250.0    0.0   -36.60  2465.45    0.23
  37.0 -250.0    0.0   -37.54  2470.23    0.29
  44.5 -250.0    0.0   -38.78  2482.81    0.34
  47.0 -250.0    0.0   -38.27  2487.64    0.48
  59.5 -250.0    0.0   -29.49  2509.05    0.62
  64.5 -250.0    0.0   -24.33  2516.79    0.68
  79.5 -250.0    0.0    -3.21  2530.87    0.95
  84.5 -250.0    0.0     4.71  2531.78    1.19
  99.5 -250.0    0.0    25.32  2521.34    1.23
 104.5 -250.0    0.0    29.94  2514.45    1.25
 119.5 -250.0    0.0    31.59  2488.84    0.99
 124.5 -250.0    0.0    28.77  2480.61    0.96
 139.5 -250.0    0.0    12.99  2463.41    0.75
 144.5 -250.0    0.0     6.56  2460.84    0.52
 159.5 -250.0    0.0   -12.03  2460.07    0.25
 164.5 -250.0    0.0   -16.93  2461.42    0.22
 179.5 -250.0    0.0   -30.20  2467.37   -0.09
 184.5 -250.0    0.0   -34.47  2470.29   -0.05
 199.5 -250.0    0.0   -45.08  2478.03   -0.15
 202.0 -250.0    0.0   -47.29  2480.56   -0.16
 209.5 -250.0    0.0   -52.59  2485.94   -0.26
 212.0 -250.0    0.0   -54.49  2488.75   -0.13
 219.5 -250.0    0.0   -60.01  2497.66   -0.31
 222.0 -250.0    0.0   -61.50  2501.36   -0.31
  14.5 -240.0    0.0   -12.36  2461.12   -0.00
  17.0 -240.0    0.0   -14.03  2463.28   -0.00
  24.5 -240.0    0.0   -19.23  2468.49    0.18
  27.0 -240.0    0.0   -20.00  2470.79    0.20
  34.5 -240.0    0.0   -23.47  2477.77    0.21
  37.0 -240.0    0.0   -23.76  2481.14    0.22
  44.5 -240.0    0.0   -24.25  2489.17    0.28
  47.0 -240.0    0.0   -23.48  2492.39    0.41
  59.5 -240.0    0.0   -17.47  2505.37    0.50
  64.5 -240.0    0.0   -13.96  2510.01    0.46
  79.5 -240.0    0.0    -0.73  2517.62    0.71
  84.5 -240.0    0.0     4.17  2517.78    0.87
  99.5 -240.0    0.0    16.19  2510.55    0.91
 104.5 -240.0    0.0    18.81  2506.20    0.86
 119.5 -240.0    0.0    19.15  2490.33    0.71
 124.5 -240.0    0.0    17.49  2485.27    0.70
 139.5 -240.0    0.0     6.99  2473.90    0.61
 144.5 -240.0    0.0     2.79  2472.01    0.41
 159.5 -240.0    0.0   -10.80  2470.50    0.32
 164.5 -240.0    0.0   -14.48  2471.35    0.25
 179.5 -240.0    0.0   -25.69  2476.17    0.08
 184.5 -240.0    0.0   -29.24  2478.77    0.13
 199.5 -240.0    0.0   -38.19  2486.66    0.05
 202.0 -240.0    0.0   -39.87  2489.18    0.08
 209.5 -240.0    0.0   -43.55  2494.31    0.00
 212.0 -240.0    0.0   -44.63  2496.95    0.08
 219.5 -240.0    0.0   -48.18  2504.49   -0.06
 222.0 -240.0    0.0   -48.89  2507.20   -0.12
  14.5 -230.0    0.0    -7.99  2474.28   -0.00
  17.0 -230.0    0.0    -8.97  2475.83   -0.00
  24.5 -230.0    0.0   -12.36  2479.38    0.14
  27.0 -230.0    0.0   -12.61  2480.76    0.13
  34.5 -230.0    0.0   -14.87  2485.31    0.16
  37.0 -230.0    0.0   -14.94  2487.68    0.15
  44.5 -230.0    0.0   -14.99  2492.73    0.18
  47.0 -230.0    0.0   -14.32  2494.82    0.33
  59.5 -230.0    0.0   -10.24  2502.55    0.36
  64.5 -230.0    0.0    -8.00  2505.28    0.31
  79.5 -230.0    0.0     0.18  2509.43    0.47
  84.5 -230.0    0.0     3.22  2509.35    0.66
  99.5 -230.0    0.0    10.30  2504.28    0.64
 104.5 -230.0    0.0    11.74  2501.62    0.67
 119.5 -230.0    0.0    11.36  2491.56    0.55
 124.5 -230.0    0.0    10.20  2488.39    0.51
 139.5 -230.0    0.0     2.86  2481.09    0.48
