Electric field distortions due to the shape of the Endcaps; R,Z and Dist Int in cm
Source: Howard Wieman May 2001 - Done in MathCad on his laptop
33 steps in R
12 steps in Phi
69 steps in Z
     R          Phi          Z      R Integral  Phi Integral 
   14.5           0        -280           0           0 
     17           0        -280           0           0 
   24.5           0        -280           0           0 
     27           0        -280           0           0 
   34.5           0        -280           0           0 
     37           0        -280           0           0 
   44.5           0        -280           0           0 
     47           0        -280           0           0 
     49           0        -280           0           0 
     50           0        -280           0           0 
     51           0        -280           0           0 
   59.5           0        -280           0           0 
   64.5           0        -280           0           0 
   79.5           0        -280           0           0 
   84.5           0        -280           0           0 
   99.5           0        -280           0           0 
  104.5           0        -280           0           0 
  119.5           0        -280           0           0 
  124.5           0        -280           0           0 
  139.5           0        -280           0           0 
  144.5           0        -280           0           0 
  159.5           0        -280           0           0 
  164.5           0        -280           0           0 
  179.5           0        -280           0           0 
  184.5           0        -280           0           0 
    199           0        -280           0           0 
  199.3           0        -280           0           0 
  199.5           0        -280           0           0 
    202           0        -280           0           0 
  209.5           0        -280           0           0 
    212           0        -280           0           0 
  219.5           0        -280           0           0 
    222           0        -280           0           0 
   14.5      0.5236        -280           0           0 
     17      0.5236        -280           0           0 
   24.5      0.5236        -280           0           0 
     27      0.5236        -280           0           0 
   34.5      0.5236        -280           0           0 
     37      0.5236        -280           0           0 
   44.5      0.5236        -280           0           0 
     47      0.5236        -280           0           0 
     49      0.5236        -280           0           0 
     50      0.5236        -280           0           0 
     51      0.5236        -280           0           0 
   59.5      0.5236        -280           0           0 
   64.5      0.5236        -280           0           0 
   79.5      0.5236        -280           0           0 
   84.5      0.5236        -280           0           0 
   99.5      0.5236        -280           0           0 
  104.5      0.5236        -280           0           0 
  119.5      0.5236        -280           0           0 
  124.5      0.5236        -280           0           0 
  139.5      0.5236        -280           0           0 
  144.5      0.5236        -280           0           0 
  159.5      0.5236        -280           0           0 
  164.5      0.5236        -280           0           0 
  179.5      0.5236        -280           0           0 
  184.5      0.5236        -280           0           0 
    199      0.5236        -280           0           0 
  199.3      0.5236        -280           0           0 
  199.5      0.5236        -280           0           0 
    202      0.5236        -280           0           0 
  209.5      0.5236        -280           0           0 
    212      0.5236        -280           0           0 
  219.5      0.5236        -280           0           0 
    222      0.5236        -280           0           0 
   14.5       1.047        -280           0           0 
     17       1.047        -280           0           0 
   24.5       1.047        -280           0           0 
     27       1.047        -280           0           0 
   34.5       1.047        -280           0           0 
     37       1.047        -280           0           0 
   44.5       1.047        -280           0           0 
     47       1.047        -280           0           0 
     49       1.047        -280           0           0 
     50       1.047        -280           0           0 
     51       1.047        -280           0           0 
   59.5       1.047        -280           0           0 
   64.5       1.047        -280           0           0 
   79.5       1.047        -280           0           0 
   84.5       1.047        -280           0           0 
   99.5       1.047        -280           0           0 
  104.5       1.047        -280           0           0 
  119.5       1.047        -280           0           0 
  124.5       1.047        -280           0           0 
  139.5       1.047        -280           0           0 
  144.5       1.047        -280           0           0 
  159.5       1.047        -280           0           0 
  164.5       1.047        -280           0           0 
  179.5       1.047        -280           0           0 
  184.5       1.047        -280           0           0 
    199       1.047        -280           0           0 
  199.3       1.047        -280           0           0 
  199.5       1.047        -280           0           0 
    202       1.047        -280           0           0 
  209.5       1.047        -280           0           0 
    212       1.047        -280           0           0 
  219.5       1.047        -280           0           0 
    222       1.047        -280           0           0 
   14.5       1.571        -280           0           0 
     17       1.571        -280           0           0 
   24.5       1.571        -280           0           0 
     27       1.571        -280           0           0 
   34.5       1.571        -280           0           0 
     37       1.571        -280           0           0 
   44.5       1.571        -280           0           0 
     47       1.571        -280           0           0 
     49       1.571        -280           0           0 
     50       1.571        -280           0           0 
     51       1.571        -280           0           0 
   59.5       1.571        -280           0           0 
   64.5       1.571        -280           0           0 
   79.5       1.571        -280           0           0 
   84.5       1.571        -280           0           0 
   99.5       1.571        -280           0           0 
  104.5       1.571        -280           0           0 
  119.5       1.571        -280           0           0 
  124.5       1.571        -280           0           0 
  139.5       1.571        -280           0           0 
  144.5       1.571        -280           0           0 
  159.5       1.571        -280           0           0 
  164.5       1.571        -280           0           0 
  179.5       1.571        -280           0           0 
  184.5       1.571        -280           0           0 
    199       1.571        -280           0           0 
  199.3       1.571        -280           0           0 
  199.5       1.571        -280           0           0 
    202       1.571        -280           0           0 
