# $Id: steel_magfieldmap.dat,v 1.1 2007/08/24 14:52:43 fisyak Exp $
# $Log: steel_magfieldmap.dat,v $
# Revision 1.1  2007/08/24 14:52:43  fisyak
# Add mag. field map in steel
#
#Magentic field map was calculated by Wuzheng Meng from CAD.
#This calculation was done in the 3D OPERA frame.
#The magnetic steel and coils were in the simulation. 
#z 0-150 cm, phi 0-12 degree,r 222-440cm.
#115 r bin from 222-440cm
#16 z bin  from 0 to 150 cm.
#25 phi bin from 0 to 12 degree. 
#Please note br(phi)=br(phi+12*N),  bphi(phi)=bphi(phi+12*N),  bz(phi)=bz(phi+12*N);
# r     z   phi    bx        bz   by
---------------------------------------------------------< start of table
222     0    0      0    4923.16    0
222    10    0    -18.0021    4928.44    0.00396269
222    20    0    -29.4991    4941.05    0.0072488
222    30    0    -33.1099    4954.27    0.00964708
222    40    0    -32.5855    4963.65    0.0113779
222    50    0    -32.6199    4969.79    0.0129126
222    60    0    -34.4972    4976.52    0.0145879
222    70    0    -35.2989    4986.19    0.0165364
222    80    0    -31.7122    4996.74    0.0189123
222    90    0    -24.125    5003.95    0.022165
222    100    0    -16.3976    5006.01    0.0270125
222    110    0    -12.0854    5005.37    0.0342212
222    120    0    -10.8709    5006.43    0.0444272
222    130    0    -8.8133    5010.91    0.0581838
222    140    0    -2.66322    5016.03    0.0762627
222    150    0    6.68641    5017.67    0.0999394
225    0    0    0    4916.85    0
225    10    0    -21.0717    4923.45    0.00424857
225    20    0    -33.6811    4938.88    0.00768111
225    30    0    -36.3295    4954.3    0.010072
225    40    0    -34.2547    4964.09    0.0116995
225    50    0    -33.7742    4969.41    0.0131055
225    60    0    -36.5144    4975.75    0.0146649
225    70    0    -38.2743    4986.46    0.0164585
225    80    0    -34.337    4998.72    0.0185795
225    90    0    -25.1724    5006.75    0.0215061
225    100    0    -15.9914    5008.06    0.0260158
225    110    0    -11.6195    5005.97    0.0329274
225    120    0    -11.6331    5006.49    0.0428905
225    130    0    -10.5744    5012.02    0.0563933
225    140    0    -3.97356    5018.69    0.0741705
225    150    0    6.8893    5020.82    0.0975539
228    0    0    0    4909.36    0
228    10    0    -24.9287    4917.7    0.00451158
228    20    0    -38.7654    4936.77    0.00809398
228    30    0    -39.9436    4954.9    0.0104951
228    40    0    -35.7204    4964.97    0.0120429
228    50    0    -34.5732    4968.93    0.0133198
228    60    0    -38.5936    4974.53    0.0147393
228    70    0    -41.7776    4986.56    0.016348
228    80    0    -37.4449    5001.08    0.0181929
228    90    0    -26.209    5010.16    0.0207774
228    100    0    -15.1149    5010.41    0.024925
228    110    0    -10.7211    5006.29    0.0314948
228    120    0    -12.4946    5006.05    0.0411533
228    130    0    -12.8675    5013.01    0.054328
228    140    0    -5.68756    5021.76    0.0717233
228    150    0    7.19705    5024.52    0.0947186
231    0    0    -3.47049e-14    4900.38    2.02063e-14
231    10    0    -29.8127    4911.01    0.00506388
231    20    0    -44.9864    4934.82    0.00895047
231    30    0    -44.0011    4956.27    0.0112966
231    40    0    -36.8405    4966.43    0.0125821
231    50    0    -34.83    4968.28    0.0136496
231    60    0    -40.721    4972.67    0.0149023
231    70    0    -45.9824    4986.4    0.0163055
231    80    0    -41.191    5003.94    0.0178098
231    90    0    -27.2221    5014.38    0.0198774
231    100    0    -13.5961    5013.15    0.0234987
231    110    0    -9.2217    5006.21    0.0296904
231    120    0    -13.4882    5004.87    0.0390161
231    130    0    -15.8826    5013.8    0.0518292
231    140    0    -7.93741    5025.36    0.0687281
231    150    0    7.65716    5028.95    0.0910966
234    0    0    -1.46797e-13    4889.45    1.88476e-14
234    10    0    -36.0828    4903.16    0.00543709
234    20    0    -52.6893    4933.16    0.0095678
234    30    0    -48.5808    4958.76    0.0119047
234    40    0    -37.4155    4968.69    0.0130171
234    50    0    -34.2689    4967.38    0.0139148
234    60    0    -42.8749    4969.86    0.0149237
234    70    0    -51.1461    4985.84    0.0160286
234    80    0    -45.7958    5007.47    0.0172199
234    90    0    -28.1885    5019.69    0.0188826
234    100    0    -11.1782    5016.43    0.0220856
234    110    0    -6.86312    5005.56    0.0278955
234    120    0    -14.6581    5002.67    0.0367575
234    130    0    -19.8979    5014.32    0.049089
234    140    0    -10.9073    5029.72    0.065496
234    150    0    8.34383    5034.39    0.087306
237    0    0    -3.03253e-13    4875.96    -4.58227e-14
237    10    0    -44.2128    4893.87    0.00556805
237    20    0    -62.2942    4932.02    0.00986708
237    30    0    -53.7551    4962.75    0.0122732
237    40    0    -37.1706    4972.03    0.0133468
237    50    0    -32.505    4966.1    0.014114
237    60    0    -45.0241    4965.7    0.0148295
237    70    0    -57.6232    4984.73    0.0155753
237    80    0    -51.5476    5011.88    0.0164626
237    90    0    -29.0857    5026.44    0.0177832
237    100    0    -7.53955    5020.43    0.0206118
237    110    0    -3.30244    5004.13    0.0260003
237    120    0    -16.0762    4999.02    0.0343041
237    130    0    -25.2964    5014.48    0.0460569
237    140    0    -14.8405    5035.08    0.0619184
237    150    0    9.33676    5041.16    0.0831237
240    0    0    -4.85038e-13    4859.13    -1.8719e-13
240    10    0    -54.8451    4882.78    0.00578777
240    20    0    -74.3241    4931.7    0.0108318
240    30    0    -59.5951    4968.78    0.0135164
240    40    0    -35.7442    4976.83    0.0141227
240    50    0    -29.0002    4964.29    0.0144324
240    60    0    -47.1254    4959.6    0.0152327
240    70    0    -65.9135    4982.84    0.0162258
240    80    0    -58.8207    5017.48    0.0163883
240    90    0    -29.8855    5035.11    0.0155789
240    100    0    -2.2581    5025.42    0.0159799
240    110    0    1.94903    5001.61    0.020313
240    120    0    -17.8439    4993.32    0.0289911
240    130    0    -32.6049    5014.15    0.0410207
240    140    0    -20.0428    5041.82    0.0551412
240    150    0    10.7442    5049.72    0.0727877
243    0    0    -2.61833e-06    4837.83    -1.20354e-06
243    10    0    -68.8975    4869.47    0.0147181
243    20    0    -89.4664    4932.66    0.0251998
243    30    0    -66.1923    4977.55    0.0240123
243    40    0    -32.6748    4983.62    0.0178848
243    50    0    -22.9843    4961.78    0.0153713
243    60    0    -49.1179    4950.69    0.0177568
243    70    0    -76.7473    4979.87    0.0205688
243    80    0    -68.1065    5024.74    0.0184211
243    90    0    -30.5477    5046.3    0.0118112
243    100    0    5.23599    5031.79    0.00704174
243    110    0    9.61904    4997.61    0.0104837
243    120    0    -20.115    4984.71    0.0215295
243    130    0    -42.5853    5013.23    0.035222
243    140    0    -26.9151    5050.44    0.0471874
243    150    0    12.7042    5060.68    0.0602734
246    0    0    -3.25079e-06    4810.43    -3.83794e-06
246    10    0    -87.6995    4853.36    0.0169258
246    20    0    -108.582    4935.55    0.0286021
246    30    0    -73.6316    4989.91    0.0264084
246    40    0    -27.3632    4993.08    0.0188386
246    50    0    -13.3326    4958.3    0.0157326
246    60    0    -50.9139    4937.64    0.0184029
246    70    0    -91.2137    4975.45    0.0214156
246    80    0    -80.0401    5034.24    0.0187168
246    90    0    -31.0426    5060.81    0.011271
246    100    0    15.6488    5040.09    0.00591063
246    110    0    20.7585    4991.59    0.00914559
246    120    0    -23.1507    4971.87    0.020212
246    130    0    -56.3389    5011.57    0.0336649
246    140    0    -35.9623    5061.62    0.0451848
246    150    0    15.3537    5074.8    0.0579842
249    0    0    -2.11904e-06    4774.64    -7.57657e-06
249    10    0    -113.131    4833.84    0.0130629
249    20    0    -132.654    4941.34    0.0214633
249    30    0    -81.9684    5006.94    0.0208829
249    40    0    -19.1202    5006.15    0.0169398
249    50    0    1.56729    4953.67    0.0153879
249    60    0    -52.3779    4918.5    0.0171433
249    70    0    -110.898    4969.17    0.0188629
249    80    0    -95.351    5046.87    0.0173278
249    90    0    -31.3325    5079.57    0.0138338
249    100    0    29.8299    5051.14    0.0122949
249    110    0    36.948    4982.9    0.0159965
249    120    0    -27.353    4952.89    0.0248774
249    130    0    -75.4057    5009.18    0.0362937
249    140    0    -47.7378    5076.26    0.0489957
249    150    0    18.8474    5093.02    0.0655841
252    0    0    4.64042e-06    4727.12    -1.42951e-05
252    10    0    -148.004    4810.27    0.0071811
252    20    0    -162.777    4951.47    0.00953749
252    30    0    -91.2181    5029.88    0.00903613
252    40    0    -7.20024    5024.14    0.00675671
252    50    0    24.1126    4947.89    0.00531431
252    60    0    -53.2847    4890.26    0.00872006
252    70    0    -138.218    4960.73    0.0135047
252    80    0    -114.844    5063.87    0.0131224
252    90    0    -31.3838    5103.76    0.0116343
252    100    0    48.7395    5066.2    0.0111232
252    110    0    60.6441    4970.86    0.0156076
252    120    0    -33.4145    4924.84    0.0276014
252    130    0    -102.028    5006.37    0.0419923
252    140    0    -62.8355    5095.65    0.0547608
252    150    0    23.3078    5116.56    0.0710981
255    0    0    2.97537e-07    4662.76    -4.62239e-06
255    10    0    -196.778    4782.07    0.0185508
255    20    0    -200.16    4968.08    0.0335693
255    30    0    -101.443    5060.27    0.0412023
255    40    0    9.02115    5048.83    0.0434015
255    50    0    57.8551    4941.53    0.0473615
255    60    0    -53.3066    4847.98    0.0518988
255    70    0    -176.995    4950.23    0.0569532
255    80    0    -139.313    5087.04    0.0610473
255    90    0    -31.2017    5134.79    0.06166
255    100    0    73.3316    5087.09    0.0637765
255    110    0    95.805    4954.9    0.0742351
255    120    0    -42.5607    4882.92    0.0893927
255    130    0    -139.458    5004.12    0.109142
255    140    0    -81.7726    5121.43    0.130036
255    150    0    28.8142    5146.81    0.150421
258    0    0    -1.38004e-09    4574.13    -1.17284e-09
258    10    0    -266.502    4749.33    0.050345
258    20    0    -245.358    4994    0.0742372
258    30    0    -112.462    5099.45    0.0697445
258    40    0    29.9199    5082.26    0.0551394
258    50    0    108.199    4936.66    0.0527369
258    60    0    -51.7098    4783.4    0.0690166
258    70    0    -233.084    4939.03    0.0877706
258    80    0    -169.021    5118.53    0.0867169
258    90    0    -30.6681    5173.87    0.0696784
258    100    0    104.319    5116.16    0.054497
258    110    0    149.205    4935.25    0.0611578
258    120    0    -56.7731    4819.16    0.0917663
258    130    0    -191.915    5005.09    0.122203
258    140    0    -104.473    5155.42    0.132003
258    150    0    35.5788    5185.05    0.131594
259    0    0    9.43886e-10    4537.48    -5.37235e-10
