#ZVView-data-copy:  17-Jun-2013 17:15:49
#=======================================
#
#name:   2-HE-3(N,P)1-H-3,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  61
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       0.00027         1e-5        49.44         0.82  # 1982,S.B.Borzakov+       ## 40657002
      0.000405       2.5e-5         40.7          0.7  # 1982,S.B.Borzakov+       ## 40657002
      0.000455       2.5e-5         38.4         0.54  # 1982,S.B.Borzakov+       ## 40657002
      0.000515       3.5e-5        36.43         0.52  # 1982,S.B.Borzakov+       ## 40657002
       0.00059         4e-5        33.44          0.5  # 1982,S.B.Borzakov+       ## 40657002
      0.000675       4.5e-5        31.72         0.43  # 1982,S.B.Borzakov+       ## 40657002
       0.00078         6e-5         28.8          0.4  # 1982,S.B.Borzakov+       ## 40657002
      0.000915       7.5e-5        26.26         0.37  # 1982,S.B.Borzakov+       ## 40657002
       0.00102         3e-5        25.26         0.38  # 1982,S.B.Borzakov+       ## 40657002
       0.00115         3e-5        23.33         0.36  # 1982,S.B.Borzakov+       ## 40657002
      0.001255       7.5e-5        22.48         0.31  # 1982,S.B.Borzakov+       ## 40657002
      0.001415       8.5e-5         21.3         0.33  # 1982,S.B.Borzakov+       ## 40657002
       0.00161      0.00011        19.34          0.3  # 1982,S.B.Borzakov+       ## 40657002
       0.00187      0.00015        18.46          0.3  # 1982,S.B.Borzakov+       ## 40657002
        0.0024      0.00027        16.14          0.3  # 1982,S.B.Borzakov+       ## 40657002
      0.003165     0.000175        14.36         0.32  # 1982,S.B.Borzakov+       ## 40657002
      0.003575     0.000105        13.49         0.31  # 1982,S.B.Borzakov+       ## 40657002
        0.0041      0.00013        12.23          0.3  # 1982,S.B.Borzakov+       ## 40657002
      0.005145     0.000195        10.81         0.27  # 1982,S.B.Borzakov+       ## 40657002
       0.00557      0.00023        10.27         0.26  # 1982,S.B.Borzakov+       ## 40657002
      0.006185     0.000105         9.78         0.25  # 1982,S.B.Borzakov+       ## 40657002
       0.00682         6e-5         9.36         0.24  # 1982,S.B.Borzakov+       ## 40657002
       0.00818         8e-5         8.56         0.22  # 1982,S.B.Borzakov+       ## 40657002
       0.00852         9e-5         8.24         0.21  # 1982,S.B.Borzakov+       ## 40657002
      0.009235     0.000265         7.69          0.2  # 1982,S.B.Borzakov+       ## 40657002
       0.00985      0.00035         7.37         0.19  # 1982,S.B.Borzakov+       ## 40657002
       0.01055      0.00035         7.18         0.18  # 1982,S.B.Borzakov+       ## 40657002
        0.0114       0.0003         6.83         0.17  # 1982,S.B.Borzakov+       ## 40657002
         0.012       0.0001          6.6         0.17  # 1982,S.B.Borzakov+       ## 40657002
       0.01245      0.00015         6.43         0.16  # 1982,S.B.Borzakov+       ## 40657002
        0.0137       0.0002         6.14         0.16  # 1982,S.B.Borzakov+       ## 40657002
       0.01415      0.00025         6.05         0.15  # 1982,S.B.Borzakov+       ## 40657002
       0.01485      0.00045         5.87         0.15  # 1982,S.B.Borzakov+       ## 40657002
        0.0155       0.0002         5.91         0.15  # 1982,S.B.Borzakov+       ## 40657002
        0.0159       0.0002         5.66         0.14  # 1982,S.B.Borzakov+       ## 40657002
        0.0169       0.0005         5.43         0.14  # 1982,S.B.Borzakov+       ## 40657002
        0.0177       0.0003         5.33         0.14  # 1982,S.B.Borzakov+       ## 40657002
        0.0185       0.0005         5.04         0.13  # 1982,S.B.Borzakov+       ## 40657002
        0.0194       0.0004         4.94         0.13  # 1982,S.B.Borzakov+       ## 40657002
        0.0203       0.0005          4.8         0.12  # 1982,S.B.Borzakov+       ## 40657002
        0.0213       0.0005          4.6         0.12  # 1982,S.B.Borzakov+       ## 40657002
        0.0228       0.0004         4.32         0.11  # 1982,S.B.Borzakov+       ## 40657002
       0.02525      0.00045         4.28         0.11  # 1982,S.B.Borzakov+       ## 40657002
        0.0281       0.0005         4.12          0.1  # 1982,S.B.Borzakov+       ## 40657002
        0.0297       0.0006         3.97          0.1  # 1982,S.B.Borzakov+       ## 40657002
       0.03875      0.00085         3.12         0.09  # 1982,S.B.Borzakov+       ## 40657002
       0.04255      0.00295         2.97         0.08  # 1982,S.B.Borzakov+       ## 40657002
       0.05135      0.00255         2.69         0.07  # 1982,S.B.Borzakov+       ## 40657002
       0.06515      0.00185         2.16         0.06  # 1982,S.B.Borzakov+       ## 40657002
        0.0737       0.0017         2.02         0.06  # 1982,S.B.Borzakov+       ## 40657002
        0.0828       0.0026         1.89         0.05  # 1982,S.B.Borzakov+       ## 40657002
       0.08835      0.00295         1.78         0.05  # 1982,S.B.Borzakov+       ## 40657002
        0.0977       0.0033         1.64         0.05  # 1982,S.B.Borzakov+       ## 40657002
         0.109        0.004         1.58         0.04  # 1982,S.B.Borzakov+       ## 40657002
         0.122        0.005         1.46         0.04  # 1982,S.B.Borzakov+       ## 40657002
         0.137        0.005          1.3         0.04  # 1982,S.B.Borzakov+       ## 40657002
          0.35         0.05          0.9         0.07  # 1970,D.G.Costello+       ## 10092002
          0.45         0.05         0.91         0.05  # 1970,D.G.Costello+       ## 10092002
        0.5725       0.0695         0.88         0.04  # 1970,D.G.Costello+       ## 10092002
         0.741        0.099          0.9         0.05  # 1970,D.G.Costello+       ## 10092002
             1         0.16         0.92         0.05  # 1970,D.G.Costello+       ## 10092002
//
#-------------------------------------------------------------------------------
#
#name:   2-HE-3(N,P)1-H-3,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  133
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         6000         2000  # 1948,D.J.Hughes+         ## 12669002
       2.53e-8            0         5327           10  # 1964,J.Als-Nielsen+      ## 20105002
        0.0039            0         15.8            0  # 1965,R.L.Macklin+        ## 12559002
       0.00865            0          7.1            0  # 1959,J.H.Gibbons+        ## 11100002
        0.0087            0          9.7            0  # 1959,J.H.Gibbons+        ## 11100002
         0.009            0          7.1            0  # 1965,R.L.Macklin+        ## 12559002
         0.009            0          9.5            0  # 1965,R.L.Macklin+        ## 12559002
        0.0179            0         5.25            0  # 1959,J.H.Gibbons+        ## 11100002
        0.0188            0          4.9            0  # 1965,R.L.Macklin+        ## 12559002
        0.0203            0         5.35            0  # 1959,J.H.Gibbons+        ## 11100002
        0.0278            0         4.75            0  # 1959,J.H.Gibbons+        ## 11100002
         0.028            0         4.75            0  # 1965,R.L.Macklin+        ## 12559002
         0.039            0         3.24            0  # 1959,J.H.Gibbons+        ## 11100002
        0.0395            0          3.1            0  # 1965,R.L.Macklin+        ## 12559002
        0.0466            0         3.34            0  # 1959,J.H.Gibbons+        ## 11100002
        0.0475            0         3.28            0  # 1965,R.L.Macklin+        ## 12559002
          0.05            0         2.84            0  # 1959,J.H.Gibbons+        ## 11100002
         0.051            0         2.75            0  # 1965,R.L.Macklin+        ## 12559002
         0.076            0         2.44            0  # 1959,J.H.Gibbons+        ## 11100002
         0.078            0         2.18            0  # 1959,J.H.Gibbons+        ## 11100002
         0.078            0          2.3            0  # 1965,R.L.Macklin+        ## 12559002
         0.079            0         2.15            0  # 1965,R.L.Macklin+        ## 12559002
         0.118            0         1.68            0  # 1959,J.H.Gibbons+        ## 11100002
         0.118            0         1.75            0  # 1965,R.L.Macklin+        ## 12559002
          0.12            0         1.52        0.076  # 1955,R.Batchelor+        ## 21431002
         0.125            0         1.78            0  # 1965,R.L.Macklin+        ## 12559002
         0.126            0         1.74            0  # 1959,J.H.Gibbons+        ## 11100002
         0.176            0         1.46            0  # 1959,J.H.Gibbons+        ## 11100002
          0.18            0          1.5            0  # 1965,R.L.Macklin+        ## 12559002
           0.2            0         1.15       0.0805  # 1955,R.Batchelor+        ## 21431002
         0.208            0          1.5            0  # 1959,J.H.Gibbons+        ## 11100002
          0.21            0         1.55            0  # 1965,R.L.Macklin+        ## 12559002
         0.218            0         1.23            0  # 1959,J.H.Gibbons+        ## 11100002
         0.229            0         1.25            0  # 1959,J.H.Gibbons+        ## 11100002
          0.23            0          1.4            0  # 1965,R.L.Macklin+        ## 12559002
          0.28            0         1.15            0  # 1965,R.L.Macklin+        ## 12559002
         0.282            0         1.13            0  # 1959,J.H.Gibbons+        ## 11100002
         0.318            0         1.08            0  # 1965,R.L.Macklin+        ## 12559002
         0.324            0         1.05            0  # 1959,J.H.Gibbons+        ## 11100002
          0.33            0         0.91       0.0819  # 1955,R.Batchelor+        ## 21431002
         0.337            0         1.05            0  # 1959,J.H.Gibbons+        ## 11100002
          0.34            0         1.08            0  # 1965,R.L.Macklin+        ## 12559002
         0.394       0.0197         0.81        0.243  # 1950,J.H.Coon            ## 11038002
         0.394       0.0197         0.84        0.252  # 1950,J.H.Coon            ## 11038002
           0.4            0         0.87       0.0783  # 1955,R.Batchelor+        ## 21431002
         0.435            0         0.98            0  # 1959,J.H.Gibbons+        ## 11100002
         0.448            0        0.915            0  # 1959,J.H.Gibbons+        ## 11100002
           0.5            0         0.86       0.0774  # 1955,R.Batchelor+        ## 21431002
         0.529      0.02116        0.762       0.2286  # 1950,J.H.Coon            ## 11038002
         0.529      0.02116        0.777       0.2331  # 1950,J.H.Coon            ## 11038002
          0.53            0         0.95            0  # 1959,J.H.Gibbons+        ## 11100002
         0.539      0.02156        0.869       0.2607  # 1950,J.H.Coon            ## 11038002
         0.564      0.02256        0.814       0.2442  # 1950,J.H.Coon            ## 11038002
         0.564            0        0.915            0  # 1959,J.H.Gibbons+        ## 11100002
         0.576      0.01728        0.743       0.2229  # 1950,J.H.Coon            ## 11038002
           0.6            0         0.79        0.079  # 1955,R.Batchelor+        ## 21431002
         0.669            0        0.885            0  # 1959,J.H.Gibbons+        ## 11100002
          0.67            0         0.76       0.0836  # 1955,R.Batchelor+        ## 21431002
         0.685            0         0.86            0  # 1959,J.H.Gibbons+        ## 11100002
         0.785      0.02355        0.773       0.2319  # 1950,J.H.Coon            ## 11038002
         0.785      0.02355        0.761       0.2283  # 1950,J.H.Coon            ## 11038002
         0.785            0         0.91            0  # 1959,J.H.Gibbons+        ## 11100002
         0.791            0         0.96            0  # 1959,J.H.Gibbons+        ## 11100002
         0.793            0         0.89            0  # 1959,J.H.Gibbons+        ## 11100002
           0.8            0         0.73       0.0803  # 1955,R.Batchelor+        ## 21431002
         0.809            0         0.81            0  # 1959,J.H.Gibbons+        ## 11100002
         0.939            0          0.8            0  # 1959,J.H.Gibbons+        ## 11100002
         0.947            0        0.825            0  # 1959,J.H.Gibbons+        ## 11100002
          0.95        0.001         0.61       0.0793  # 1961,A.R.Sayres+         ## 11110003
         0.978            0        0.875            0  # 1959,J.H.Gibbons+        ## 11100002
             1            0         0.87       0.0783  # 1955,R.Batchelor+        ## 21431002
             1            0        0.884        0.029  # 1983,B.Haesner+          ## 21883007
         1.072            0          0.8            0  # 1959,J.H.Gibbons+        ## 11100002
          1.08            0        0.805            0  # 1959,J.H.Gibbons+        ## 11100002
         1.177            0        0.895            0  # 1959,J.H.Gibbons+        ## 11100002
           1.2            0         0.79        0.079  # 1955,R.Batchelor+        ## 21431002
          1.22       0.0244        0.754       0.2262  # 1950,J.H.Coon            ## 11038002
         1.239      0.02478        0.763       0.2289  # 1950,J.H.Coon            ## 11038002
         1.239      0.02478        0.748       0.2244  # 1950,J.H.Coon            ## 11038002
         1.385            0        0.915            0  # 1959,J.H.Gibbons+        ## 11100002
         1.597      0.01597        0.701       0.2103  # 1950,J.H.Coon            ## 11038002
         1.597      0.01597        0.758       0.2274  # 1950,J.H.Coon            ## 11038002
           1.6            0        0.923            0  # 1959,J.H.Gibbons+        ## 11100002
         1.822            0         0.91            0  # 1959,J.H.Gibbons+        ## 11100002
         1.826            0        0.935            0  # 1959,J.H.Gibbons+        ## 11100002
             2            0        0.839        0.028  # 1983,B.Haesner+          ## 21883007
         2.055            0          0.9            0  # 1959,J.H.Gibbons+        ## 11100002
         2.294            0        0.845            0  # 1959,J.H.Gibbons+        ## 11100002
           2.5        0.025        0.443       0.1329  # 1950,J.H.Coon            ## 11038002
