
Ilardo, Matthew <milardo@bnl.gov>
06/02/2022

Point Name X Y Z
(mm) (mm) (mm)
W10_1 -472.029940 -2631.426382 270.246354
W10_3 -1076.469804 -2631.534562 620.602902
W10_4 -1651.334818 -2631.412137 950.545137
W11_1 -271.548577 -2631.199513 470.085221
W11_4 -953.179627 -2631.157119 1649.873725
W11B_1 -273.740323 -2322.816433 472.791954
W12_1 0.302216 -2631.007164 543.383589
W12B_1 -0.914086 -2322.651372 545.955896
W1_1 271.640512 -2630.917980 470.198056
W1B_1 272.246438 -2322.570977 473.128711
W2_1 474.161703 -2630.585035 271.467918
W2_3 1077.399130 -2630.344993 620.208214
W2_4 1650.137259 -2629.935886 949.949801
W2B_1 471.658493 -2322.262626 273.469942
W3_1 543.236225 -2630.137206 -0.131380
W3_3 1242.827511 -2629.495502 0.437445
W3B_1 544.305017 -2321.459716 -34.296337
W4_1 471.554831 -2630.150742 -273.639223
W4_3 1076.142603 -2629.469701 -623.558501
W4_4 1649.116092 -2628.922107 -953.120288
W5_1 272.138380 -2630.351036 -472.912626
W5_3 621.333170 -2629.803746 -1075.936193
W5_4 950.845078 -2629.365932 -1648.599641
W5B_1 271.822827 -2322.029504 -471.731710
W6_1 -0.160966 -2630.426816 -545.598120
W6_3 -2.224188 -2630.185334 -1243.891901
W6_4 -2.245695 -2629.886001 -1905.060926
W6B_1 -0.947597 -2322.098375 -544.995944
W7_1 -271.719625 -2630.635669 -473.222064
W7_3 -622.321359 -2630.616933 -1079.569825
W7_4 -953.275134 -2630.582320 -1651.369994
W7B_1 -243.520924 -2321.946581 -489.623315
W8_1 -471.487600 -2630.839711 -274.151658
W8_3 -1076.841679 -2630.989287 -621.999512
W8_4 -1650.701401 -2631.154287 -953.180339
W9_1 -544.721815 -2630.914702 -0.496603
W9_3 -1244.828694 -2631.147181 0.347989
W9B_1 -546.822198 -2322.587068 0.371507

Point Name X Y Z
(mm) (mm) (mm)
E13_1 -274.869185 2614.729416 472.088174
E13_4 -956.197570 2614.030307 1650.246953
E14_1 -473.128799 2614.679857 271.326698
E14_3 -1078.190946 2614.189677 620.508856
E14_4 -1653.929920 2613.709827 952.660091
E15_1 -546.387504 2614.726186 -0.547739
E15_3 -1245.391834 2614.235701 -0.775298
E15B -548.777756 2306.490328 1.422689
E16_1 -472.822925 2614.892334 -272.130958
E16_3 -1077.852050 2614.455508 -621.662392
E16_4 -1652.824234 2614.020594 -953.532380
E16B -475.578002 2306.587451 -271.465479
E17_1 -273.378199 2615.002199 -471.485457
E17_3 -622.168943 2614.757280 -1076.096475
E17_4 -954.506419 2614.742187 -1650.612569
E17B -275.789747 2306.726379 -471.039265
E18_1 -1.332366 2615.228363 -543.650634
E18_3 -0.265054 2615.128291 -1242.112768
E18_4 -1.057735 2614.988806 -1906.178414
E18B -2.915489 2306.842157 -544.006333
E19_1 270.919801 2615.224976 -471.884535
E19_3 620.173850 2615.397296 -1076.399286
E19_4 951.719573 2615.534973 -1650.608694
E19B 269.879193 2306.979641 -470.859628
E20_1 469.812372 2615.328741 -272.036625
E20_3 1074.670171 2615.609915 -620.251183
E20_4 1649.405658 2616.153258 -952.835790
E20B 469.453461 2307.061334 -271.045512
E21_1 543.051367 2615.346907 1.103761
E21_3 1238.587779 2615.869692 0.556486
E21B 542.384274 2307.111793 1.843649
E22_1 469.488251 2615.246160 273.095766
E22_3 1074.626508 2615.305010 622.868218
E22_4 1649.860497 2615.267699 955.091193
E22B 469.141870 2306.999024 274.639579
E23_1 270.072667 2615.122490 472.210630
E23B 269.269360 2306.858093 474.182033
E24_1 -2.754018 2614.881723 545.694092
E24_4 -2.935290 2614.532042 1908.541087
E24B -3.586134 2306.654322 547.134697
